metric,minimum,p10,median,p90,maximum
delta_cagr,-0.15064775058521213,-0.09280591214431881,-0.0027249683665019897,0.02898864423717333,0.0642595880194583
delta_maximum_drawdown,-0.07122945731057168,-0.023566757488372364,8.326672684688674e-17,0.02796274344836582,0.06883881978247353
delta_calmar,-1.200496916996988,-0.7454922447169959,0.013572230394189866,0.3278615777176398,0.9565768762560782
delta_frequency_median,-1.0,0.0,0.0,1.0,1.0
