trial_id,confirmation_total_removed,behavior_identical,a_behavior_hash,b_behavior_hash,b_feasible,dominance,a_cagr,b_cagr,delta_cagr,a_maximum_drawdown,b_maximum_drawdown,delta_maximum_drawdown,a_calmar,b_calmar,delta_calmar,a_frequency_median,b_frequency_median,delta_frequency_median,a_frequency_p10,b_frequency_p10,a_closed_trades,b_closed_trades,b_discovery_cagr,b_confirmation_cagr,b_confirmation_maximum_drawdown,b_entry_threshold,b_exit_threshold,b_confirmation_threshold,b_base_weights
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-01180,0.10175622075444342,False,dc291d7aaa129b4ff99c699cf9b22eac4e6fd421aa0f9de59373ec6c255af713,7416fd4ac878c89330f7025bbda4b0037187bc9980c89a679f028aea6fe4c7b0,True,A_DOMINATES_B,0.2546851765554228,0.24349835200601078,-0.011186824549412,-0.1823154056517775,-0.1823154056517775,0.0,1.3969481934064945,1.3355884607529696,-0.0613597326535249,6.0,6.0,0.0,2.0,3.0,129,133,0.07180991615476984,0.470010913848977,-0.1823154056517775,0.10484615480399453,0.039222159874672764,-0.040928827784883846,"{""price_close_vwap_deviation"": 0.20517445423376668, ""price_intraday_range"": 0.12125946831370024, ""risk_chinext_turnover_z20"": 0.28482698448336174, ""risk_global_spx_return"": 0.24285214101578811, ""risk_shibor_on_change_5d"": 0.14588695195338325}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-01495,0.10175622075444342,False,65aae148decca15a59d1ffaba3e13042d59abfa324e04904d65d71bae0718e38,98199b4f01804fd9a4690b24b34e1b240cc943c7d6996b15d932e9c94f77b250,False,MIXED,0.2618455857719635,0.23243341858433375,-0.029412167187629734,-0.1874818343396697,-0.17839883568084347,0.009082998658826225,1.396645102680004,1.3028864100893487,-0.09375869259065528,7.0,7.0,0.0,4.0,4.0,159,159,0.047387354616703625,0.47964001718351024,-0.12174676699955289,0.09160752376937403,0.043047230930908814,-0.07070874389236613,"{""price_close_vwap_deviation"": 0.3218642196040676, ""price_intraday_range"": 0.048460299397253256, ""risk_chinext_turnover_z20"": 0.3804489408458231, ""risk_global_spx_return"": 0.1595565582881447, ""risk_shibor_on_change_5d"": 0.08966998186471138}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-02183,0.10175622075444342,False,f648e51654c67d8509360676aef119780a33d91da07b4d213b200622bf15b9b9,653673b2d8c3c7c3978ca24eeae3fa398f567534f2189b9fab743861b6e98672,True,B_DOMINATES_A,0.2545955750855637,0.27053170733578336,0.01593613225021967,-0.1823154056517775,-0.1568939706304513,0.02542143502132621,1.3964567293443175,1.7242963910512206,0.32783966170690304,6.0,6.0,0.0,2.0,3.0,132,138,0.050581909902126965,0.5730730762455181,-0.14425795147005072,0.11002594917271212,0.03195730573090224,-0.041806647798020936,"{""price_close_vwap_deviation"": 0.28071597807056636, ""price_intraday_range"": 0.10104912343412731, ""risk_chinext_turnover_z20"": 0.28108652273706947, ""risk_global_spx_return"": 0.21557643733253906, ""risk_shibor_on_change_5d"": 0.12157193842569784}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-02638,0.10175622075444342,False,6c710032cd61d6fbb7b918df0d72796d0520b993cc93d87aa76d823d112e4cb8,4b53f0266e95cc10798577eecae8391df7079f515d617ad637ef6818184d7da1,True,MIXED,0.2644932283894301,0.26376278578499446,-0.000730442604435666,-0.1894723301070261,-0.16085100954790033,0.02862132055912578,1.3959464595174786,1.639795650187994,0.24384919067051536,6.0,6.0,0.0,3.0,3.0,141,145,0.03663213479441896,0.5788657653157245,-0.1442579514700506,0.10507193343469604,0.033999783126265656,-0.02995338919000486,"{""price_close_vwap_deviation"": 0.28071597807056636, ""price_intraday_range"": 0.11820696524805913, ""risk_chinext_turnover_z20"": 0.29425886435201215, ""risk_global_spx_return"": 0.2256788301795014, ""risk_shibor_on_change_5d"": 0.08113936214986098}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-00990,0.1264937835262434,False,900bc53655c7875947032d5afabf4cbaedfb686615f168919481340207fbbb1f,8e58954b1a226005634187a73e1fe5bbee5c785fe889e20992a44be436407b68,False,A_DOMINATES_B,0.2544548217989204,0.21707506669907084,-0.03737975509984959,-0.1823154056517775,-0.25196801630018106,-0.06965261064840356,1.3956846975670791,0.8615183382658351,-0.534166359301244,7.0,8.0,1.0,5.0,5.0,168,178,0.07444372751320705,0.40059894593670897,-0.25196801630018106,0.09043108766910175,0.04339799508988652,-0.1715503652247508,"{""price_close_vwap_deviation"": 0.2556917958532345, ""price_intraday_range"": 0.0857927711385932, ""risk_chinext_turnover_z20"": 0.37153683863618997, ""risk_global_spx_return"": 0.18376153383973307, ""risk_shibor_on_change_5d"": 0.10321706053224923}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-02743,0.1264937835262434,False,abe4f4ec2742a14ff856d81433fdd75a16d49969cb57c2fe32421e8bbec94733,58d11a36bcf2f7d3bbe62b67b666fec184eef98344ef66a52e7c4b1cee0dd1b1,True,B_DOMINATES_A,0.262064232945284,0.29449831817723027,0.03243408523194624,-0.1878267604421813,-0.1823154056517775,0.005511354790403794,1.3952443854556875,1.6153232752021087,0.2200788897464212,6.0,6.0,0.0,2.0,3.0,122,127,0.09955132378345444,0.5556847537328979,-0.18231540565177762,0.12086162878722495,0.040550372945823976,-0.01543633627746247,"{""price_close_vwap_deviation"": 0.2556917958532345, ""price_intraday_range"": 0.09081919816478942, ""risk_chinext_turnover_z20"": 0.38496301520276816, ""risk_global_spx_return"": 0.1592616489231545, ""risk_shibor_on_change_5d"": 0.10926434185605347}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-02211,0.10175622075444342,False,ba850aae764b1fb5e326958a589145afe2175aa527922dfbd7a2dcbbaed1056c,062739bb7f30b7c702ffe17e0eae3b98acbbdb626de6d0f24607fb5fa6b141e3,True,B_DOMINATES_A,0.2430749206995137,0.26202130147285074,0.018946380773337046,-0.1743637225413423,-0.16579677603905985,0.008566946502282458,1.3940681992601969,1.5803763362148942,0.18630813695469728,8.0,8.0,0.0,4.0,4.0,170,171,0.05998463032260837,0.535331729308673,-0.12243829215699187,0.08155875132544,0.04147556770412409,-0.016348987424275263,"{""price_close_vwap_deviation"": 0.32374757690875455, ""price_intraday_range"": 0.061843349957372805, ""risk_chinext_turnover_z20"": 0.30561624323502823, ""risk_global_spx_return"": 0.23438925589893958, ""risk_shibor_on_change_5d"": 0.07440357399990484}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-01976,0.10175622075444342,False,d86856bf7762e97b1bd0099c1210e6e9f12887dc402dfcfe209f163216265468,473c922a8809a8b9268e7c18774383ff1d47b2ae62657d7d52353a36920a9d60,False,MIXED,0.2611567974921165,0.23344330147548686,-0.027713496016629646,-0.1875460223155363,-0.1508535005862358,0.03669252172930049,1.392494462253825,1.5474834894006213,0.1549890271467964,6.0,6.0,0.0,3.0,3.0,133,130,0.03574183951787724,0.5009551559906251,-0.12174676699955278,0.12174389647747237,0.040253351300613964,-0.09470713917610514,"{""price_close_vwap_deviation"": 0.3218642196040676, ""price_intraday_range"": 0.0398711393402302, ""risk_chinext_turnover_z20"": 0.37391007785287433, ""risk_global_spx_return"": 0.16609542128109345, ""risk_shibor_on_change_5d"": 0.09825914192173445}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-01590,0.10175622075444342,False,e9b58488b5a9343df9c74f72d6e4b976d8530e2763a27afddd71a7b6ca4e53c1,76fdd5266d61ae759a34a5b8379ff5bb86b615e42ebac18d94548608d345f33c,True,B_DOMINATES_A,0.2692096174165017,0.3197076317337435,0.050498014317241824,-0.1933532118785957,-0.15952597994530537,0.03382723193329032,1.3923203798938455,2.004110125782381,0.6117897458885353,6.0,7.0,1.0,4.0,4.0,145,158,0.1146138786921278,0.5961371485546074,-0.15952597994530537,0.08562178362531246,0.037750067381269924,-0.011406099406618133,"{""price_close_vwap_deviation"": 0.29683192118428336, ""price_intraday_range"": 0.08383391222830669, ""risk_chinext_turnover_z20"": 0.36537506231538447, ""risk_global_spx_return"": 0.1623040631837654, ""risk_shibor_on_change_5d"": 0.09165504108826011}"
S007-EX24-BOUNDARY-EXTENDED-GATED-SCORE-01170,0.10175622075444342,False,93990b16abeaa1b9be35b452dc2fa9573c311096651faefbaa4320b47c08ed3e,6f06c5ee87c18bdd33fc97446f101a105604f667a6accb772d4be91a11439e8b,False,MIXED,0.2519960053957091,0.2335058237848382,-0.018490181610870904,-0.1810209229855554,-0.17617650800261653,0.0048444149829388605,1.3920822037561769,1.3254084011096998,-0.06667380264647704,8.0,8.0,0.0,5.0,5.0,180,181,0.07220288997066104,0.4438801683369422,-0.11555864679714656,0.08677088317138518,0.0368239630160093,-0.06820029324418747,"{""price_close_vwap_deviation"": 0.3218642196040676, ""price_intraday_range"": 0.05278476577325976, ""risk_chinext_turnover_z20"": 0.29864012908614285, ""risk_global_spx_return"": 0.22903899641300696, ""risk_shibor_on_change_5d"": 0.09767188912352283}"
