prototype_id,year,action,count
P-A01-STRUCTURE-PRESSURE,2021,EXIT_RISK,1
P-A01-STRUCTURE-PRESSURE,2023,BLOCK_ENTRY_RISK,2
P-A01-STRUCTURE-PRESSURE,2025,EXIT_RISK,1
P-A10-TOP-DIVERGENCE,2025,EXIT_RISK,1
P-A11-BOTH-FILTERS,2021,EXIT_RISK,1
P-A11-BOTH-FILTERS,2023,BLOCK_ENTRY_RISK,2
P-A11-BOTH-FILTERS,2025,EXIT_RISK,1
