mechanism_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
REVERSAL,10:30,2021,75,-0.00025445792089092036,-0.0006920818944458063,0.44,0.8841154237214399,-0.019908577165494434,-0.019908577165494434
REVERSAL,10:30,2022,98,-0.0006124400491525004,-0.000772450165984373,0.45918367346938777,0.7635187786130341,-0.05990482886103976,-0.05990482886103976
REVERSAL,10:30,2023,82,-0.0007949566250489324,-0.0011987452665526699,0.36585365853658536,0.5508839343976843,-0.06357431579529982,-0.06357431579529982
REVERSAL,10:30,2024,87,-0.0017215902774220045,-0.0026998261137213264,0.3793103448275862,0.6238219397439848,-0.14246464604476639,-0.14246464604476639
REVERSAL,10:30,2025,83,-0.001156305862154211,-0.001199280431741001,0.3614457831325301,0.5782704228037414,-0.09288046980934073,-0.09288046980934073
REVERSAL,10:30,2026,67,-0.001963973234183459,-0.002309059009038883,0.373134328358209,0.522022774646221,-0.1250859861346897,-0.1250859861346897
REVERSAL,11:30,2021,75,-0.0007112595104750729,-0.001199280431741001,0.4266666666666667,0.7762406460795318,-0.05383037570031046,-0.05383037570031046
REVERSAL,11:30,2022,98,-0.0015478464741708116,-0.0012847941919779116,0.45918367346938777,0.5964040618150528,-0.14344296328373196,-0.14344296328373196
REVERSAL,11:30,2023,82,-0.001260465459350079,-0.001117852034580591,0.35365853658536583,0.4837353543304359,-0.09901622649604636,-0.09901622649604636
REVERSAL,11:30,2024,87,-0.003700238307813976,-0.002784993024824045,0.40229885057471265,0.4041097510664702,-0.2802102457230916,-0.2802102457230916
REVERSAL,11:30,2025,83,-0.0018921226003303117,-0.001596523194395738,0.3253012048192771,0.5056843702752557,-0.1476391515534986,-0.1476391515534986
REVERSAL,11:30,2026,67,-0.002411280982026363,-0.0017950103133872464,0.40298507462686567,0.5004732382323901,-0.15152698297138378,-0.15152698297138378
REVERSAL,15:00,2021,75,-0.0005750501196159637,-0.0026185812863140923,0.4266666666666667,0.8610128166474622,-0.04552456157104334,-0.04552456157104334
REVERSAL,15:00,2022,98,-0.0016830391385145034,8.298962511887886e-05,0.5,0.7109052542277017,-0.15940368683995454,-0.15940368683995454
REVERSAL,15:00,2023,82,-0.001162415809379277,-0.001772785195395754,0.4268292682926829,0.6525349113339874,-0.0927919196399688,-0.0927919196399688
REVERSAL,15:00,2024,87,-0.00604653028025823,-0.004809174605565736,0.3218390804597701,0.390033117381127,-0.41893166506215074,-0.41893166506215074
REVERSAL,15:00,2025,83,-0.0014778799285738936,-0.001910550305031511,0.39759036144578314,0.6852293943240934,-0.11992998345365202,-0.11992998345365202
REVERSAL,15:00,2026,67,-0.005523123299306944,-0.005121574779779925,0.3582089552238806,0.36089127450269004,-0.31437252866623555,-0.31437252866623555
CONTINUATION,10:30,2021,75,-0.002116025494834745,-0.001706221540518138,0.36,0.3353856115343715,-0.14776298015774525,-0.14776298015774525
CONTINUATION,10:30,2022,98,-0.0017504234358579572,-0.0016259249511243468,0.3673469387755102,0.46114988029311776,-0.15922052019164457,-0.15922052019164457
CONTINUATION,10:30,2023,82,-0.0015919269494128582,-0.001199789490777925,0.25609756097560976,0.27968910878883957,-0.122883019633661,-0.122883019633661
CONTINUATION,10:30,2024,87,-0.0005898392842440689,0.00030352298306923764,0.5057471264367817,0.8445110989051653,-0.053616265682841835,-0.053616265682841835
CONTINUATION,10:30,2025,83,-0.0012074306942422152,-0.001199280431741001,0.43373493975903615,0.5553487613140413,-0.09671663668696284,-0.09671663668696284
CONTINUATION,10:30,2026,67,-0.0003768833834807566,-8.826739551381912e-05,0.47761194029850745,0.8799599068970951,-0.026804558362453323,-0.026804558362453323
CONTINUATION,11:30,2021,75,-0.0016346564766835743,-0.001199280431741001,0.44,0.5502183893265803,-0.11720882607316707,-0.11720882607316707
CONTINUATION,11:30,2022,98,-0.0007888049907107131,-0.0011137520262289868,0.4387755102040816,0.7719713201879862,-0.0772211363872265,-0.0772211363872265
CONTINUATION,11:30,2023,82,-0.001117510955053764,-0.0012806955539750864,0.4146341463414634,0.5251800439250931,-0.08837995464353854,-0.08837995464353854
CONTINUATION,11:30,2024,87,0.0014532869828630642,0.00038895366814895027,0.5517241379310345,1.4168805677587222,0.12749244590237208,0.12749244590237208
CONTINUATION,11:30,2025,83,-0.0004447094832830979,-0.000801879614936496,0.46987951807228917,0.8502589809701485,-0.03868651211401941,-0.03868651211401941
CONTINUATION,11:30,2026,67,9.078138078006085e-05,-0.0006031950178188028,0.47761194029850745,1.0258176786811146,0.0035231681266456594,0.0035231681266456594
CONTINUATION,15:00,2021,75,-0.0017314591229355407,0.0002220401265060623,0.5066666666666667,0.6236035912275374,-0.1248908460711492,-0.1248908460711492
CONTINUATION,15:00,2022,98,-0.0005400826896478066,-0.002479887830766414,0.4387755102040816,0.8992354212204338,-0.059699981327337004,-0.059699981327337004
CONTINUATION,15:00,2023,82,-0.001187219584065431,-0.0006254429004807216,0.43902439024390244,0.6409410641449932,-0.09463453175907621,-0.09463453175907621
CONTINUATION,15:00,2024,87,0.004026027061912306,0.0024237080508473507,0.6206896551724138,1.8787314884302508,0.3966644915729991,0.3966644915729991
CONTINUATION,15:00,2025,83,-0.0008006757450811604,-0.00048750368521088827,0.46987951807228917,0.8111257678010642,-0.06895364601435927,-0.06895364601435927
CONTINUATION,15:00,2026,67,0.0033336093752702346,0.0027384775071876977,0.582089552238806,1.838255531792167,0.24187312457326704,0.24187312457326704
