hypothesis_id,information_family,horizon_sessions,paths,identifiable,median_confirmation_ic,median_residual_ic,stable_paths,best_global_qvalue
H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,5,3,3,-0.030073011663607156,-0.0239184624431748,1,0.7593312794613993
H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,20,3,3,-0.007736786495407907,0.0008958577430960458,1,0.9322638827107333
H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,60,3,3,-0.01516962815639665,-0.012493588639814212,1,0.8044850212694621
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,5,7,7,-0.005681678999437223,-0.010492014530168082,1,0.37984980734249474
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,20,7,7,0.02239473722221688,0.015861047242341185,0,0.23047473621346595
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,60,7,7,-0.026490918804947763,-0.035662670959896524,0,0.09371167074129387
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,5,1,1,0.07690496169228965,0.004559691128446559,0,0.23047473621346595
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,20,1,1,0.19033604789510275,0.04758223315392685,0,0.18782767433411507
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,60,1,1,0.34833127034282096,0.12425419691061199,1,0.059544116945164344
H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,5,2,2,-0.018847194519593716,-0.03258852535800732,0,0.9988325938924069
H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,20,2,2,-0.007039155794066155,-0.010750939061286399,0,0.9988325938924069
H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,60,2,2,-0.025610113086733412,-0.024577294910601153,0,0.9988325938924069
H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,5,4,4,0.05366491621566725,0.04494900482146737,1,0.23047473621346595
H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,20,4,4,0.09405684850192675,0.07760750907022575,1,0.41073087281000703
H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,60,4,4,0.11574354928179825,0.10850992096938245,1,0.3492749403104785
H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,5,4,4,0.03206500883421623,-0.00852468127052176,0,0.23047473621346595
H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,20,4,4,0.030566157531628047,0.03832250162552145,0,0.4246021397921092
H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,60,4,4,0.004290310304465242,0.021733533858967705,0,0.7128011263432446
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,5,4,4,0.05622343283740423,0.04753785133752357,2,0.18782767433411507
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,20,4,4,0.08603495468092981,0.07951277903456505,2,0.37984980734249474
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,60,4,4,0.07863000936548359,0.07978885616466555,2,0.23047473621346595
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,5,2,2,0.06365696151693377,0.05980317731706701,1,0.06699758525118482
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,20,2,2,0.09147887803580676,0.08278322405130624,1,0.41073087281000703
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,60,2,2,0.07498452734910921,0.11666125581351898,1,0.41073087281000703
H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,5,2,2,0.034828761996340746,0.019875995634135602,1,0.23047473621346595
H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,20,2,2,0.03620220171056884,0.01913888379238629,1,0.41073087281000703
H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,60,2,2,-0.012257282824380385,-0.03320569300724983,0,0.745059856265654
H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,5,4,4,0.00842046773941394,0.001717327380754828,0,0.8756318925560546
H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,20,4,4,-0.012413120695420476,-0.04476928042639239,0,0.9988325938924069
H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,60,4,4,-0.0003229474818681067,-0.02145064715985201,0,0.9988325938924069
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,5,1,1,0.07481368299650927,0.051265421774319024,1,0.37984980734249474
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,20,1,1,0.030224816514561666,0.009050176625588909,0,0.9988325938924069
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,60,1,1,0.03133888585052287,0.02538420882627763,0,0.9322638827107333
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,5,1,1,-0.05697184392497054,-0.06721998342481081,0,0.9988325938924069
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,20,1,1,-0.09019894481609624,-0.1351197250394397,0,0.9988325938924069
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,60,1,1,0.014679019840897962,-0.04427996046787704,0,0.9988325938924069
