path_id,feature,hypothesis_id,information_family,financial_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_return,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label
risk_sse_return_20d:H20,risk_sse_return_20d,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,20,NEGATIVE,-0.14427528953294816,1284,1435,0.14441740643572099,0.18626144855040352,0.1779089725400293,0.005013357869633127,0.0502253491687721,4,"{""2019"": 0.40352923928582374, ""2020"": -0.19386198092845763, ""2021"": 0.35875510189686555, ""2022"": 0.37501479152813194, ""2023"": -0.1887654130735136, ""2024"": 0.09094840816568601}",0.017807968276576124,0.98,0.05310160512652996,0.18249216611708147,0.30186940732972617,True,0.4246021397921092,3,DIRECTIONALLY_STABLE
tsfresh_price_intraday_range_absolute_sum_of_changes_60:H20,tsfresh_price_intraday_range_absolute_sum_of_changes_60,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,20,NEGATIVE,-0.030633991448411498,1245,1435,0.03065320345854187,0.15369148566501564,0.1664263750595726,0.0043447585835042915,0.08740069765628372,6,"{""2019"": 0.1279821214710537, ""2020"": 0.0723350222087552, ""2021"": 0.007908654055633653, ""2022"": 0.21936233409736886, ""2023"": 0.21130282110810605, ""2024"": 0.30868134771529415}",0.013054577660775061,0.92,-0.027323584021524648,0.14578287010516677,0.3133833862415134,True,0.6077397348657868,3,DIRECTIONALLY_STABLE
tsfresh_price_intraday_range_mean_abs_change_60:H20,tsfresh_price_intraday_range_mean_abs_change_60,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,20,NEGATIVE,-0.030633991448411498,1245,1435,0.03065320345854187,0.15369148566501564,0.1664263750595726,0.0043447585835042915,0.08740069765628372,6,"{""2019"": 0.1279821214710537, ""2020"": 0.0723350222087552, ""2021"": 0.007908654055633653, ""2022"": 0.21936233409736886, ""2023"": 0.21130282110810605, ""2024"": 0.30868134771529415}",0.013054577660775061,0.94,-0.00433530570603182,0.17278293101465197,0.34514748776003207,True,0.6077397348657868,3,DIRECTIONALLY_STABLE
price_volatility_ratio_20_60:H20,price_volatility_ratio_20_60,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,RISK_CONTEXT,20,POSITIVE,0.07976399211825444,1244,1435,0.07965933753642718,0.10231574683016836,0.10186181861411077,0.003476482542293889,0.11391044986399873,5,"{""2019"": 0.1636659837136918, ""2020"": 0.12968584907558742, ""2021"": 0.19409207011030352, ""2022"": 0.14600422148271705, ""2023"": 0.18029265612336792, ""2024"": -0.17599330261431695}",0.013036191865324303,0.855,-0.0421679010955378,0.10729569936182265,0.2447632563601115,True,0.7128011263432446,2,DIRECTIONALLY_STABLE
price_return_5d:H20,price_return_5d,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,20,NEGATIVE,-0.029678280557761335,1299,1435,0.02966566372872682,0.06590169648934546,0.04708396275516818,0.001457263970117403,0.19035742637084585,5,"{""2019"": -0.13475593577769987, ""2020"": 0.12162429556420425, ""2021"": 0.11910675997232227, ""2022"": 0.11440260157500966, ""2023"": 0.35759112112809155, ""2024"": 0.10985348167270612}",0.002223820981803643,0.93,-0.007373853198912448,0.0706896329921679,0.16494064487954577,True,0.8016460631673649,3,DIRECTIONALLY_STABLE
rate_shibor_overnight_level:H20,rate_shibor_overnight_level,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,20,NEGATIVE,-0.08414313187764014,1304,1435,0.08418238449465344,0.08533531210897521,0.0644878555292171,0.001967659448430609,0.281889311047814,4,"{""2019"": 0.1175318891088497, ""2020"": 0.18371659319737957, ""2021"": 0.19519209482346586, ""2022"": 0.07238059706782324, ""2023"": -0.11104209222068984, ""2024"": -0.16446567044832947}",0.004324947028576688,0.885,-0.027273385428883797,0.08646025848089409,0.21400963288820943,True,0.9322638827107333,3,DIRECTIONALLY_STABLE
macro_domestic_real_cash_proxy:H20,macro_domestic_real_cash_proxy,H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,RISK_CONTEXT,20,NEGATIVE,-0.04418435879486271,1279,1435,0.044099594133992004,0.03980285916164558,0.05105838412329123,0.001899329954081317,0.2779620102323328,5,"{""2019"": 0.128454258971209, ""2020"": 0.24194499997392255, ""2021"": 0.00011503092961136593, ""2022"": 0.10535951987350087, ""2023"": 0.10282928702811106, ""2024"": -0.34154379490858244}",0.002135075302061109,0.7,-0.10241643427786457,0.05322343677265428,0.2135802871423108,True,0.9322638827107333,3,DIRECTIONALLY_STABLE
price_return_120d:H20,price_return_120d,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,20,NEGATIVE,-0.20362385510244896,1184,1435,0.20360625136588784,0.07056520292672805,0.2193449195270122,-0.0006069209217284913,0.5781832194597307,6,"{""2019"": 0.4440392338303444, ""2020"": 0.07626909034087295, ""2021"": 0.2890220694355457, ""2022"": 0.5733716547437796, ""2023"": 0.1830430121383622, ""2024"": 0.41980124349412323}",0.0051239933294150485,0.815,-0.06806563137722879,0.09190865185904848,0.2490585733520745,True,0.9988325938924069,2,DIRECTIONALLY_STABLE
tsfresh_log_volume_change_absolute_sum_of_changes_60:H20,tsfresh_log_volume_change_absolute_sum_of_changes_60,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,20,NEGATIVE,-0.15938293765962327,1244,1435,0.159386010745059,0.09982084893303533,0.1043073679009409,0.0009420821157236404,0.38605807676709736,5,"{""2019"": 0.1214229584266869, ""2020"": 0.3232209816671687, ""2021"": 0.06253864960003742, ""2022"": 0.02759024842758391, ""2023"": 0.042037946227875926, ""2024"": -0.079742607462496}",0.001783728770938504,0.895,-0.03306216861118226,0.11120231340643802,0.24902911894500945,True,0.9988325938924069,3,DIRECTIONALLY_STABLE
tsfresh_log_volume_change_mean_abs_change_60:H20,tsfresh_log_volume_change_mean_abs_change_60,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,20,NEGATIVE,-0.15938293765962327,1244,1435,0.159386010745059,0.09982084893303533,0.1043073679009409,0.0009420821157236404,0.38605807676709736,5,"{""2019"": 0.1214229584266869, ""2020"": 0.3232209816671687, ""2021"": 0.06253864960003742, ""2022"": 0.02759024842758391, ""2023"": 0.042037946227875926, ""2024"": -0.079742607462496}",0.001783728770938504,0.88,-0.05626060401838673,0.12479368049604847,0.26571255876704697,True,0.9988325938924069,3,DIRECTIONALLY_STABLE
