Date,Open,High,Low,Close,Volume,Amount,non_positive,high_breach,low_breach,range_breach,negative_activity
2015-06-10 10:00:00,0.0,2.37,0.0,2.366,3109199.0,7349233.0,True,False,False,False,False
2015-07-15 10:00:00,0.0,2.311,0.0,2.309,428578.0,989682.0,True,False,False,False,False
2015-07-16 10:00:00,0.0,2.295,0.0,2.29,312700.0,715783.0,True,False,False,False,False
2015-07-29 10:00:00,0.0,2.197,0.0,2.192,384700.0,842970.0,True,False,False,False,False
2015-08-05 10:00:00,0.0,2.181,0.0,2.177,714000.0,1553798.0,True,False,False,False,False
2015-08-07 10:00:00,0.0,2.18,0.0,2.178,445400.0,970422.0,True,False,False,False,False
2015-08-19 10:00:00,0.0,2.301,0.0,2.298,1670609.0,3834662.0,True,False,False,False,False
2015-09-02 10:00:00,0.0,2.344,0.0,2.34,1314900.0,3077254.0,True,False,False,False,False
2015-09-15 10:00:00,0.0,2.282,0.0,2.28,1349100.0,3077076.0,True,False,False,False,False
2015-09-28 10:00:00,0.0,2.359,0.0,2.351,1312700.0,3087683.0,True,False,False,False,False
2015-10-09 10:00:00,0.0,2.342,0.0,2.342,465800.0,1089416.0,True,False,False,False,False
2015-11-10 10:00:00,0.0,2.253,0.0,2.249,5829700.0,13114126.0,True,False,False,False,False
