candidate_id,period,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,strategy_return,sharpe,trade_count,pareto_layer
0,full_2021_2026,-0.23072279847132016,0.9575801085647728,5.070468801536233,VALID,1.9694899816896903,0.9078891594797979,140,8
0,rolling_2021_2023,-0.23072279847132016,0.00878220712462795,2.30400888654446,VALID,0.005856755812779779,0.0933299662262917,77,21
0,rolling_2022_2024,-0.2245110384574629,0.3359303644071322,3.8347493170931295,VALID,0.2330341796983353,0.4038007001502954,75,19
0,rolling_2023_2025,-0.22451103845746312,0.9292990449878556,6.016370938447217,VALID,0.727499871167242,0.8144203355109694,79,11
0,rolling_2024_2026,-0.18483845171563495,2.835810086554982,7.792011270849618,VALID,1.95072430696362,1.443394720734058,64,2
1,full_2021_2026,-0.23072279847132016,0.8735544185181205,4.151054178877353,VALID,1.721327457702356,0.8433255160342982,134,17
1,rolling_2021_2023,-0.23072279847132016,0.10029689426712136,2.132915569096054,VALID,0.0682252175509721,0.22158108028746268,73,23
1,rolling_2022_2024,-0.21380540750845112,0.4667840818160822,3.4418213872601915,VALID,0.31529733351354583,0.49022196983794936,71,19
1,rolling_2023_2025,-0.2138054075084509,1.0232149361648033,5.040118222127966,VALID,0.769604853341237,0.8435327678727517,73,12
1,rolling_2024_2026,-0.18483845171563462,2.3756478979269966,6.065987833726283,VALID,1.5462490767641777,1.2652134602326117,62,16
2,full_2021_2026,-0.24783121480498949,0.7975431966521815,4.354986778768419,VALID,1.673601133017998,0.8234638120282795,150,18
2,rolling_2021_2023,-0.24046048456661984,0.03284927227550648,2.110738020485344,VALID,0.02295788756661299,0.12991972998981022,77,25
2,rolling_2022_2024,-0.24783121480498949,0.310201875361359,3.444689435012462,VALID,0.2378551517837948,0.4076658645122338,77,24
2,rolling_2023_2025,-0.24783121480498949,0.8369260027806338,5.335751271862845,VALID,0.7224679082342618,0.8083807048923709,81,17
2,rolling_2024_2026,-0.18565320588683332,2.4429203190124165,6.628877980920144,VALID,1.6122922878814276,1.283768137718539,74,13
3,full_2021_2026,-0.22236695886136038,0.8718022587962603,3.8988731944683264,VALID,1.6277212572313013,0.8190474363695136,156,19
3,rolling_2021_2023,-0.20338840003266,0.09176349577565,2.020086439690839,VALID,0.054795389717341214,0.1952728394009623,77,23
3,rolling_2022_2024,-0.22236695886136093,0.32478682402745,3.2952318518412453,VALID,0.2224993962024966,0.3928063792390738,81,24
3,rolling_2023_2025,-0.22236695886136026,0.8459970308530507,4.403534054453343,VALID,0.6442502914906727,0.7548013844998974,93,18
3,rolling_2024_2026,-0.18565320588683354,2.2980335667070193,5.5320051478942736,VALID,1.489969219441233,1.2361747075026843,80,21
4,full_2021_2026,-0.24046048456661984,0.9462177729494203,4.150073577487195,VALID,2.057969280214312,0.931321459366068,136,15
