candidate_id,stage,anchor_name,sample_index,is_anchor,weight__raw__30m__cxt_bi_status_V230101,weight__raw__30m__cxt_third_buy_V230228__di_1,weight__raw__daily__cxt_bi_status_V230101,weight__raw__daily__cxt_five_bi_V230619__di_1,weight__raw__daily__cxt_seven_bi_V230620__di_1,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,weight__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,weight__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,weight__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,weight__raw__daily__pressure_support_V240406__di_1__w_20,weight__raw__weekly__cxt_bi_status_V230101,parent_seed_id,structure_share,trend_share,volume_position_share
0,1,control,0,True,0.050846533963337125,0.05097365029824546,0.04067722717066969,0.05110235558734016,0.04067722717066969,0.08946410409735422,0.07626980094500567,0.07626980094500567,0.07626980094500567,0.20338613585334853,0.20338613585334853,0.04067722717066969,,0.27495422136093184,0.3182735069323713,0.40677227170669705
36,1,control,36,False,0.018016204079213633,0.04422088846537802,0.029918239846409993,0.08176821164997469,0.07835495030435075,0.0741387973849962,0.06741950231807439,0.13424059956521017,0.07107053648055013,0.2004642590064969,0.16002750168921007,0.04036030921013497,,0.29263880355546207,0.3468694357488309,0.360491760695707
352,1,balanced,96,False,0.09005490232360447,0.03672441128840595,0.18519169214214826,0.040427306152024584,0.15602050377876053,0.028614294060456496,0.09377415885183242,0.060203970835138856,0.07685756096866032,0.00010683619518242777,0.08807021427553088,0.14395414912825466,,0.6523729648131985,0.2594499847160881,0.08817705047071331
364,1,balanced,108,False,0.03253093697583315,0.07309021239706794,0.04469978376628519,0.0860312462627057,0.0015992140622153284,0.021723531534164703,0.09534446085732332,0.11127045438330228,0.13737281488562453,0.11323397389025155,0.2565221833083182,0.026581187676908043,,0.26453258114101535,0.36571126166041484,0.3697561571985698
447,1,balanced,191,False,0.15180422441276845,0.0014920274111651745,0.17547521770240335,0.029880752750903787,0.008806301124739041,0.014105869046461706,0.12091884783728635,0.024825405789307142,0.04396660864755538,0.045896597969944865,0.3003146819217196,0.08251346538574504,,0.4499719887877249,0.2038167313206106,0.3462112798916645
495,1,balanced,239,False,0.04349980888713547,0.1991682595223838,0.027203330574239612,0.16898554859079007,0.012015174322905482,0.10894740476925062,0.06106329180184894,0.14978716744397055,0.1772799401817451,0.032532187122761805,0.0067800556792747,0.012737831103693769,,0.4636099530011482,0.49707780419681524,0.039312242802036504
777,2,seed_352,10,False,0.08298328560492398,0.043214812598471354,0.195105720673595,0.0341804552092296,0.16819002508784128,0.037651322548744336,0.08732430476850744,0.05023441665500176,0.06282301188205149,8.613480768123957e-14,0.10176601723015938,0.13652662774138838,352,0.6602009269154495,0.238033055854305,0.10176601723024552
779,2,seed_352,12,False,0.07689223330634645,0.021528087768619728,0.20718025844610938,0.023859657224033465,0.14841924068986595,0.026237597516365705,0.0913708631744141,0.05896737397666484,0.1001210557833161,1.7118881728975307e-17,0.10915702321744078,0.13626660889682338,352,0.6141460863317983,0.27669689045076074,0.1091570232174408
790,2,seed_352,23,False,0.08635246237764208,0.033308797946258836,0.19327042929162389,0.05338093651942751,0.17179102013138817,0.02208047517561209,0.11292496158173104,0.05592125798999537,0.055298600146366644,1.0666270609118938e-09,0.0855559401768284,0.13011511759649871,352,0.6682187638628392,0.24622529489370515,0.08555594124345546
796,2,seed_352,29,False,0.07987470141804341,0.03028801939697105,0.2088732418613719,0.0433020645180445,0.18609788742677894,0.02736117707218741,0.09091732910385883,0.056584489043703654,0.08060111096617803,2.830903794627238e-20,0.07277588372868789,0.1233240954641744,352,0.6717600100853842,0.25546410618592796,0.07277588372868789
836,2,seed_304,7,False,0.12246684135496741,0.17412708799707174,0.06626229760843699,0.16796545822122036,0.06992644509207346,0.044470404680485,0.020411775867686086,0.09453880689969683,0.05500186783439369,0.15473246868588394,0.029711917659646914,0.0003846280984376683,304,0.6011327583722076,0.21442285528226163,0.18444438634553087
850,2,seed_304,21,False,0.12033333590568317,0.14391579865347404,0.05963637111963398,0.16290507154429493,0.09763448275431037,0.03947688630784831,0.008111158625825279,0.12171753870393456,0.07520005314381428,0.13730710973420313,0.03257967472582768,0.0011825187811503272,304,0.5856075787585469,0.24450563678142245,0.1698867844600308
873,2,seed_364,13,False,0.04382037444732114,0.08293080064230247,0.030779270896878885,0.09888760128172247,0.0002574421814879769,0.020065249716323168,0.09412057174802534,0.12087259736749166,0.1385071923256529,0.0966954277839037,0.2593034272622309,0.013760044346659311,364,0.2704355337963722,0.37356561115749304,0.3559988550461346
884,2,seed_364,24,False,0.03184893834354296,0.07509532710948623,0.0416902627821644,0.08190637791633779,0.0007541224043245262,0.023793571098629958,0.10533081512358246,0.11152993215906987,0.14476422858467616,0.0987555979605939,0.270164721970538,0.014366104547053725,364,0.2456611331029096,0.38541854696595845,0.3689203199311319
885,2,seed_364,25,False,0.01920581407336321,0.09052491798371147,0.044315443175984764,0.056534074462279815,0.0007368316899808952,0.02291198292303496,0.1002332701060181,0.12479777013737613,0.13729875717143517,0.10562636926236275,0.2739703497258636,0.023844419288589203,364,0.23516150067390937,0.3852417803378644,0.37959671898822633
