entry_year,mechanism,trades,stress_mean,total_return
2021,JOINT_LEVERAGE_BUILD_Q50,10,0.0036155448198789243,0.03415158958544118
2022,JOINT_LEVERAGE_BUILD_Q50,30,-0.0025830864551588265,-0.0855462855008059
2023,JOINT_LEVERAGE_BUILD_Q50,30,-0.004461473492224281,-0.13159011300997703
2024,JOINT_LEVERAGE_BUILD_Q50,27,-0.0010921078628619903,-0.08410858185284165
2025,JOINT_LEVERAGE_BUILD_Q50,31,-0.00394238528583605,-0.13031621944311167
2026,JOINT_LEVERAGE_BUILD_Q50,17,0.008762570789580896,0.13644840045469442
2021,JOINT_DELEVERAGING_Q50,13,-0.012399561146724256,-0.15100561252831635
2022,JOINT_DELEVERAGING_Q50,32,-0.01084694777501986,-0.3085175613374941
2023,JOINT_DELEVERAGING_Q50,24,-0.004731574860591101,-0.11059063021940174
2024,JOINT_DELEVERAGING_Q50,28,0.0038853925998220645,0.09850491973963038
2025,JOINT_DELEVERAGING_Q50,25,0.0021209811448212965,0.04567564470922569
2026,JOINT_DELEVERAGING_Q50,21,-0.013861085577263035,-0.2715443986520464
