mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
BROAD_WASHOUT_Q50,BROAD_WASHOUT,0.5,526,234,11.0,10.0,8.0,14.0,True
BROAD_WASHOUT_Q60,BROAD_WASHOUT,0.6,461,223,11.0,9.0,7.0,14.0,True
BROAD_PARTICIPATION_THRUST_Q50,BROAD_PARTICIPATION_THRUST,0.5,381,200,10.0,8.0,7.0,13.0,True
BROAD_WASHOUT_Q70,BROAD_WASHOUT,0.7,367,198,10.0,8.0,5.0,13.0,True
BROAD_PARTICIPATION_THRUST_Q60,BROAD_PARTICIPATION_THRUST,0.6,325,182,9.0,7.0,6.0,13.0,True
BROAD_PARTICIPATION_THRUST_Q70,BROAD_PARTICIPATION_THRUST,0.7,237,149,7.0,5.0,3.0,13.0,True
HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG_Q50,HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG,0.5,50,44,2.0,0.0,0.0,6.0,False
HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG_Q60,HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG,0.6,49,44,2.0,0.0,0.0,6.0,False
HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG_Q70,HEALTHY_MAJORITY_HEAVYWEIGHT_DRAG,0.7,44,40,2.0,0.0,0.0,6.0,False
INTERNAL_ACCUMULATION_Q50,INTERNAL_ACCUMULATION,0.5,23,19,1.0,0.0,0.0,3.0,False
INTERNAL_ACCUMULATION_Q60,INTERNAL_ACCUMULATION,0.6,17,15,1.0,0.0,0.0,3.0,False
INTERNAL_ACCUMULATION_Q70,INTERNAL_ACCUMULATION,0.7,12,10,0.0,0.0,0.0,2.0,False
