path_id,feature,hypothesis_id,information_family,provider,horizon_sessions,orientation,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_return,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,horizon_bh_qvalue,global_bh_qvalue,evidence_label
risk_shibor_on_change_5d:H3,risk_shibor_on_change_5d,H01-RISK-APPETITE,INTEREST_RATE,tushare.shibor,3,NEGATIVE,718,643,0.02310292663554379,0.0398784119687235,0.03400910652654301,0.0035421326378982016,0.11773466161876583,2,"{""2024"": 0.14034654709547556, ""2025"": 0.007213914668436649, ""2026"": -0.1061918668054908}",0.011680734793416114,0.775,-0.04898771970056488,0.04090154737742845,0.13715411870103375,True,0.8574867851766966,0.9369996961497469,DIRECTIONALLY_STABLE
risk_sse_return_5d:H1,risk_sse_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,1,NEGATIVE,720,645,0.053960212424420485,0.06862130516949239,0.03303130885300531,0.000740589885103298,0.2955217186398842,3,"{""2024"": 0.1501311287059112, ""2025"": 0.049265948437219556, ""2026"": 0.026351680987721015}",0.0005593747850433642,0.982,0.019957415072783806,0.07128424437967495,0.12947659602509043,True,0.8287731978629999,0.9369996961497469,DIRECTIONALLY_STABLE
tsfresh__intraday_range__median__lb20:H1,tsfresh__intraday_range__median__lb20,H05-PRICE-LIQUIDITY-STATE,TSFRESH_PROPOSAL,tsfresh,1,POSITIVE,705,645,0.02123630479082614,0.02396487091801674,0.02726877457984085,0.0005382176765601229,0.24338120765260873,2,"{""2024"": 0.04645000386175971, ""2025"": 0.004112843222272143, ""2026"": -0.024185409969469458}",0.003656459800076393,0.775,-0.031940839862647834,0.02522066062706429,0.08136663596494603,True,0.8287731978629999,0.9369996961497469,DIRECTIONALLY_STABLE
risk_sse_return_1d:H3,risk_sse_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,3,NEGATIVE,722,643,0.054154861886502835,0.044785530494680974,0.01583676277104536,-0.00030961168613326956,0.535416015634111,3,"{""2024"": 0.06385670392960828, ""2025"": 0.06669631488162422, ""2026"": 0.04818848216815065}",-0.00638962918516961,0.935,-0.0036487443160663977,0.0478177970383416,0.10047853224583479,True,0.8951283589896217,0.9369996961497469,DIRECTIONALLY_STABLE
risk_chinext_return_5d:H1,risk_chinext_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,1,NEGATIVE,720,645,0.02695339311241257,0.05367024442746511,0.015026315633440389,0.0006408141343695432,0.3023463260829359,3,"{""2024"": 0.09318937613566132, ""2025"": 0.05060822031675994, ""2026"": 0.07562898443860278}",0.0008750358807140457,0.95,0.00012898249874794817,0.05548094832789188,0.10718209206695176,True,0.8287731978629999,0.9369996961497469,DIRECTIONALLY_STABLE
risk_chinext_return_1d:H5,risk_chinext_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,5,NEGATIVE,720,641,0.02935872893232398,0.04011782250433399,0.011490822238824534,0.00017433546960881734,0.4759931162593003,3,"{""2024"": 0.03645794306801716, ""2025"": 0.06169415179599145, ""2026"": 0.044354207885894635}",-0.005449365196568678,0.898,-0.011549713164268064,0.04309010868783821,0.09654836704053521,True,0.9147371098043348,0.9369996961497469,DIRECTIONALLY_STABLE
risk_sse_return_1d:H5,risk_sse_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,5,NEGATIVE,720,641,0.06571457015296933,0.03536796524675517,0.008416505986850502,-0.000767650443201932,0.5716906376345481,3,"{""2024"": 0.09859020772958355, ""2025"": 0.01669997727788635, ""2026"": 0.012646073538030538}",-0.00487086736419547,0.846,-0.02368784446599872,0.03860803547971434,0.09558820755196867,True,0.9147371098043348,0.9369996961497469,DIRECTIONALLY_STABLE
risk_csi500_return_5d:H1,risk_csi500_return_5d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,1,NEGATIVE,720,645,0.06356078073085203,0.04591728896276965,0.005309691278326289,0.00019833390064771597,0.4351001948705315,2,"{""2024"": 0.12596353538619112, ""2025"": 0.0485228754913242, ""2026"": -0.009763182842588928}",-0.0007746412895671003,0.926,-0.005972890147469645,0.044636522212685256,0.10086704181725326,True,0.8287731978629999,0.9369996961497469,DIRECTIONALLY_STABLE
risk_global_spx_return:H3,risk_global_spx_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.05909615026478638,0.09373630932354798,0.10180960794852649,0.004013372367948515,0.001387766404902094,3,"{""2024"": 0.10893444918413302, ""2025"": 0.04208475077651803, ""2026"": 0.13570977090026484}",0.014584308719271818,0.997,0.030999496216432353,0.09061533197060816,0.15357728553212557,True,0.12906227565589473,0.3871868269676842,NOMINAL_SUPPORT
risk_global_ixic_return:H3,risk_global_ixic_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.07129078738330107,0.10217262503414265,0.10934409422091294,0.004424505502362034,0.003956728673885748,3,"{""2024"": 0.12014724163726866, ""2025"": 0.06296694872370734, ""2026"": 0.11738441230547747}",0.011083920732178924,0.991,0.032384731090529,0.10099899022780474,0.17253394305129213,True,0.18398788333568727,0.5519636500070618,NOMINAL_SUPPORT
risk_chinext_turnover_z20:H5,risk_chinext_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_dailybasic,5,POSITIVE,702,641,0.09419878193421334,0.11889575022503833,0.16468819093767864,0.008912338002474755,0.008283415992224485,2,"{""2024"": -0.09271961425034368, ""2025"": 0.11171959060745114, ""2026"": 0.32645793933078704}",0.02919308208212853,0.958,0.006829665619804962,0.11477959068735648,0.21645018939854643,True,0.47996486056234905,0.7703576872768773,NOMINAL_SUPPORT
risk_chinext_turnover_z20:H3,risk_chinext_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_dailybasic,3,POSITIVE,704,643,0.10352154603546537,0.09742919822267303,0.1329445755192743,0.007367241457622934,0.01992639545040707,2,"{""2024"": -0.10964473588953297, ""2025"": 0.09896503492648584, ""2026"": 0.3048837815689667}",0.022401073412897203,0.943,-0.0080146077734036,0.09735936503262291,0.19248274747611727,True,0.3996446481895383,0.7732185388091783,NOMINAL_SUPPORT
risk_global_semis_positive_breadth:H3,risk_global_semis_positive_breadth,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.03954182804255031,0.1068679273264356,0.1133085606661303,0.0069424843387306005,0.022171140897754217,3,"{""2024"": 0.11007313333473817, ""2025"": 0.04110811314487367, ""2026"": 0.17748996637303358}",0.02141346133340151,1.0,0.045667205693573805,0.10695240647092016,0.16874683424043402,True,0.3996446481895383,0.7732185388091783,NOMINAL_SUPPORT
risk_global_semis_mean_return:H3,risk_global_semis_mean_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.06156133969229807,0.08229259410353121,0.0924953008268884,0.004916043270973339,0.01912204541365093,3,"{""2024"": 0.09009242058604681, ""2025"": 0.028731785733231832, ""2026"": 0.11466112517964565}",0.015532997670510144,0.981,0.02067857269469537,0.08254100007887322,0.14836284901430413,True,0.3996446481895383,0.7732185388091783,NOMINAL_SUPPORT
risk_global_spx_return:H5,risk_global_spx_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,5,POSITIVE,721,641,0.05013606403442912,0.07953599148072837,0.09013002211039045,0.003912463028550688,0.01548273743749513,3,"{""2024"": 0.03978034443678, ""2025"": 0.09806370330396147, ""2026"": 0.11161190261626916}",0.014226773453141673,0.978,0.016501984048868407,0.07892183269648412,0.14432552967779466,True,0.47996486056234905,0.7732185388091783,NOMINAL_SUPPORT
price_close_vwap_deviation:H5,price_close_vwap_deviation,H05-PRICE-LIQUIDITY-STATE,POSITION_VALUATION,588080 OHLCV,5,NEGATIVE,721,641,0.05670071125540062,0.04994710448232735,0.02510266484163149,0.0035614110748746625,0.013164995520568493,3,"{""2024"": 0.04626587604578469, ""2025"": 0.11016337139410624, ""2026"": 0.051224432120933215}",0.011855858595018823,0.98,0.011090845193204326,0.05216001636374777,0.09445660970834069,True,0.47996486056234905,0.7732185388091783,NOMINAL_SUPPORT
tsfresh__log_volume_change__mean__lb20:H5,tsfresh__log_volume_change__mean__lb20,H05-PRICE-LIQUIDITY-STATE,TSFRESH_PROPOSAL,tsfresh,5,POSITIVE,701,641,0.07681771053363609,0.12290492908213158,0.13827547485272665,0.005868794075360575,0.036607544207528514,3,"{""2024"": 0.031679913866715245, ""2025"": 0.27654201593957806, ""2026"": 0.030835061869682746}",0.019254609037139783,0.976,0.022582886495701015,0.11914997354752857,0.213316465971944,True,0.4863573730428788,0.7856542179923427,NOMINAL_SUPPORT
tsfresh__log_volume_change__sum_values__lb20:H5,tsfresh__log_volume_change__sum_values__lb20,H05-PRICE-LIQUIDITY-STATE,TSFRESH_PROPOSAL,tsfresh,5,POSITIVE,701,641,0.07681771053363609,0.12290492908213158,0.13827547485272665,0.005868794075360575,0.036607544207528514,3,"{""2024"": 0.031679913866715245, ""2025"": 0.27654201593957806, ""2026"": 0.030835061869682746}",0.019254609037139783,0.977,0.01875543075162316,0.1193678295331175,0.22082729699522832,True,0.4863573730428788,0.7856542179923427,NOMINAL_SUPPORT
risk_global_semis_positive_breadth:H5,risk_global_semis_positive_breadth,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,5,POSITIVE,721,641,0.045640064694442394,0.09046022904601779,0.10013031828825784,0.005470369908541987,0.03013284085850096,3,"{""2024"": 0.0855559788182637, ""2025"": 0.07608246169850295, ""2026"": 0.11799323940288992}",0.014754195518557518,0.994,0.02745837459106684,0.08929085965872167,0.1526597511538164,True,0.4863573730428788,0.7856542179923427,NOMINAL_SUPPORT
risk_global_ixic_return:H5,risk_global_ixic_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,5,POSITIVE,721,641,0.057171225365172544,0.08354138706997231,0.09317296575999132,0.003768989960175295,0.031493926366671095,3,"{""2024"": 0.04547582009272314, ""2025"": 0.11943475636959898, ""2026"": 0.08988014616639055}",0.012435775578334604,0.969,0.00986524294237473,0.08327778543003483,0.15436371376922634,True,0.4863573730428788,0.7856542179923427,NOMINAL_SUPPORT
price_close_vwap_deviation:H3,price_close_vwap_deviation,H05-PRICE-LIQUIDITY-STATE,POSITION_VALUATION,588080 OHLCV,3,NEGATIVE,723,643,0.039599280780899505,0.0662462981207565,0.039816382952841164,0.0028514762189765105,0.025783525689647632,3,"{""2024"": 0.052273694815950296, ""2025"": 0.14038926842618846, ""2026"": 0.06310403651548181}",0.007922666209076638,0.984,0.013054542127163827,0.06760850083392253,0.11695031131543676,True,0.3996446481895383,0.7856542179923427,NOMINAL_SUPPORT
