group,family,horizon_sessions,paths,median_discovery_sge_ic,median_confirmation_sge_ic,median_confirmation_etf_ic,supported_paths
GLOBAL_RISK_CONFIRMATION,GLOBAL_EQUITY_STRESS,20,5,-0.03276140718344776,0.04863223332668538,0.03779697587178663,0
GLOBAL_RISK_CONFIRMATION,GLOBAL_EQUITY_STRESS,60,5,-0.010828411999863166,0.010542306372726322,-0.000237526434029646,0
GLOBAL_RISK_CONFIRMATION,GLOBAL_EQUITY_STRESS,120,5,-0.0859293882804015,0.10448776081927076,0.10255223421482883,0
GLOBAL_RISK_CONFIRMATION,GLOBAL_FEAR,20,3,-0.008193154234905112,0.009986748462249754,0.007147012947386779,0
GLOBAL_RISK_CONFIRMATION,GLOBAL_FEAR,60,3,0.0171025325803329,0.007286003428560264,0.005018965675113049,0
GLOBAL_RISK_CONFIRMATION,GLOBAL_FEAR,120,3,-0.024829034226171488,-0.0029242711228602046,-0.004916033143888786,0
GLOBAL_RISK_CONFIRMATION,RELATIVE_RISK_APPETITE,20,2,-0.018254753208205597,0.08452086098868634,0.08579082309382435,0
GLOBAL_RISK_CONFIRMATION,RELATIVE_RISK_APPETITE,60,2,0.0057885757515981455,0.12541412608396063,0.12707762920362445,1
GLOBAL_RISK_CONFIRMATION,RELATIVE_RISK_APPETITE,120,2,-0.05181213145303918,0.13040706237564914,0.13097634272445954,0
SAFE_HAVEN_DEMAND,CROSS_ASSET_GOLD_LEADERSHIP,20,1,-0.010292918194202435,-0.12966149785804393,-0.1369061870747155,0
SAFE_HAVEN_DEMAND,CROSS_ASSET_GOLD_LEADERSHIP,60,1,0.024714425262002782,-0.12153567745481716,-0.1298313920327018,0
SAFE_HAVEN_DEMAND,CROSS_ASSET_GOLD_LEADERSHIP,120,1,-0.14457091620078827,0.043248375728303846,0.036662947071357435,0
SAFE_HAVEN_DEMAND,PRECIOUS_METAL_PREFERENCE,20,3,0.10501696551710286,0.20552665993543295,0.20283375308861828,2
SAFE_HAVEN_DEMAND,PRECIOUS_METAL_PREFERENCE,60,3,0.12526630765591162,0.2583959209561096,0.25969090441816994,3
SAFE_HAVEN_DEMAND,PRECIOUS_METAL_PREFERENCE,120,3,0.08640362215048289,0.19949862727464782,0.19822222244820978,3
