trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX26-DECOUPLED-GATED-SCORE-02669,1d4066684caea8699195b3763ed5a75063942de476946dbc2260be36959bf142,20,0.21067949420016585,0.65,13
S007-EX26-DECOUPLED-GATED-SCORE-02451,2fb30fcd51e602e047ef7f1525c88845134c7ee72e7ad2344f96d42534b3712b,20,0.21094383438727848,0.65,13
S007-EX26-DECOUPLED-GATED-SCORE-02518,53bf9f8e3cd02e6188868184223a3a117fd2ebbbeb0e3558d75e7fd230a623d0,20,0.10439192486600901,0.9,18
S007-EX26-DECOUPLED-GATED-SCORE-02725,bfe854a2253c7185698d27dea90bc12d50c1205687c6813b135411382e88b230,20,0.042772802112627906,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-01774,f49ab2a04d0dc3ab619f17c7d8bcd8601eaf9231dfd9e24af4b7e8f7abd3c9bd,20,0.0418498088222754,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02797,f49ab2a04d0dc3ab619f17c7d8bcd8601eaf9231dfd9e24af4b7e8f7abd3c9bd,20,0.04183582152693005,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02878,f49ab2a04d0dc3ab619f17c7d8bcd8601eaf9231dfd9e24af4b7e8f7abd3c9bd,20,0.0418498088222754,0.8,16
S007-EX26-DECOUPLED-GATED-SCORE-02916,f49ab2a04d0dc3ab619f17c7d8bcd8601eaf9231dfd9e24af4b7e8f7abd3c9bd,20,0.042621565338649914,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02222,e220c8fcbb19293beaba73b1c0f2af8e5ef49e9b14c51a3efa3a3980a33e7a96,20,0.15670840078330694,0.85,17
S007-EX26-DECOUPLED-GATED-SCORE-02722,21d397c8154f9e632a15bc5016b51dc3b39cd0f95c80547299e48d94b1ca5b38,20,0.0405315940295877,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02765,21d397c8154f9e632a15bc5016b51dc3b39cd0f95c80547299e48d94b1ca5b38,20,0.0418498088222754,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02282,35d3f987e81cc0e12cf818af6e23edab15008f859cd89c08c90c5e1f8edcace8,20,0.0550299239243599,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02553,56ba8707b73bfb18ba6fed61e00c5fd17be08570b5ad6d260aebc352ae5ab0a6,20,0.042772802112627906,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-01852,4a7f2fed6228adb90c5c11b2ff1a7b6a22c318fdf593c834068b5842a0119110,20,0.15034607936787037,0.8,16
S007-EX26-DECOUPLED-GATED-SCORE-02100,aadb0edc2d66b7790563961b8c2765eb2ba08b6d6e9eb9d399e50b4e5804ef4f,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02487,aadb0edc2d66b7790563961b8c2765eb2ba08b6d6e9eb9d399e50b4e5804ef4f,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02450,786ad0352cd3780a3e8d9c8a415c6252ea4684bac7e895bbdf3f678975fe3923,20,0.17128995634369637,0.8,16
S007-EX26-DECOUPLED-GATED-SCORE-02269,bdc0e1eae93c8fb72c5187d6bbfa1597f5cd6c2f07feb4f8436b41eb86e13ba9,20,0.15034607936787037,0.8,16
S007-EX26-DECOUPLED-GATED-SCORE-02257,a85a6f14e38b4b1ca08fec293ca184acfbc0818ba126eb7ccd33957ddaf0f4d4,20,0.04183582152693005,0.9,18
S007-EX26-DECOUPLED-GATED-SCORE-02968,29492d64807f386a069c18021087f7e9e3d9fddf9b235ec00a718b1c28daba5c,20,0.03869782045955272,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02851,172959539f1b4942c24b1e2373de97f491de39754aea5449806c704b9ed8d05a,20,0.08571603026417352,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02380,1ead36bcede52c951e6a512ad370a318d74ada52a5ec7e420ebbc46cfce3a64c,20,0.0450777795867886,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02011,2ac2df72b24454cec2274385d330c154465700afd62c553832a7b0b909115006,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02233,5345422332da87f738b62bb6cc742f6c9f2440fa3798687321d3f26bdc5de65f,20,0.07568754350452389,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02182,250a1a184042a4893f24406441ad286706d136c86a8c012acc0fdd1399e8e640,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02769,dedd898fdf24719fbbfa6e8c8abb42ce736854449d934e95ceaafb677f4becaa,20,0.03869782045955272,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-01381,a3a95c36cc8bb7467ed545db5bbd3434f62cbac24462a5177123acab4c493ac4,20,0.0418498088222754,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02517,f4e7c99727b17047220177c21345fb7a1b18d9b1fc67b2fa19d31bdf138a1c3b,20,0.0450777795867886,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02214,230298077a1398d729258331336c1eb543660ab17181e890fefb1d7227a89f95,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02539,230298077a1398d729258331336c1eb543660ab17181e890fefb1d7227a89f95,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02016,2ce08836bbc1178cfa7a2efe571a2ceb12628d7e792eca5372ccd8cdeaf2fafe,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-01821,85837eeb4936e7483897961f4973bc480793c0c2c021e49c8bf531e7f9753ea5,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02703,85837eeb4936e7483897961f4973bc480793c0c2c021e49c8bf531e7f9753ea5,20,0.0418498088222754,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02666,6070982fa7a54e6c68057901f41aa89fbba924f688615c669fca2869d59c0922,20,0.042772802112627906,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02587,f81798ca803e8735d605226db9dd09c548e7c608892788b7db6b889ca00ad542,20,0.042772802112627906,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02691,d2570f140b983089960f8a1cd099d5d7f063a4b97fb7f9c7fe8187a80df12ae4,20,0.0684435604451914,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02116,2b73f2f301a70e49e9ba5967ce4e320c74cfaf6c240dd5d98f27d514ca9989f1,20,0.15670840078330694,0.85,17
S007-EX26-DECOUPLED-GATED-SCORE-02752,9f2f1ef0e371ef0e74565f0636fc77ee3c72d5bffdef737408f7247f34110baa,20,0.07110190049154108,0.85,17
S007-EX26-DECOUPLED-GATED-SCORE-02764,093f805358adc6d61a44b38aa4999704b940651991e517c6471e1c2aca7bf686,20,0.06327880682726217,0.9,18
S007-EX26-DECOUPLED-GATED-SCORE-01793,f5ad6ff44ec168f7ce086192becbfd94e47adff04c548710a3106af1ad493cb0,20,0.07021637467322295,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02963,33adae37c33b41584f71cf282997f3994a32a6c1701f485e5274160541f94a90,20,0.07429092495587897,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02472,06048c978aac15b48bf46403724d1eba1556b8a66635c804273351a246d8331a,20,0.042772802112627906,1.0,20
S007-EX26-DECOUPLED-GATED-SCORE-02862,20b2ee331ece900072dea8d40aa262294c4d28c480b0e11173d4d0cb0dd454ba,20,0.04598693408365792,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02484,d417f1a1dfd6773352e5fd04ac96384a25c49382d87a21c985f9b6f2bb96be8c,20,0.0418498088222754,0.95,19
S007-EX26-DECOUPLED-GATED-SCORE-02718,7e416a978bd0ddc43359b382294595b6c0820ed87f91534c68b34f9280adbd0c,20,0.0449958271035269,1.0,20
