path_id,symbol,support_lookback,reclaim_persistence,holding_sessions,closed_trades,rolling_60_median,rolling_60_p10,stress_mean_return,stress_profit_factor,positive_years,recent_252_trades,recent_252_mean_return,low_volatility_trades,low_volatility_mean_return,low_volatility_profit_factor
FB-N05-P50-H1,588080.SH,5,0.5,1,206,10.0,7.0,-0.0018619716334691897,0.7865162284832342,2,32,0.002800095502950784,105,-0.0035916465136973824,0.554096985240972
FB-N05-P50-H2,588080.SH,5,0.5,2,176,8.0,6.0,-0.003962104954632503,0.6565477016767888,1,29,-0.004886375939740357,87,-0.006382467039521635,0.42049375615255047
FB-N05-P50-H3,588080.SH,5,0.5,3,154,8.0,5.0,-0.0038994168270478535,0.6933738445553865,1,25,-0.009618084947596505,78,-0.005883712920367863,0.5012700993654835
FB-N05-P80-H1,588080.SH,5,0.8,1,197,10.0,7.0,-0.0022599692147839932,0.7383165829784235,1,31,-0.0011174728542190408,99,-0.0024820023748078216,0.6531875516655464
FB-N05-P80-H2,588080.SH,5,0.8,2,169,8.0,6.0,-0.0035783188974157715,0.678189743683001,1,27,-0.006270381119389289,83,-0.005051810790029577,0.49003348502282856
FB-N05-P80-H3,588080.SH,5,0.8,3,150,8.0,5.0,-0.005057881813951919,0.6225510340770494,1,24,-0.012278239338988264,76,-0.006741936597270822,0.4660880792102084
FB-N10-P50-H1,588080.SH,10,0.5,1,153,7.0,4.0,-0.0029008276357064128,0.6865694874690302,1,24,-0.0033574129672981575,76,-0.004928098768701846,0.4753141674999965
FB-N10-P50-H2,588080.SH,10,0.5,2,128,6.0,4.0,-0.003352611939229664,0.7043403474984923,2,21,-0.010607417532686972,61,-0.006196759701681739,0.4396602132505022
FB-N10-P50-H3,588080.SH,10,0.5,3,114,5.0,3.0,-0.004807913897995001,0.6622303389556287,2,18,-0.02131214879905405,57,-0.006236031631549199,0.4878596256028193
FB-N10-P80-H1,588080.SH,10,0.8,1,142,7.0,3.0,-0.0025371030470484066,0.7076911161933215,1,22,-0.0032839399682388914,70,-0.0036489256108574626,0.5662501488996323
FB-N10-P80-H2,588080.SH,10,0.8,2,119,6.0,3.0,-0.0021958924248851514,0.7840346998572203,3,19,-0.013329486732737145,56,-0.0037258556588623142,0.587785335003168
FB-N10-P80-H3,588080.SH,10,0.8,3,107,5.0,3.0,-0.004685227995943154,0.6531769843541005,2,17,-0.024470502068313166,53,-0.0061737099827052005,0.49802525302918826
FB-N05-P50-H1,510500.SH,5,0.5,1,201,9.0,6.0,-0.0009577802515587366,0.8328779280632254,3,33,-0.0006811294165404629,97,-0.0003340488762518011,0.9167249311682865
FB-N05-P50-H2,510500.SH,5,0.5,2,178,8.0,6.0,-0.0019491834333563917,0.7719328140969351,3,31,-0.004661408921232429,87,-0.0020012509618215026,0.7170861675852216
FB-N05-P50-H3,510500.SH,5,0.5,3,155,7.0,5.0,-0.0008204054649492043,0.9063271866509865,3,27,-0.008984462857116548,74,0.00033073691204362046,1.0493624623851485
FB-N05-P80-H1,510500.SH,5,0.8,1,190,9.0,6.0,-0.0009884281959424946,0.8215783048751867,2,33,-0.0006811294165404629,92,-0.0006459931256926922,0.8425516073093636
FB-N05-P80-H2,510500.SH,5,0.8,2,168,8.0,5.0,-0.0020008802073508128,0.7642044409875545,2,31,-0.004661408921232429,81,-0.0018946844107782862,0.724084188639423
FB-N05-P80-H3,510500.SH,5,0.8,3,148,7.0,5.0,-0.0007190368209272116,0.9141342622014517,3,26,-0.006243447218888822,70,6.763495670329332e-05,1.0099974137085705
FB-N10-P50-H1,510500.SH,10,0.5,1,119,5.0,2.0,-0.001681189662758974,0.746079932487014,3,21,-0.0026317638098395327,54,0.00034611664147176995,1.0937665042947982
FB-N10-P50-H2,510500.SH,10,0.5,2,106,5.0,2.0,-0.0032448247189880938,0.6692744123435745,3,20,-0.008056274194927526,49,-0.0012944037757748033,0.8105566452572782
FB-N10-P50-H3,510500.SH,10,0.5,3,92,4.0,2.0,-0.004374394909733985,0.6382057951812976,3,18,-0.0141211734442828,41,-0.002222761156065789,0.7214688540708373
FB-N10-P80-H1,510500.SH,10,0.8,1,114,5.0,2.0,-0.0019363349910183558,0.7011176649414207,3,21,-0.0028535928555077812,52,-4.0304537321816936e-05,0.9894854965386692
FB-N10-P80-H2,510500.SH,10,0.8,2,100,4.0,2.0,-0.003484815091880761,0.6445885413571709,3,20,-0.009257916900198287,45,-0.0013170237738739487,0.8009022857073513
FB-N10-P80-H3,510500.SH,10,0.8,3,88,4.0,2.0,-0.004446781415703297,0.615874750765702,2,17,-0.010419806471856023,39,-0.0032191021776264003,0.6162958649692355
