order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status
ORD-78134C2D36E16CCE15AE,DEC-191DB672214DC221C720,CYC-A291DCF51803560D402F,2021-03-08,2021-03-09,BUY,63800,LIMIT,1.563,FILLED
ORD-2890A44060FF31465686,DEC-1BA0E0DF0CA2EAE2761C,CYC-A291DCF51803560D402F,2021-03-11,2021-03-12,SELL,63800,MARKET,1.295,FILLED
ORD-6E4EA333F084B5B93719,DEC-5C9E48154DF07864B51E,CYC-4CB1E19349A84B408BB1,2021-03-23,2021-03-24,BUY,65400,LIMIT,1.514,FILLED
ORD-CB86778A1DBFF96D6255,DEC-C11A66E6ED1B9DA1F426,CYC-4CB1E19349A84B408BB1,2021-03-25,2021-03-26,SELL,65400,MARKET,1.247,FILLED
ORD-CC9F753A9322505C67A4,DEC-A2D72E73F0E16F4478F8,CYC-B00E835C898D03EE719A,2021-04-02,2021-04-06,BUY,61900,LIMIT,1.587,FILLED
ORD-ADC341E3EE58970F0B64,DEC-D4B406136920B3D4EF61,CYC-B00E835C898D03EE719A,2021-04-06,2021-04-07,SELL,61900,MARKET,1.324,FILLED
ORD-8B91076D7DC029ADEFE4,DEC-83BD4F82B420485FD40A,CYC-CA8DABD7F1E5563D9960,2021-04-12,2021-04-13,BUY,64200,LIMIT,1.521,FILLED
ORD-CB1EBBE26CADAB0EBBAA,DEC-E1E941CAF65CD9A7F4B6,CYC-CA8DABD7F1E5563D9960,2021-04-14,2021-04-15,SELL,64200,MARKET,1.28,FILLED
ORD-A627F112B61E61498C26,DEC-DE5FF1506026C2DA34D2,CYC-8B4808924E6264C9384E,2021-04-20,2021-04-21,BUY,62100,LIMIT,1.578,FILLED
ORD-41C6F7394105A1F9BB3A,DEC-92EFA553DFDE614C9544,CYC-8B4808924E6264C9384E,2021-04-21,2021-04-22,SELL,62100,MARKET,1.312,FILLED
ORD-7CDEA45F5FBCE2E43149,DEC-EDF395C83C32589A5545,CYC-468CAAD2420AF255797B,2021-04-26,2021-04-27,BUY,60900,LIMIT,1.607,FILLED
ORD-A78314AEC92F9EAA1A1D,DEC-4AC43E35AA15C879C9A6,CYC-468CAAD2420AF255797B,2021-04-30,2021-05-06,SELL,60900,MARKET,1.349,FILLED
ORD-DC78AAA8B9D777CE7F38,DEC-DF0953FB0AD72212EC78,CYC-B9AED0550240322CFF5C,2021-05-07,2021-05-10,BUY,63100,LIMIT,1.552,FILLED
ORD-84DE1D9873731AA43FAB,DEC-CEFA79BC22070E8F252B,CYC-B9AED0550240322CFF5C,2021-05-11,2021-05-12,SELL,63100,MARKET,1.284,FILLED
ORD-6592F36E3F22D6E8AA5E,DEC-35FA4A83303295597530,CYC-6356E76E21E40F779557,2021-05-17,2021-05-18,BUY,59700,LIMIT,1.622,FILLED
ORD-84E3C88DCB061418231E,DEC-C0A0A23C041CEE38FA81,CYC-6356E76E21E40F779557,2021-05-18,2021-05-19,SELL,59700,MARKET,1.345,FILLED
ORD-E935CC025B0EF651DDDD,DEC-137F5412B39A762AB65B,CYC-FF13D3ADF42E4329ADF3,2021-05-26,2021-05-27,BUY,57500,LIMIT,1.667,FILLED
ORD-1D2FD7E2EAF22B0B9D69,DEC-4950133322F3F90FBC39,CYC-FF13D3ADF42E4329ADF3,2021-05-31,2021-06-01,SELL,57500,MARKET,1.469,FILLED
ORD-64B1D5EAE3F741AC6CD5,DEC-341CC4BD63E1B9A47FF0,CYC-ADB8E00E85908872F4C4,2021-06-02,2021-06-03,BUY,57700,LIMIT,1.742,FILLED
ORD-8AA59899D677E796C925,DEC-F13F55CF2B6420DB05B0,CYC-ADB8E00E85908872F4C4,2021-06-04,2021-06-07,SELL,57700,MARKET,1.46,FILLED
ORD-177AA6693415F64595F1,DEC-654545380127F3146905,CYC-653EA4395A7230DBA6D0,2021-06-07,2021-06-08,BUY,57700,LIMIT,1.754,FILLED
ORD-1C74BF1CF6124DC6F1C5,DEC-A6F47A0B3BD5FEAF14EB,CYC-653EA4395A7230DBA6D0,2021-06-09,2021-06-10,SELL,57700,MARKET,1.458,FILLED
ORD-077DD1F9474D258ACCA8,DEC-A30D2D36C174E42223E8,CYC-EF663CDD9407D7D5CB59,2021-06-11,2021-06-15,BUY,57000,LIMIT,1.763,FILLED
ORD-C52AA12DB29866B0A297,DEC-C7B5B32C9A7F42CAE9BC,CYC-EF663CDD9407D7D5CB59,2021-06-17,2021-06-18,SELL,57000,MARKET,1.505,FILLED
ORD-6D7F70BE33C426B956A4,DEC-E130BCB6739F94683766,CYC-7614D644C57BDD5B6BE0,2021-06-23,2021-06-24,BUY,54500,LIMIT,1.877,FILLED
ORD-1EA99BFEC262FA975D62,DEC-CB1135AD5C007166AF74,CYC-7614D644C57BDD5B6BE0,2021-06-25,2021-06-28,SELL,54500,MARKET,1.573,FILLED
ORD-97F97777D9AF40773BA7,DEC-3BB3ADF831B4B75EA9DE,CYC-C23F6591464FB66AEF05,2021-06-28,2021-06-29,BUY,53800,LIMIT,1.915,FILLED
ORD-13DB5A1A11E41A184CFA,DEC-600018E423AE8A3DF936,CYC-C23F6591464FB66AEF05,2021-06-30,2021-07-01,SELL,53800,MARKET,1.626,FILLED
ORD-27DAF9E2F6A35666AAA9,DEC-C9CCDD8FE493077FB687,CYC-013FAFA0F143C60A573B,2021-07-01,2021-07-02,BUY,54000,LIMIT,1.934,FILLED
ORD-4A60FAADB5EE5C0D3598,DEC-0F1B206ED86843FA0765,CYC-013FAFA0F143C60A573B,2021-07-05,2021-07-06,SELL,54000,MARKET,1.613,FILLED
ORD-83BDD4FC474F4054CFF2,DEC-8482377BE7D040C332AB,CYC-10BF3F7ECE39DB6F83A7,2021-07-06,2021-07-07,BUY,55600,LIMIT,1.883,FILLED
ORD-549EF9FFF58150CC7E8A,DEC-1E8E9EEF911B39BC6C5A,CYC-10BF3F7ECE39DB6F83A7,2021-07-07,2021-07-08,SELL,55600,MARKET,1.605,FILLED
ORD-B4E7E4054EFD7371D046,DEC-A893729203A90C305C03,CYC-28CBB780BEA8357C0A62,2021-07-12,2021-07-13,BUY,54400,LIMIT,1.966,FILLED
ORD-ACB6C331D285735129DF,DEC-4EF43115B1D755F60C6C,CYC-28CBB780BEA8357C0A62,2021-07-15,2021-07-16,SELL,54400,MARKET,1.598,FILLED
ORD-423059C7201255DABDE1,DEC-EFF1BF4FA546B4CAA200,CYC-D3198CCF54E6C8332D06,2021-07-23,2021-07-26,BUY,54700,LIMIT,1.927,FILLED
ORD-4C7B4AE71AA771F12C00,DEC-CD953F4084620C5AF615,CYC-D3198CCF54E6C8332D06,2021-07-29,2021-07-30,SELL,54700,MARKET,1.631,FILLED
