window,start,end,strategy_cagr,buyhold_cagr,required_strategy_cagr,return_gate,strategy_max_drawdown,strategy_calmar
FULL,2021-01-04,2026-09-02,0.1902787389185574,0.0287521887706077,0.04312828315591155,PASS,-0.13704534740887064,1.3884363279467382
2021,2021-01-04,2021-12-31,-0.011371723443106996,0.011902032423233067,0.0178530486348496,FAIL,-0.10439677689030102,-0.1089279169514618
2022,2022-01-04,2022-12-30,0.0573881934057443,-0.32324121938022665,0.0,PASS,-0.05950116461260113,0.964488573952898
2023,2023-01-03,2023-12-29,-0.00948949536271948,-0.1210257261312696,0.0,FAIL,-0.09320202889844154,-0.10181640330018779
2024,2024-01-02,2024-12-31,0.1890831938840487,0.17011613730014008,0.2551742059502101,FAIL,-0.1292744022151513,1.462649918654102
2025,2025-01-02,2025-12-31,0.35946822588443705,0.368294929894037,0.5524423948410555,FAIL,-0.09055421373993133,3.9696465911218417
2026,2026-01-05,2026-09-02,1.0259995473751946,0.34123968631973667,0.511859529479605,PASS,-0.10042174985042851,10.216905689288948
