episode,peak_date,trough_date,maximum_drawdown,regime,sessions,positioned_sessions,compound_return,gross_negative_daily_return,gross_loss_share
1,2021-06-30,2022-03-22,-0.2153338010058452,range,68,31,-0.13833116003935053,0.24919769560272997,0.44669230031226975
1,2021-06-30,2022-03-22,-0.2153338010058452,trend,109,47,-0.07340966988976005,0.30867557740538554,0.5533076996877303
2,2024-10-08,2024-10-16,-0.1823133632312854,range,1,1,0.20021612631201768,-0.0,-0.0
2,2024-10-08,2024-10-16,-0.1823133632312854,trend,6,6,-0.18231336323128544,0.22429110734382218,1.0
3,2023-04-20,2024-08-05,-0.1719410334614036,range,177,89,-0.15745707936262832,0.547014738471484,0.7033884487086128
3,2023-04-20,2024-08-05,-0.1719410334614036,trend,137,43,0.009136906743017592,0.2306703933724873,0.2966115512913872
