date,signal_date,target_position,cash_before,quantity_before,cash,quantity,close,equity,factor_score,regime,daily_return,peak_equity,drawdown,in_position
2021-01-04,2020-12-31,0,100000.0,0,100000.0,0,1.45,100000.0,0.0123456790123456,warmup,0.0,100000.0,0.0,False
2021-01-05,2021-01-04,0,100000.0,0,100000.0,0,1.452,100000.0,0.0123456790123456,warmup,0.0,100000.0,0.0,False
2021-01-06,2021-01-05,0,100000.0,0,100000.0,0,1.443,100000.0,0.0123456790123456,warmup,0.0,100000.0,0.0,False
2021-01-07,2021-01-06,0,100000.0,0,100000.0,0,1.412,100000.0,0.1550743202949186,warmup,0.0,100000.0,0.0,False
2021-01-08,2021-01-07,0,100000.0,0,100000.0,0,1.409,100000.0,0.0352305347485119,warmup,0.0,100000.0,0.0,False
2021-01-11,2021-01-08,0,100000.0,0,100000.0,0,1.421,100000.0,-0.1074981065340609,warmup,0.0,100000.0,0.0,False
2021-01-12,2021-01-11,0,100000.0,0,100000.0,0,1.434,100000.0,0.0352305347485119,warmup,0.0,100000.0,0.0,False
2021-01-13,2021-01-12,1,100000.0,0,0.2250999999960186,69700,1.438,100228.8251,0.2026505340557762,warmup,0.0022882509999999634,100228.8251,0.0,True
2021-01-14,2021-01-13,1,0.2250999999960186,69700,0.2250999999960186,69700,1.477,102947.1251,0.2026505340557762,warmup,0.02712094048082392,102947.1251,0.0,True
2021-01-15,2021-01-14,1,0.2250999999960186,69700,0.2250999999960186,69700,1.479,103086.5251,0.1550743202949186,warmup,0.0013540931800144484,103086.5251,0.0,True
2021-01-18,2021-01-15,1,0.2250999999960186,69700,0.2250999999960186,69700,1.509,105177.52509999998,0.1550743202949186,warmup,0.02028393136708795,105177.52509999998,0.0,True
2021-01-19,2021-01-18,1,0.2250999999960186,69700,0.2250999999960186,69700,1.477,102947.1251,0.1550743202949186,warmup,-0.02120605136771736,105177.52509999998,-0.02120605136771736,True
2021-01-20,2021-01-19,1,0.2250999999960186,69700,0.2250999999960186,69700,1.51,105247.2251,0.1550743202949186,warmup,0.022342537470237733,105247.2251,0.0,True
2021-01-21,2021-01-20,1,0.2250999999960186,69700,0.2250999999960186,69700,1.512,105386.6251,0.1550743202949186,warmup,0.0013245004784454562,105386.6251,0.0,True
2021-01-22,2021-01-21,1,0.2250999999960186,69700,0.2250999999960186,69700,1.517,105735.1251,0.3453791753383492,warmup,0.0033068712435693204,105735.1251,0.0,True
2021-01-25,2021-01-22,1,0.2250999999960186,69700,0.2250999999960186,69700,1.527,106432.1251,0.3929553890992068,warmup,0.006591943777820353,106432.1251,0.0,True
2021-01-26,2021-01-25,1,0.2250999999960186,69700,0.2250999999960186,69700,1.505,104898.72509999998,0.3453791753383492,warmup,-0.014407304172112445,106432.1251,-0.014407304172112445,True
2021-01-27,2021-01-26,1,0.2250999999960186,69700,0.2250999999960186,69700,1.489,103783.5251,0.3206878173136578,warmup,-0.01063120642254578,106432.1251,-0.024885343570012042,True
2021-01-28,2021-01-27,1,0.2250999999960186,69700,0.2250999999960186,69700,1.452,101204.6251,0.2255353897919425,warmup,-0.024848837978042382,106432.1251,-0.049115809677655276,True
2021-01-29,2021-01-28,0,0.2250999999960186,69700,101432.6835,0,1.452,101432.6835,-0.0599218927732032,warmup,0.0022534385140466906,106432.1251,-0.04697305062078483,False
2021-02-01,2021-01-29,0,101432.6835,0,101432.6835,0,1.452,101432.6835,-0.0599218927732032,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-02,2021-02-01,0,101432.6835,0,101432.6835,0,1.467,101432.6835,-0.0599218927732032,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-03,2021-02-02,0,101432.6835,0,101432.6835,0,1.443,101432.6835,0.107498106534061,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-04,2021-02-03,0,101432.6835,0,101432.6835,0,1.421,101432.6835,-0.1550743202949185,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-05,2021-02-04,0,101432.6835,0,101432.6835,0,1.402,101432.6835,-0.2502267478166339,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-08,2021-02-05,0,101432.6835,0,101432.6835,0,1.411,101432.6835,-0.0599218927732032,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-09,2021-02-08,0,101432.6835,0,101432.6835,0,1.457,101432.6835,-0.1550743202949185,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-10,2021-02-09,0,101432.6835,0,101432.6835,0,1.467,101432.6835,-0.0352305347485119,warmup,0.0,106432.1251,-0.04697305062078483,False
2021-02-18,2021-02-10,0,101432.6835,0,101432.6835,0,1.461,101432.6835,-0.0204690897493579,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-19,2021-02-18,0,101432.6835,0,101432.6835,0,1.455,101432.6835,0.0888661126734175,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-22,2021-02-19,0,101432.6835,0,101432.6835,0,1.42,101432.6835,0.0126076512390242,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-23,2021-02-22,0,101432.6835,0,101432.6835,0,1.42,101432.6835,0.0410972247926713,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-24,2021-02-23,0,101432.6835,0,101432.6835,0,1.398,101432.6835,0.0410972247926713,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-25,2021-02-24,0,101432.6835,0,101432.6835,0,1.382,101432.6835,0.0410972247926713,range,0.0,106432.1251,-0.04697305062078483,False
2021-02-26,2021-02-25,0,101432.6835,0,101432.6835,0,1.356,101432.6835,-0.0295899435722631,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-01,2021-02-26,0,101432.6835,0,101432.6835,0,1.389,101432.6835,-0.0295899435722631,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-02,2021-03-01,0,101432.6835,0,101432.6835,0,1.383,101432.6835,0.0748874964779385,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-03,2021-03-02,0,101432.6835,0,101432.6835,0,1.388,101432.6835,-0.1437829083676123,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-04,2021-03-03,0,101432.6835,0,101432.6835,0,1.357,101432.6835,0.0748874964779385,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-05,2021-03-04,0,101432.6835,0,101432.6835,0,1.361,101432.6835,0.0466685178621301,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-08,2021-03-05,0,101432.6835,0,101432.6835,0,1.304,101432.6835,0.0466685178621301,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-09,2021-03-08,0,101432.6835,0,101432.6835,0,1.263,101432.6835,-0.1720018869834207,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-10,2021-03-09,0,101432.6835,0,101432.6835,0,1.265,101432.6835,-0.1720018869834207,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-11,2021-03-10,0,101432.6835,0,101432.6835,0,1.295,101432.6835,-0.1581865016578311,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-12,2021-03-11,0,101432.6835,0,101432.6835,0,1.288,101432.6835,-0.1581865016578311,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-15,2021-03-12,0,101432.6835,0,101432.6835,0,1.25,101432.6835,-0.1437829083676123,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-16,2021-03-15,0,101432.6835,0,101432.6835,0,1.245,101432.6835,-0.1720018869834207,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-17,2021-03-16,0,101432.6835,0,101432.6835,0,1.26,101432.6835,0.0466685178621301,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-18,2021-03-17,0,101432.6835,0,101432.6835,0,1.267,101432.6835,-0.31995656568568,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-19,2021-03-18,0,101432.6835,0,101432.6835,0,1.255,101432.6835,-0.1491766199950816,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-22,2021-03-19,0,101432.6835,0,101432.6835,0,1.268,101432.6835,-0.1720018869834207,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-23,2021-03-22,0,101432.6835,0,101432.6835,0,1.263,101432.6835,-0.100645600786727,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-24,2021-03-23,0,101432.6835,0,101432.6835,0,1.249,101432.6835,-0.1894107694841315,range,0.0,106432.1251,-0.04697305062078483,False
2021-03-25,2021-03-24,0,101432.6835,0,101432.6835,0,1.247,101432.6835,-0.449372616907959,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-26,2021-03-25,0,101432.6835,0,101432.6835,0,1.281,101432.6835,-0.3037795592828951,trend,0.0,106432.1251,-0.04697305062078483,False
2021-03-29,2021-03-26,1,101432.6835,0,54.91995000001043,79100,1.275,100907.41995,0.3037795592828951,trend,-0.0051784447761357155,106432.1251,-0.051908248048314176,True
2021-03-30,2021-03-29,1,54.91995000001043,79100,54.91995000001043,79100,1.272,100670.11995,0.2632834312099384,range,-0.0023516605628960408,106432.1251,-0.05413783803138594,True
2021-03-31,2021-03-30,1,54.91995000001043,79100,54.91995000001043,79100,1.273,100749.21995,0.0446130263643876,range,0.0007857346354538386,106432.1251,-0.053394641370361984,True
2021-04-01,2021-03-31,1,54.91995000001043,79100,54.91995000001043,79100,1.291,102173.01995,0.0446130263643876,range,0.014132119342527893,106432.1251,-0.04001710147193149,True
2021-04-02,2021-04-01,1,54.91995000001043,79100,54.91995000001043,79100,1.324,104783.31995000002,0.3041510199644557,range,0.025547840332774907,106432.1251,-0.015491611658141946,True
2021-04-06,2021-04-02,1,54.91995000001043,79100,54.91995000001043,79100,1.324,104783.31995000002,0.4363001529454907,range,0.0,106432.1251,-0.015491611658141946,True
2021-04-07,2021-04-06,1,54.91995000001043,79100,54.91995000001043,79100,1.328,105099.71995,0.4363001529454907,range,0.0030195645657242753,106432.1251,-0.012518825014046442,True
2021-04-08,2021-04-07,1,54.91995000001043,79100,54.91995000001043,79100,1.317,104229.61995,0.4170186041023893,trend,-0.008278804172018206,106432.1251,-0.02069398828530966,True
2021-04-09,2021-04-08,1,54.91995000001043,79100,54.91995000001043,79100,1.295,102489.41995,0.2176297480999399,range,-0.016695829849852517,106432.1251,-0.03704431482783588,True
2021-04-12,2021-04-09,1,54.91995000001043,79100,54.91995000001043,79100,1.269,100432.81995,0.100645600786727,trend,-0.020066461504058775,106432.1251,-0.0563674280144576,True
2021-04-13,2021-04-12,0,54.91995000001043,79100,100224.5101,0,1.269,100224.5101,-0.1297337014279347,range,-0.0020741212892728678,106432.1251,-0.058324636421264175,False
2021-04-14,2021-04-13,0,100224.5101,0,100224.5101,0,1.28,100224.5101,-0.0125934440327671,trend,0.0,106432.1251,-0.058324636421264175,False
2021-04-15,2021-04-14,0,100224.5101,0,100224.5101,0,1.29,100224.5101,-0.0125934440327671,trend,0.0,106432.1251,-0.058324636421264175,False
2021-04-16,2021-04-15,0,100224.5101,0,100224.5101,0,1.3,100224.5101,0.174363508060616,trend,0.0,106432.1251,-0.058324636421264175,False
2021-04-19,2021-04-16,1,100224.5101,0,74.46010000001115,77000,1.325,102099.4601,0.31995656568568,trend,0.018707499773550795,106432.1251,-0.040708244770356505,True
2021-04-20,2021-04-19,1,74.46010000001115,77000,74.46010000001115,77000,1.316,101406.4601,0.449372616907959,trend,-0.006787499163279143,106432.1251,-0.047219436756318345,True
2021-04-21,2021-04-20,1,74.46010000001115,77000,74.46010000001115,77000,1.312,101098.4601,0.449372616907959,trend,-0.003037281842757089,106432.1251,-0.050113299861190175,True
2021-04-22,2021-04-21,1,74.46010000001115,77000,74.46010000001115,77000,1.33,102484.4601,0.4981058486963485,trend,0.013709407627268133,106432.1251,-0.03709091588926672,True
2021-04-23,2021-04-22,1,74.46010000001115,77000,74.46010000001115,77000,1.336,102946.4601,0.5787886681302382,trend,0.004508000525632827,106432.1251,-0.03275012123195886,True
2021-04-26,2021-04-23,1,74.46010000001115,77000,74.46010000001115,77000,1.34,103254.4601,0.4981058486963485,trend,0.002991846438438195,106432.1251,-0.02985625812708692,True
2021-04-27,2021-04-26,1,74.46010000001115,77000,74.46010000001115,77000,1.335,102869.4601,0.5787886681302382,trend,-0.0037286524923682007,106432.1251,-0.03347358700817682,True
2021-04-28,2021-04-27,1,74.46010000001115,77000,74.46010000001115,77000,1.35,104024.4601,0.4170186041023893,trend,0.011227822124051379,106432.1251,-0.022621600364907235,True
2021-04-29,2021-04-28,1,74.46010000001115,77000,74.46010000001115,77000,1.35,104024.4601,0.5787886681302382,trend,0.0,106432.1251,-0.022621600364907235,True
2021-04-30,2021-04-29,1,74.46010000001115,77000,74.46010000001115,77000,1.349,103947.4601,0.4170186041023893,trend,-0.0007402105228517808,106432.1251,-0.023345066141125193,True
2021-05-06,2021-04-30,1,74.46010000001115,77000,74.46010000001115,77000,1.334,102792.4601,0.4170186041023893,trend,-0.011111382605105136,106432.1251,-0.03419705278439478,True
