cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return,decision_id,entry_signal_date,entry_execution_date,entry_factor_score,entry_regime,entry_order_attempts,overlaps_drawdown_1,overlaps_drawdown_2,overlaps_drawdown_3
CYC-B08604DDE5B6CA48AA91,CLOSED,2021-11-22 00:00:00,2021-12-03,70200,1.48,1.469,-0.0084245039642341,DEC-F67AD549BCEE40EBF555,2021-11-19,2021-11-22,0.4534371458525831,range,1,True,False,False
CYC-9EF586CDEB8AE14B1775,CLOSED,2021-12-06 00:00:00,2021-12-16,69400,1.482,1.463,-0.01380719896462,DEC-9A738973F4E9E82C676F,2021-12-03,2021-12-06,0.5416385598038577,range,1,True,False,False
CYC-5EB4458A3A64F1C4262D,CLOSED,2021-12-17 00:00:00,2021-12-24,69300,1.464,1.415,-0.0344359923863204,DEC-B46C55608FDC92CE70ED,2021-12-16,2021-12-17,0.2821005662037895,range,1,True,False,False
CYC-619165BDB229AD971F0A,CLOSED,2022-01-04 00:00:00,2022-01-06,68300,1.435,1.371,-0.045554226371135,DEC-AA4FBD582A36E2B252C3,2021-12-31,2022-01-04,0.17559230918943,range,2,True,False,False
CYC-056EA59E00E0457514E7,CLOSED,2022-01-14 00:00:00,2022-01-21,70100,1.332,1.343,0.0072505038771903,DEC-E0C051B247F2E0A4F5B8,2022-01-13,2022-01-14,0.2738492945371473,range,1,True,False,False
CYC-7F5B7D497D1B7B485C36,CLOSED,2022-02-24 00:00:00,2022-03-04,74600,1.259,1.239,-0.0168692460759292,DEC-42E0C0597A797302550C,2022-02-23,2022-02-24,0.449372616907959,trend,1,True,False,False
CYC-03586D99D23356B0DA4D,CLOSED,2022-03-22 00:00:00,2022-03-25,78300,1.178,1.167,-0.0103280278366757,DEC-3404A952D077569B8C17,2022-03-21,2022-03-22,0.3850715441141396,trend,1,True,False,False
CYC-E261F76F93A556241368,CLOSED,2022-05-06 00:00:00,2022-06-23,93300,0.955,1.095,0.1454508347920282,DEC-0E06ABA41616F8332B49,2022-05-05,2022-05-06,0.2390715336717556,trend,1,False,False,False
CYC-27A48D7980E9B6F02874,CLOSED,2022-06-27 10:30:00,2022-07-12,92100,1.137,1.11,-0.0247224672624108,DEC-1364A17CA9DB7E44EF41,2022-06-24,2022-06-27,0.307741442170465,range,2,False,False,False
CYC-4D9447AD4A02039570A4,CLOSED,2022-07-22 10:00:00,2022-08-17,90400,1.13,1.173,0.0370155630149529,DEC-89E6C9825A04E8309607,2022-07-21,2022-07-22,0.2390715336717556,trend,1,False,False,False
