clock,event_mean_return,control_mean_return,abnormal_mean_return,abnormal_lower_90,abnormal_upper_90,abnormal_positive_probability,event_cumulative_amount_share,control_cumulative_amount_share
09:35,0.0006951463470843688,1.4335327510133931e-05,0.000680811019574235,0.00027584715422717613,0.0010818705402788344,0.9985,0.060928162749792784,0.05375055854123179
09:40,0.0007060476064588758,-0.0002684901571177482,0.000974537763576624,0.0004811623933532973,0.0014721341815759515,1.0,0.10129067217428425,0.09358812853859597
09:45,0.0007682937933193052,-0.0003266102140163124,0.0010949040073356174,0.000526314283317593,0.0016422161357915774,0.9985,0.13825233332775513,0.12992842329619333
09:50,0.0009658462516897166,-0.00041860371092813134,0.0013844499626178483,0.0007336743455141885,0.0020283843457737424,0.9995,0.17168822548671736,0.16291268079885235
09:55,0.0011967510543831649,-0.0005322448512024957,0.0017289959055856606,0.0010706453653766335,0.0024334804372429936,1.0,0.2001829731192805,0.1936280324074136
10:00,0.001330319504823986,-0.0006031578289910036,0.0019334773338149892,0.0012746424018445241,0.0026751394443907733,1.0,0.22702535584542693,0.2199500664246158
10:05,0.0014768177724191788,-0.0009647940620387506,0.002441611834457929,0.0017045248150187283,0.003274199669634092,1.0,0.25443855548455424,0.24735889154793703
10:10,0.0014357003108759275,-0.0010275467116944185,0.0024632470225703458,0.0016620250994732956,0.0033808019594974495,1.0,0.27849576972260254,0.2690854691174768
10:15,0.0014271054037302442,-0.0014452630584398478,0.0028723684621700914,0.0020063792222818995,0.003867713094882716,1.0,0.3020353813387334,0.29018901142171105
10:20,0.0016047589363661328,-0.0014666842829022164,0.0030714432192683492,0.0021739190383355455,0.0041038128063335035,1.0,0.32427596268793374,0.3107261871759253
10:25,0.0017793652117895208,-0.0013244148979985853,0.0031037801097881057,0.0021864549425032664,0.004165667489234792,1.0,0.34608485005943707,0.3298880591833393
10:30,0.00176125592880013,-0.0015502680658985532,0.0033115239946986826,0.0023543195788661994,0.00438047804533501,1.0,0.3672870701632919,0.349322491019727
10:35,0.0017337344776669238,-0.0015392796959591518,0.0032730141736260756,0.002292382404653293,0.004353580906486988,1.0,0.389772837604856,0.3704562009008907
10:40,0.0016893744284540604,-0.0016086921520638926,0.003298066580517953,0.002323027269749077,0.004344187582960368,1.0,0.4081181421545619,0.3884013362081357
10:45,0.0017451977850010275,-0.0017616691827166697,0.0035068669677176963,0.002538935991448361,0.004519552017930349,1.0,0.42539714836129017,0.40391887971944057
10:50,0.0019216593412665873,-0.0017478885223930444,0.0036695478636596317,0.002657366464009928,0.004703332613303404,1.0,0.4425420444854159,0.42018076836125523
10:55,0.0019194293713720389,-0.0017285653344273238,0.0036479947057993624,0.00268919697260262,0.004632221314777358,1.0,0.45905612907448856,0.4352982503247154
11:00,0.0018314826418774873,-0.0017854571500910436,0.003616939791968531,0.0026764801251492588,0.00457737923603636,1.0,0.47513838991709034,0.4499318259821525
11:05,0.0017008863315398424,-0.0016706522644050698,0.0033715385959449122,0.0025220116419933615,0.004268157499092339,1.0,0.49020065014283926,0.4655411733774404
11:10,0.0017287867424492904,-0.0018049546704477823,0.0035337414128970724,0.00268803829949097,0.004401905193678046,1.0,0.5037779633558651,0.47872890360513454
11:15,0.0017113423601031756,-0.001799874840467315,0.003511217200570491,0.002643908231594326,0.0043879481265603594,1.0,0.5179775159795658,0.4918486375553034
11:20,0.0017693885233300002,-0.001758507983173023,0.0035278965065030227,0.0026978770075381095,0.004390733057073192,1.0,0.5322123637912698,0.5063192435980536
11:25,0.0020193683072819127,-0.0020323464274636487,0.004051714734745562,0.0031688577929308965,0.004954913485705859,1.0,0.5463752105356244,0.5212287570867058
11:30,0.002178637216974138,-0.0017032848536224934,0.0038819220705966313,0.002969639911625748,0.004782958243303233,1.0,0.5598878632632222,0.5342044871285851
13:05,0.001928514764871719,-0.0016669944284585466,0.0035955091933302656,0.0026507332725896615,0.004563366451821935,1.0,0.5787198570862886,0.552129641084911
13:10,0.002024326031413442,-0.0017069326756064278,0.003731258707019869,0.00266279645431382,0.0047986687611763085,1.0,0.5945415942942476,0.5686090463214521
13:15,0.0018167952143773487,-0.001711355638227117,0.0035281508526044656,0.0024891684462617436,0.004601629229532522,1.0,0.6111902561987214,0.5848574662876737
13:20,0.0018247395408773686,-0.0017547783543269638,0.0035795178952043325,0.002522662478528186,0.00466825755144433,1.0,0.627105031210528,0.5996821343043822
