model,event_coefficient,lower_90,upper_90,positive_probability,observations
PRIOR_STATE,0.0012076517765304815,-0.00022866626821657607,0.00258899249672519,0.9165,1311
PRIOR_STATE_PLUS_OPENING_GAP,0.0012719499136585252,-0.00015260942361115383,0.00268501122014059,0.925,1311
