subject,window,entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return
P-A-MEAN-REVERSION,2021,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-03-12 00:00:00,2021-03-15 00:00:00,148912.43293728583,6.712,6.855,499.75012493750546,510.3973638925472,0.020284330421201924
P-A-MEAN-REVERSION,2021,2021-05-21 00:00:00,2021-05-24 00:00:00,2021-05-28 00:00:00,2021-05-31 00:00:00,140522.86663905226,7.257,7.43,509.8872215996962,522.0424495640791,0.02281572456158587
P-A-MEAN-REVERSION,2022,2022-08-04 00:00:00,2022-08-05 00:00:00,2022-08-11 00:00:00,2022-08-12 00:00:00,141833.4397438715,7.047,7.37,499.75012493750546,522.6562254561666,0.04478979468687694
P-A-MEAN-REVERSION,2022,2022-10-25 00:00:00,2022-10-26 00:00:00,2022-11-01 00:00:00,2022-11-02 00:00:00,177596.54096198108,5.88,5.95,522.1338304281235,528.3497093618937,0.01089336284238862
P-A-MEAN-REVERSION,2022,2022-12-02 00:00:00,2022-12-05 00:00:00,2022-12-09 00:00:00,2022-12-12 00:00:00,169826.777250761,6.216,6.195,527.8216236953158,526.0384425342322,-0.004374501938219977
P-A-MEAN-REVERSION,2023,2023-02-17 00:00:00,2023-02-20 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,159105.42022844037,6.282,6.341,499.75012493750546,504.44373483427023,0.0083830259337061
P-A-MEAN-REVERSION,2023,2023-03-20 00:00:00,2023-03-21 00:00:00,2023-03-27 00:00:00,2023-03-28 00:00:00,162587.3667350397,6.199,6.321,503.93954319518525,513.857372566093,0.01866142263599624
P-A-MEAN-REVERSION,2023,2023-03-29 00:00:00,2023-03-30 00:00:00,2023-04-06 00:00:00,2023-04-07 00:00:00,163511.31453856124,6.279,6.426,513.3437719937647,525.3618536123973,0.02238847131618149
P-A-MEAN-REVERSION,2023,2023-05-11 00:00:00,2023-05-12 00:00:00,2023-05-18 00:00:00,2023-05-19 00:00:00,170180.5299313998,6.168,6.145,524.836754308315,522.8796782142259,-0.004724696665934114
P-A-MEAN-REVERSION,2023,2023-07-10 00:00:00,2023-07-11 00:00:00,2023-07-17 00:00:00,2023-07-18 00:00:00,171574.00553299265,6.089,6.111,522.3570598451188,524.2443739060591,0.0026099612371510705
