subject,window,start,end,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,return,sharpe,closed_trades,exposure
P-A-MEAN-REVERSION,2021,2021-01-04,2021-12-31,-0.006586559373640721,6.864318510324393,,NO_LOSSES,0.043562856678594164,1.4431984304233476,2,0.02880658436213992
P-A-MEAN-REVERSION,2022,2022-01-04,2022-12-30,-0.03474194087188909,1.5467559505731976,6.364513985325096,VALID,0.051550846625930236,0.9937934507826136,3,0.06198347107438017
P-A-MEAN-REVERSION,2023,2023-01-03,2023-12-29,-0.03679574543686903,0.4629748227096656,1.0581185643743558,VALID,0.016353994426172802,0.36348389391095165,9,0.1859504132231405
P-A-MEAN-REVERSION,2024,2024-01-02,2024-12-31,-0.02285601118359737,2.0628616912485724,2.9259347327787317,VALID,0.045236125073543354,1.085480540091714,3,0.06198347107438017
P-A-MEAN-REVERSION,2025,2025-01-02,2025-12-31,-0.02528307556562659,2.461748471546994,3.9038021363173994,VALID,0.05995237865086578,1.168646825243252,4,0.07818930041152264
P-A-MEAN-REVERSION,2026YTD,2026-01-05,2026-09-08,-0.025892460492831337,6.129734002193633,,NO_LOSSES,0.10190223092637796,1.7079660537715378,2,0.0783132530120482
P-A-MEAN-REVERSION,2021_2026YTD,2021-01-04,2026-09-08,-0.036795745436869365,1.578011112780779,2.4751861627413665,VALID,0.36156292151326164,1.0783413444005823,23,0.08272859216255443
P-B-TREND-CONTINUATION,2021,2021-01-04,2021-12-31,-0.031199578994980603,0.5149243934077443,0.9005929506615284,VALID,0.0154872392984986,0.48716572693906124,3,0.06172839506172839
P-B-TREND-CONTINUATION,2022,2022-01-04,2022-12-30,-0.024808692458705206,-0.31225796705970427,2.3331426840705416,VALID,-0.007440449208344302,-0.20300723639526483,4,0.06611570247933884
P-B-TREND-CONTINUATION,2023,2023-01-03,2023-12-29,-0.002004769741614121,7.296444519802998,,NO_LOSSES,0.014043170818806683,1.3244093177907488,1,0.02066115702479339
P-B-TREND-CONTINUATION,2024,2024-01-02,2024-12-31,-0.0900961710278183,1.5481976607013865,2.411606352173744,VALID,0.13359751743911286,0.9187502164659573,5,0.10330578512396695
P-B-TREND-CONTINUATION,2025,2025-01-02,2025-12-31,-0.023321995700523845,5.057171513115117,3.471452254119591,VALID,0.11350074471577676,2.1530529603477944,6,0.10699588477366255
P-B-TREND-CONTINUATION,2026YTD,2026-01-05,2026-09-08,-0.05316608954663371,-0.6759323313218892,2.5412928202234237,VALID,-0.023820118196804185,-0.30943329569305494,5,0.13253012048192772
P-B-TREND-CONTINUATION,2021_2026YTD,2021-01-04,2026-09-08,-0.0900961710278183,0.4781623041686098,2.3327631089234333,VALID,0.2594088436355304,0.5678617206792916,24,0.07910014513788098
BUYHOLD,2021,2021-01-04,2021-12-31,-0.09712133440947002,1.8056856419223783,,NO_CLOSED_TRADES,0.16860725803033638,1.1780571545936014,0,1.0
BUYHOLD,2022,2022-01-04,2022-12-30,-0.3167574107683001,-0.94635779305346,,NO_CLOSED_TRADES,-0.2897938477954747,-1.2714426057511716,0,1.0
BUYHOLD,2023,2023-01-03,2023-12-29,-0.17281853281853288,-0.36459339608486074,,NO_CLOSED_TRADES,-0.060585511059184194,-0.4489666748986811,0,1.0
BUYHOLD,2024,2024-01-02,2024-12-31,-0.19865319865319864,0.2698701369368926,,NO_CLOSED_TRADES,0.05142939030122906,0.32223923339650345,0,1.0
BUYHOLD,2025,2025-01-02,2025-12-31,-0.138099902056807,2.310105915152886,,NO_CLOSED_TRADES,0.3060457888844452,1.4838206807838885,0,1.0
BUYHOLD,2026YTD,2026-01-05,2026-09-08,-0.20208831846856656,0.14035999529101909,,NO_CLOSED_TRADES,0.01859564852486084,0.24175853204463504,0,1.0
BUYHOLD,2021_2026YTD,2021-01-04,2026-09-08,-0.47314458813934523,0.03791000564634276,,NO_CLOSED_TRADES,0.10209655189395273,0.19188086617134403,0,1.0
MA5_MA20,2021,2021-01-04,2021-12-31,-0.09790899161794653,0.43486444589290885,2.503865465644456,VALID,0.041025760892511975,0.4165052752944957,8,0.6872427983539094
MA5_MA20,2022,2022-01-04,2022-12-30,-0.22027178903997324,-0.9122719095450279,0.8706191610317495,VALID,-0.19380289381794202,-1.1600637604966897,7,0.4256198347107438
MA5_MA20,2023,2023-01-03,2023-12-29,-0.12420741604636543,-0.5164944324276245,1.4817282505846014,VALID,-0.06168692700949052,-0.86445276968461,9,0.4256198347107438
MA5_MA20,2024,2024-01-02,2024-12-31,-0.11911623439000973,1.6194083900592116,3.3543710715588113,VALID,0.18457738419109737,0.9557356870406054,4,0.359504132231405
MA5_MA20,2025,2025-01-02,2025-12-31,-0.11038801009532706,2.7572576154725197,4.710323738627742,VALID,0.2920483345456659,1.9028346245574888,6,0.7078189300411523
MA5_MA20,2026YTD,2026-01-05,2026-09-08,-0.12443874615314954,0.38923742826166824,2.7237133672889557,VALID,0.031648247510299266,0.34147990416525126,6,0.5240963855421686
MA5_MA20,2021_2026YTD,2021-01-04,2026-09-08,-0.28613719946478267,0.14711381214867972,2.646744675189676,VALID,0.2529136045908824,0.34135042528932474,40,0.5217706821480407
