year,horizon,active_n,return_rho,mae_rho,max_drawdown_rho
2021,5,63,-0.18322255639960763,-0.14214532016224557,-0.19737598350601426
2021,20,63,-0.19781096213054464,-0.21347712214846046,-0.17087801505576083
2021,60,63,-0.1537525106516846,-0.16882964019270327,-0.1604357847920678
2022,5,53,-0.2689356713854235,-0.32539890615103234,-0.33885391019386407
2022,20,53,-0.03923014183641345,-0.17898336279908464,-0.11985158037936099
2022,60,53,-0.025559659464695985,-0.05909614955256739,-0.0026825232338130566
2023,5,71,0.010705211967186335,0.035277764595688085,0.004647124005669032
2023,20,71,0.07220843585410038,0.07233689009992868,0.2217378646595588
2023,60,71,0.050559542196237414,0.12831872402124198,0.040919642704276026
2024,5,55,0.15640277305474412,0.23972826251576845,0.03381691786925414
2024,20,55,0.10930820135260655,0.25922367760282944,0.15868457096696015
2024,60,55,0.10879067858664901,0.17893995171147925,0.22690910910227693
2025,5,80,0.014153651974786454,0.04655713688432582,0.19061637828913067
2025,20,75,-0.0744025170055276,0.0837582417814973,0.14394311233111057
2025,60,66,0.04926398385741666,0.059460109742204864,0.15511820149174457
