factor,endpoint,pass
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向上|满足|任意__age_1_3,return_20,True
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__joint::向下|满足|任意__age_1_3,return_20,False
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v1::向下__age_1_3,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__age_1_3,return_20,False
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__age_1_3,return_20,False
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔__exit,max_drawdown_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__onset,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__exit,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__age_1_3,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__onset,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__exit,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__age_1_3,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__exit,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__age_1_3,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::是__age_4_8,return_20,False
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__exit,return_20,True
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v3::3笔__age_1_3,return_20,False
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__onset,return_20,True
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向上|中继|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__joint::向下|中继|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__onset,return_20,True
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::中继__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_base_V230228__di_1__v2::转折__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第3次|任意__exit,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低__onset,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高__onset,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高__exit,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|反向分型|任意__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多__onset,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多__age_1_3,return_20,True
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__v2::反向分型__age_1_3,max_drawdown_20,True
dynamic__state__raw__30m__cxt_bi_end_V230618__di_1__v1::看多__age_1_3,return_20,True
