factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v1::向上__age_1_3,state,max_drawdown_20,-1,-0.008299379067639803,raw__30m__cxt_bi_status_V230101,0.8866459485658355
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::底分__age_1_3,state,return_20,-1,-0.010554251525070106,raw__30m__cxt_bi_status_V230101,0.5385789720823808
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::延伸__age_1_3,state,return_20,1,0.005190856198973504,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09010609152570273
dynamic__state__raw__30m__cxt_bi_status_V230101__di_1__v2::顶分__age_1_3,state,return_20,1,0.005525952580327897,raw__30m__cxt_bi_status_V230101,0.6271889137152352
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__joint::向上|延伸|任意__age_1_3,state,return_20,1,0.010405837753307447,raw__30m__cxt_bi_status_V230101,0.35648383547569507
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__v1::向上__age_1_3,state,return_20,1,0.0052190004410191185,raw__30m__cxt_bi_status_V230101,0.5211492161465147
dynamic__state__raw__30m__cxt_bi_status_V230102__di_1__v2::底分__age_1_3,state,return_20,-1,-0.006533263616302664,raw__30m__cxt_bi_status_V230101,0.36048479736063777
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_1_3,state,return_20,1,0.019270075314663092,raw__daily__cxt_seven_bi_V230620__di_1,0.08827220603456101
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_4_8,state,return_20,1,0.012669588695482476,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.10926645089643414
dynamic__state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外__age_9_plus,state,return_20,-1,-0.022354193257659933,raw__daily__cxt_seven_bi_V230620__di_1,0.139170124621017
dynamic__state__raw__30m__cxt_bi_trend_V230824__di_1__v1::向下__age_1_3,state,return_20,1,0.018696362133861298,raw__daily__cxt_bi_status_V230101,0.22464626573156657
dynamic__state__raw__30m__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意__age_1_3,state,return_20,-1,-0.006521832548047078,raw__30m__cxt_bi_status_V230101,0.3122995905046912
dynamic__state__raw__30m__cxt_bi_trend_V230913__di_1__v1::下降趋势__age_1_3,state,return_20,-1,-0.006628408180175581,raw__30m__cxt_bi_status_V230101,0.314924795152196
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__onset,event,max_drawdown_20,1,0.00809008109830186,raw__30m__cxt_bi_status_V230101,0.3694194715918836
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__exit,event,max_drawdown_20,1,0.009059652684705825,raw__30m__cxt_bi_status_V230101,0.12118983655039414
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意__age_1_3,state,max_drawdown_20,1,0.00901566890980922,raw__30m__cxt_bi_status_V230101,0.4049062106851707
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第4层|任意__onset,event,max_drawdown_20,-1,-0.009484800880488791,raw__30m__cxt_bi_status_V230101,0.23645496292616108
dynamic__state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第1层|任意__onset,event,max_drawdown_20,1,0.012135804472331238,raw__30m__cxt_bi_status_V230101,0.30827684343804806
