factor,reason
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v2::满足__age_1_3,cross_year_direction
dynamic__state__raw__30m__byi_fx_num_V230628__di_1__v2::满足__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向上|任意__age_9_plus,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__age_1_3,state_influence
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::否|向下|任意__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔__age_1_3,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|3笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|5笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|5笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|5笔__age_1_3,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔__age_1_3,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向上|7笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|3笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔__age_1_3,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|5笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔__onset,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔__exit,cross_year_direction
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔__age_1_3,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__joint::是|向下|7笔__age_4_8,state_active_support
dynamic__state__raw__30m__byi_symmetry_zs_V221107__di_1__v1::否__age_4_8,cross_year_direction
