,risk_sse_return_20d,tsfresh_price_intraday_range_absolute_sum_of_changes_60,tsfresh_price_intraday_range_mean_abs_change_60,price_volatility_ratio_20_60,price_return_5d,rate_shibor_overnight_level,macro_domestic_real_cash_proxy,price_return_120d,tsfresh_log_volume_change_absolute_sum_of_changes_60,tsfresh_log_volume_change_mean_abs_change_60,price_trend_distance_20,risk_sse_return_5d,risk_sse_drawdown_60,currency_usdcnh_return_20d,risk_sse_turnover_z20
risk_sse_return_20d,1.0,-0.0728837140118618,-0.0728837140118618,-0.03246476404250109,-0.08574522056970516,-0.01372509167176227,-0.07817424584330684,0.07248561169883637,-0.025179638905059733,-0.025179638905059733,-0.03603012190633981,0.3974167166176591,0.6553806212030994,0.36671872517419113,0.22245704609904457
tsfresh_price_intraday_range_absolute_sum_of_changes_60,-0.0728837140118618,1.0,1.0,-0.012241823866826521,-0.06830620252513256,0.06773162309063198,0.10715816970822885,0.26875981957126044,0.07703658340965618,0.07703658340965618,-0.11218677345410005,-0.042910078338758935,-0.15305601146383951,0.08908607823488912,-0.07508309463251478
tsfresh_price_intraday_range_mean_abs_change_60,-0.0728837140118618,1.0,1.0,-0.012241823866826521,-0.06830620252513256,0.06773162309063198,0.10715816970822885,0.26875981957126044,0.07703658340965618,0.07703658340965618,-0.11218677345410005,-0.042910078338758935,-0.15305601146383951,0.08908607823488912,-0.07508309463251478
price_volatility_ratio_20_60,-0.03246476404250109,-0.012241823866826521,-0.012241823866826521,1.0,-0.03147132730298642,-0.02777879107524505,0.008845499029314644,0.057397370386781464,-0.08080811595483035,-0.08080811595483035,-0.05803269885659204,0.005784002241204939,-0.05832034638932824,-0.008429285873086768,0.026563239278251768
price_return_5d,-0.08574522056970516,-0.06830620252513256,-0.06830620252513256,-0.03147132730298642,1.0,-0.09166959594620007,-0.046686041050650044,0.1850386944112007,-0.046274494381785054,-0.046274494381785054,0.7129376886459772,0.02992930647438098,-0.13090039320996638,-0.04998521986887275,-0.004042082646151442
rate_shibor_overnight_level,-0.01372509167176227,0.06773162309063198,0.06773162309063198,-0.02777879107524505,-0.09166959594620007,1.0,0.26591994842804006,0.032278769233579044,0.28170273941038837,0.28170273941038837,-0.13948638740611458,-0.018474224507396685,0.07386828716768683,0.09529287814597126,0.028112550068672644
macro_domestic_real_cash_proxy,-0.07817424584330684,0.10715816970822885,0.10715816970822885,0.008845499029314644,-0.046686041050650044,0.26591994842804006,1.0,-0.13259564378022193,0.40338016096317203,0.40338016096317203,-0.0864712739208933,-0.06444676751704922,-0.002303760316861377,-0.034853431498068674,-0.01420812179044832
price_return_120d,0.07248561169883637,0.26875981957126044,0.26875981957126044,0.057397370386781464,0.1850386944112007,0.032278769233579044,-0.13259564378022193,1.0,-0.11517611844968777,-0.11517611844968777,0.260434053029297,0.04388333762342317,0.04911386541357228,0.02161245326647067,0.002975233785273574
tsfresh_log_volume_change_absolute_sum_of_changes_60,-0.025179638905059733,0.07703658340965618,0.07703658340965618,-0.08080811595483035,-0.046274494381785054,0.28170273941038837,0.40338016096317203,-0.11517611844968777,1.0,1.0,-0.10215606729804098,-0.032244103638155816,0.08798019285656121,0.031739919939103176,-0.016819491174011478
tsfresh_log_volume_change_mean_abs_change_60,-0.025179638905059733,0.07703658340965618,0.07703658340965618,-0.08080811595483035,-0.046274494381785054,0.28170273941038837,0.40338016096317203,-0.11517611844968777,1.0,1.0,-0.10215606729804098,-0.032244103638155816,0.08798019285656121,0.031739919939103176,-0.016819491174011478
price_trend_distance_20,-0.03603012190633981,-0.11218677345410005,-0.11218677345410005,-0.05803269885659204,0.7129376886459772,-0.13948638740611458,-0.0864712739208933,0.260434053029297,-0.10215606729804098,-0.10215606729804098,1.0,0.13263122544940148,-0.17449177808537675,-0.05495704994050215,0.1241031117556813
risk_sse_return_5d,0.3974167166176591,-0.042910078338758935,-0.042910078338758935,0.005784002241204939,0.02992930647438098,-0.018474224507396685,-0.06444676751704922,0.04388333762342317,-0.032244103638155816,-0.032244103638155816,0.13263122544940148,1.0,0.39869534171103477,0.12952978968071208,0.3255254184783864
risk_sse_drawdown_60,0.6553806212030994,-0.15305601146383951,-0.15305601146383951,-0.05832034638932824,-0.13090039320996638,0.07386828716768683,-0.002303760316861377,0.04911386541357228,0.08798019285656121,0.08798019285656121,-0.17449177808537675,0.39869534171103477,1.0,0.32006324084573945,0.20063157930261658
currency_usdcnh_return_20d,0.36671872517419113,0.08908607823488912,0.08908607823488912,-0.008429285873086768,-0.04998521986887275,0.09529287814597126,-0.034853431498068674,0.02161245326647067,0.031739919939103176,0.031739919939103176,-0.05495704994050215,0.12952978968071208,0.32006324084573945,1.0,0.11805088182237705
risk_sse_turnover_z20,0.22245704609904457,-0.07508309463251478,-0.07508309463251478,0.026563239278251768,-0.004042082646151442,0.028112550068672644,-0.01420812179044832,0.002975233785273574,-0.016819491174011478,-0.016819491174011478,0.1241031117556813,0.3255254184783864,0.20063157930261658,0.11805088182237705,1.0
