prototype_id,action,count
P-A-MEAN-REVERSION,BLOCK_ENTRY_RISK,2
P-A-MEAN-REVERSION,ENTER,24
P-A-MEAN-REVERSION,EXIT_RISK,2
P-A-MEAN-REVERSION,EXIT_TIME,21
P-A-MEAN-REVERSION,HOLD_CASH,1238
P-A-MEAN-REVERSION,HOLD_POSITION,91
P-B-TREND-CONTINUATION,ENTER,24
P-B-TREND-CONTINUATION,EXIT_RISK,5
P-B-TREND-CONTINUATION,EXIT_TIME,19
P-B-TREND-CONTINUATION,HOLD_CASH,1245
P-B-TREND-CONTINUATION,HOLD_POSITION,84
P-B-TREND-CONTINUATION,IGNORE_ENTRY_WHILE_HOLDING,1
