fee_rate_one_way,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
0.0005,0.26339264295125697,2.577879669447525,-0.1958398099707267,1.3449392286002921,160,320,7.0,4.0,0.3930131004366812
0.001,0.22685708152200856,2.048867653427005,-0.22110369813443342,1.026021199265862,160,320,7.0,4.0,0.3930131004366812
0.0015,0.19137804285064486,1.5980729760680914,-0.2732224845089798,0.7004476340758661,160,320,7.0,4.0,0.3930131004366812
