removed_factor,removed_weight,entry_threshold,exit_threshold,dominates_base,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
price_close_vwap_deviation,0.15193377752410425,0.08550475357503128,-0.008261867568609636,False,0.284963720238701,2.9238688507326875,-0.2394444821634103,1.1901035165396954,146,292,7.0,4.0,0.3930131004366812
price_intraday_range,0.06650856336169951,0.0799035423043325,-0.005508905157309835,False,0.2641608789442229,2.58975802011293,-0.23700705283457757,1.114569696491681,179,358,8.0,5.0,0.38719068413391555
tsfresh__log_volume_change__mean__lb20,0.08679206456928289,0.07698359270390603,-0.008998111480507408,False,0.24080176417244714,2.242658350530385,-0.20537521767344635,1.1724966960489371,178,356,8.0,5.0,0.39810771470160117
risk_shibor_on_change_5d,0.06905148232838305,0.07991596089246843,-0.007557292308612106,False,0.22704264047248213,2.0513827746871476,-0.28890485978707114,0.7858733862760815,163,326,7.0,4.0,0.3951965065502183
risk_chinext_turnover_z20,0.14357304916159092,0.07625884334727621,-0.007536724378243047,False,0.22190252859300164,1.9823355207388325,-0.3469334888787934,0.6396111522993583,188,376,8.0,5.0,0.4032023289665211
micro_share_change_5d_lag1,0.20088442844316637,0.09029027697297581,-0.0015954485125489934,False,0.20738604427981788,1.7941929886185175,-0.24862680427869976,0.8341258493084567,201,402,9.0,6.0,0.3537117903930131
risk_global_spx_return,0.281256634611773,0.07312976481080734,-0.01967122987671699,False,0.19294866676006794,1.6168028476337675,-0.27964773432727397,0.6899704273457785,116,232,5.0,3.0,0.40465793304221254
