step,rounds,enter,exit,spec_id,win_count,min_return_delta,median_return_delta,mean_return_delta,mean_active_factors,weight_shift,2022H1_return,2022H1_return_delta,2022H1_sharpe,2022H1_win,2022H2_return,2022H2_return_delta,2022H2_sharpe,2022H2_win,2023H1_return,2023H1_return_delta,2023H1_sharpe,2023H1_win,2023H2_return,2023H2_return_delta,2023H2_sharpe,2023H2_win,2024H1_return,2024H1_return_delta,2024H1_sharpe,2024H1_win,2024H2_return,2024H2_return_delta,2024H2_sharpe,2024H2_win,2025H1_return,2025H1_return_delta,2025H1_sharpe,2025H1_win,2025H2_return,2025H2_return_delta,2025H2_sharpe,2025H2_win
0.025,1,0.15,0.025,step0.025_r1_en+0.150_ex+0.025,6,-0.01652201736056491,0.011821032059971204,0.022356391976170592,16.25,0.2388482944392036,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.014646242613518545,-0.01652201736056491,0.3187889314805502,False,0.10010805003263723,0.08051551073974461,1.373292475409909,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.3086292787793381,0.04624736979979338,1.5550881325484753,True,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.381082859270226,0.007969337885698646,2.8371094604762574,True
0.025,2,0.15,0.025,step0.025_r2_en+0.150_ex+0.025,5,-0.030028101470358504,0.004630184879886312,0.012632519221923377,16.0,0.25712529353459934,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.0011401585037249529,-0.030028101470358504,0.10969186485369252,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.059077894992471514,0.00954294053386917,-1.3471255733847263,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.37970246660728724,0.006588945222759879,2.8284594936460628,True
0.025,1,0.15,0.05,step0.025_r1_en+0.150_ex+0.050,5,-0.030028101470358504,0.00406392063531591,0.014881764563170502,16.25,0.2388482944392036,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.0011401585037249529,-0.030028101470358504,0.10969186485369252,False,0.10010805003263723,0.08051551073974461,1.373292475409909,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.3086292787793381,0.04624736979979338,1.5550881325484753,True,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.37311352138452736,0.0,2.792914609533737,False
0.05,2,0.15,0.025,step0.050_r2_en+0.150_ex+0.025,5,-0.06346033412232444,0.014461416993893195,-0.0005416493960715696,17.0,0.6411526731502666,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,0.04940936392594475,0.018241103951861293,0.8936529333613812,True,0.07587868679908238,0.056286147506189765,1.1502347418389027,True,-0.13208116964866512,-0.06346033412232444,-3.3698139792914463,False,-0.01437240858675648,0.017849893828988495,-0.13085338333008545,True,0.22370446389372578,-0.03867744508581894,1.2394715384014172,False,0.10036640730982005,0.057633574005349075,1.4703988622059558,True,0.30983444597291165,-0.0632790754116157,2.384012520430005,False
0.05,2,0.175,0.025,step0.050_r2_en+0.175_ex+0.025,5,-0.06451195279139932,0.01311500670040161,0.0001670904137113377,17.0,0.6411526731502666,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,0.04940936392594475,0.018241103951861293,0.8936529333613812,True,0.07587868679908238,0.056286147506189765,1.1502347418389027,True,-0.13313278831774,-0.06451195279139932,-3.426000988789155,False,-0.01437240858675648,0.017849893828988495,-0.13085338333008545,True,0.22649010833099914,-0.03589180064854558,1.2506791595903153,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.30983444597291165,-0.0632790754116157,2.384012520430005,False
0.025,1,0.125,0.025,step0.025_r1_en+0.125_ex+0.025,5,-0.06971372804027065,0.006921787483396502,0.015147710066370015,16.25,0.2388482944392036,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.014646242613518545,-0.01652201736056491,0.3187889314805502,False,0.09719508821894429,0.07760254892605167,1.3270687500018783,True,-0.057448685096560426,0.011172150429780259,-1.2405709502333093,True,-0.10193603045601562,-0.06971372804027065,-1.335761137073843,False,0.25576480956552494,-0.006617099414019778,1.356264785516783,False,0.07074666675930064,0.028013833454829662,1.0407932725495332,True,0.4676880893826685,0.09457456799814112,3.265992828751555,True
0.025,2,0.175,0.025,step0.025_r2_en+0.175_ex+0.025,4,-0.030028101470358504,0.004771470266934585,0.011915154270134981,16.0,0.25712529353459934,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,0.0011401585037249529,-0.030028101470358504,0.10969186485369252,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.059077894992471514,0.00954294053386917,-1.3471255733847263,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3655620313711949,-0.00755149001333244,2.750268102978993,False
0.025,2,0.15,0.05,step0.025_r2_en+0.150_ex+0.050,4,-0.030028101470358504,0.0013357122685063727,0.004884335805438178,16.0,0.25712529353459934,0.0489793682004207,0.0026714245370127454,0.7572727431792993,True,0.0011401585037249529,-0.030028101470358504,0.10969186485369252,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.34990881088353953,-0.023204710500987824,2.6590099259891997,False
0.05,1,0.2,0.05,step0.050_r1_en+0.200_ex+0.050,4,-0.03206330728972817,-0.004081579656079637,0.009677732499532576,15.75,0.50175293264202,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,0.03868752225885719,0.007519262284773731,0.7057668451202435,True,0.1066328746481906,0.08704033535529798,1.4771912796683642,True,-0.10068414281606886,-0.03206330728972817,-2.4655567861442216,False,-0.04790472401267798,-0.015682421596933005,-0.6624533371282091,False,0.24421899753192933,-0.018162911447615393,1.319394030642189,False,0.106995120606868,0.06426228730239703,1.5827151266209945,True,0.3492420172007811,-0.023871504183746284,2.676078825018907,False
0.025,2,0.175,0.05,step0.025_r2_en+0.175_ex+0.050,4,-0.03703979348222486,0.002728208366809537,0.004205139885506692,16.0,0.25712529353459934,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,0.0011401585037249529,-0.030028101470358504,0.10969186485369252,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.06316441879272161,0.005456416733619074,-1.4591199922717328,True,-0.032222302415744974,0.0,-0.4131995599473113,False,0.2623819089795447,0.0,1.3922634383082284,False,0.05692432947002368,0.014191496165552708,0.8818998260950702,True,0.3360737279023025,-0.03703979348222486,2.580099171396632,False
0.025,1,0.175,0.025,step0.025_r1_en+0.175_ex+0.025,4,-0.043008766665737164,0.005536470079398947,0.011229574977502974,16.25,0.2388482944392036,0.05738088382220585,0.011072940158797895,0.8463431931500763,True,-0.011840506691653707,-0.043008766665737164,-0.0968403945432924,False,0.08958070027155984,0.06998816097866722,1.2497818847469888,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.04020162383281167,-0.007979321417066698,-0.5406359233230692,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3669282765251429,-0.006185244859384431,2.758926918088799,False
0.025,1,0.2,0.025,step0.025_r1_en+0.200_ex+0.025,4,-0.04551971297700108,0.004190059785907363,0.0068792704346802985,16.25,0.2388482944392036,0.054688063235222684,0.008380119571814726,0.8157972248151985,True,-0.014351453002917625,-0.04551971297700108,-0.13755203148654477,False,0.08127121923993719,0.06167867994704457,1.16843705898064,True,-0.05294810929209692,0.01567272623424376,-1.2011531876119157,True,-0.06149081224552333,-0.029268509829778355,-0.8747152073695433,False,0.2623819089795447,0.0,1.3922634383082284,False,0.09300893869497417,0.0502761053905032,1.3363122746902345,True,0.3669282765251429,-0.006185244859384431,2.758926918088799,False
