control,repetition,mean_return_4,mean_return_5,mean_return_6,mean_band_return,win_rate_5,compound_return_5
CALENDAR_MATCHED,0,0.0019191874725834745,0.0026064650908008955,-0.001180622785229324,0.001115009926051682,0.64,0.05921392473464504
PULLBACK_VOL_MATCHED,0,-0.01006417637674773,-0.010143486265318677,-0.008014951898880246,-0.009407538180315552,0.4,-0.23952756568154798
CALENDAR_MATCHED,1,0.007649176703531384,0.008936403548327285,0.005973265844325226,0.007519615365394631,0.6,0.22919496371690418
PULLBACK_VOL_MATCHED,1,0.0002875118548203881,0.005642015197227259,0.005887457392471029,0.003938994814839558,0.56,0.1387811988099117
CALENDAR_MATCHED,2,0.0005550723619471665,-0.0010954799606213905,-0.005562706593624789,-0.0020343713974330046,0.6,-0.04219057081714506
PULLBACK_VOL_MATCHED,2,-0.004135934562645418,-0.007312287724492998,-0.011059187143879936,-0.00750246981033945,0.32,-0.17308128875203743
CALENDAR_MATCHED,3,-0.006891357417332032,-0.007369772698778938,-0.00640336994700717,-0.006888166687706047,0.48,-0.17503562004903594
PULLBACK_VOL_MATCHED,3,-0.005902188750674879,0.0009085477381565621,0.0035301849971629373,-0.0004878186717851267,0.52,0.010222327733677483
CALENDAR_MATCHED,4,0.006926290759167801,0.011695851626370825,0.009271851599487598,0.009297997995008741,0.4,0.2361901080563784
PULLBACK_VOL_MATCHED,4,-0.007946113710139042,-0.009890883827795967,-0.007072305561182448,-0.008303101033039152,0.4,-0.22734528375497387
CALENDAR_MATCHED,5,-0.006398011890529123,-0.007655916799457367,-0.007824523523503903,-0.007292817404496799,0.4,-0.1800850848550597
PULLBACK_VOL_MATCHED,5,-0.0018479508491651142,-0.004160923430591299,-0.0045700688776600315,-0.0035263143858054813,0.4,-0.11120273751851772
CALENDAR_MATCHED,6,0.003349373080836031,0.012325013905226511,0.007771034610409649,0.007815140532157396,0.52,0.26001395272234196
PULLBACK_VOL_MATCHED,6,-0.006874723160897829,-0.010033178915338588,-0.007331409217626032,-0.008079770431287483,0.4,-0.23799602162071154
CALENDAR_MATCHED,7,0.0006134527702469361,0.001054810318476509,-0.002955326897053041,-0.0004290212694431994,0.68,0.02260198353258036
PULLBACK_VOL_MATCHED,7,-0.0015651274384339243,-0.000543739978306057,0.0029155425244073506,0.0002688917025557891,0.52,-0.022302585616997384
CALENDAR_MATCHED,8,-0.0006711340035565483,0.00045853362188231995,-0.0020617203207144376,-0.0007581069007962213,0.44,0.007943995251230573
PULLBACK_VOL_MATCHED,8,-0.014670446547987593,-0.012138511978608909,-0.012433765081499315,-0.013080907869365275,0.4,-0.2770136804412324
CALENDAR_MATCHED,9,0.0009499773128635657,0.0006033509904930545,0.0014468751682260982,0.0010000678238609067,0.52,0.010630571646740306
PULLBACK_VOL_MATCHED,9,0.0017517273165068214,-0.001407102558733908,-0.0026400458996603993,-0.0007651403806291626,0.48,-0.04168640966128134
CALENDAR_MATCHED,10,0.006763369049273385,0.003974774589255028,0.0021980953899444567,0.004312079676157623,0.56,0.09542216325561736
PULLBACK_VOL_MATCHED,10,-0.001297594346438138,0.0015784725994650417,0.001214944657256476,0.0004986076367611268,0.6,0.028291157704738223
CALENDAR_MATCHED,11,-0.006829707411337411,-0.006250131237006933,-0.005763320135661565,-0.00628105292800197,0.52,-0.15393038019866379
PULLBACK_VOL_MATCHED,11,-0.0009375491449304186,-0.0015350240843053297,-0.0011916251918583321,-0.0012213994736980278,0.52,-0.05328102548086611
CALENDAR_MATCHED,12,-0.00363017952487696,-0.00467656690080823,-0.001972563673330128,-0.0034264366996717734,0.48,-0.11551617238201228
PULLBACK_VOL_MATCHED,12,0.0017162078715281437,0.003472444546362139,0.008589190180581206,0.004592614199490497,0.52,0.0805975747540526
CALENDAR_MATCHED,13,0.005693905862356381,0.004061867738631522,0.004651401013382675,0.004802391538123526,0.64,0.10065753541296907
PULLBACK_VOL_MATCHED,13,-0.005838939197906536,-0.0069894979928429544,-0.005026846044153075,-0.005951761078300854,0.32,-0.1776952821725678
CALENDAR_MATCHED,14,-0.014265063721214721,-0.014878607539050908,-0.016359705621529677,-0.015167792293931767,0.32,-0.32842515939599903
PULLBACK_VOL_MATCHED,14,6.204501288302744e-05,7.589239700590333e-05,0.0020387030087171665,0.0007255468062020326,0.44,-0.00431315534847565
CALENDAR_MATCHED,15,-0.0011793788889387935,0.0005122916496545659,-0.0015503754922367285,-0.0007391542438403187,0.48,0.0054741768345476505
PULLBACK_VOL_MATCHED,15,-0.014423572967121595,-0.010568143675511404,-0.01125085766583688,-0.012080858102823291,0.44,-0.25110512135738583
CALENDAR_MATCHED,16,-0.011201686297366122,-0.012279905272984348,-0.016991906272166707,-0.013491165947505726,0.36,-0.27505174579198544
PULLBACK_VOL_MATCHED,16,-0.0029664036813745343,-0.0022378798907960683,0.0005189192003707932,-0.0015617881239332696,0.44,-0.061233543476202135
CALENDAR_MATCHED,17,-0.003575958089880471,0.0019122857068736509,7.172481112508234e-05,-0.0005306491906272453,0.6,0.03535634773272589
PULLBACK_VOL_MATCHED,17,-0.0052281335152813795,-0.004673170725977758,-0.002660891644145842,-0.004187398628468325,0.32,-0.11791541858304544
CALENDAR_MATCHED,18,0.006738168120574217,0.0025358069885762415,0.004827331892779631,0.00470043566731003,0.64,0.056022968493688596
PULLBACK_VOL_MATCHED,18,-0.0036547076320464634,-0.004789679783784218,-0.006690360674129781,-0.005044916029986821,0.44,-0.11776738525234609
CALENDAR_MATCHED,19,-0.007236464921312739,-0.0070493687398951186,-0.0052167719270313165,-0.0065008685294130585,0.44,-0.16818262639546633
PULLBACK_VOL_MATCHED,19,-0.0038597645972789606,-0.01025553193263618,-0.0052296899017827015,-0.006448328810565947,0.48,-0.25054731830435384
CALENDAR_MATCHED,20,0.00025476675194816776,0.0006718319013889262,0.00573121182538332,0.0022192701595734714,0.44,0.003060927042239925
PULLBACK_VOL_MATCHED,20,-0.00032154004047424856,0.003176738847771339,0.003703450753632773,0.0021862165203099544,0.56,0.07739393018343921
CALENDAR_MATCHED,21,-0.003510315297376976,-0.0017747355767665817,-0.005059577562544102,-0.0034482094788958863,0.52,-0.0462013433393218
PULLBACK_VOL_MATCHED,21,-0.007295258676032641,-0.005131499212564545,-0.0022094830667794695,-0.004878746985125552,0.44,-0.13198744419089592
CALENDAR_MATCHED,22,-0.0001466654425273717,0.0026595850544419443,0.0017841988630898698,0.0014323728250014817,0.6,0.05557706952987074
PULLBACK_VOL_MATCHED,22,0.0015703296213740892,0.0030946181756679046,0.006663895027845599,0.0037762809416291977,0.64,0.07028893165949146
CALENDAR_MATCHED,23,0.010408340034959319,0.008280506056250192,0.0037685746648834194,0.0074858069186976425,0.64,0.21778971212450138
PULLBACK_VOL_MATCHED,23,-0.004648133448662004,-0.003699036280493013,-0.0029817621208772316,-0.0037763106166774163,0.44,-0.10750043350500682
CALENDAR_MATCHED,24,-0.006857055022763228,-0.008825597295080262,-0.010115152470759482,-0.008599268262867658,0.44,-0.212817199804199
PULLBACK_VOL_MATCHED,24,-0.0001317158661593698,-0.0017696647803546294,0.0019239231935178002,7.5141823346010915e-06,0.44,-0.06474006808839206
CALENDAR_MATCHED,25,0.003300683122808925,0.004818209182818922,0.0011422542055149166,0.0030870488370475877,0.56,0.12080678945926793
PULLBACK_VOL_MATCHED,25,0.006681970198459877,0.006690880600711307,0.0063663978396327845,0.0065797495462679885,0.52,0.16768723482598036
