descriptor,quantile_bin,protective_support,downtrend_protective_support,joint_margin_protective_support,other_false_support,neutral_support,low_contamination
close_location20,Q3,5,3,0,0,1,False
close_to_ma20,Q3,3,2,0,1,3,False
downside_semivol5_to20,Q5,1,0,0,1,3,True
ma10_ma20_spread,Q5,3,0,0,0,1,False
max_drawdown5_to_atr20,Q4,4,1,2,0,0,False
weekly_close_to_ma10,Q5,2,0,0,0,0,True
