variant,window,strategy_return,sharpe,max_drawdown,exposure,trade_count
baseline,2021,0.0029406556554447683,0.13294054781997158,-0.22018543313931405,0.6584362139917695,31
baseline,2022,-0.07098337536211052,-0.3925555936985177,-0.167370458417332,0.5454545454545454,27
baseline,2023,-0.06031910763728798,-0.3898777490492146,-0.19033050155566777,0.6570247933884298,29
baseline,2024,0.06821503071757551,0.429718323504386,-0.18357160128619643,0.5289256198347108,31
baseline,2025,0.5165797353772803,2.1935321360904703,-0.12500239103219846,0.720164609053498,23
baseline,2021H1,0.24893799167194453,3.071835242807882,-0.070445854346318,0.6440677966101694,5
baseline,2021H2,-0.19785984963082448,-2.7932256547119008,-0.22018543313931405,0.672,27
baseline,2022H1,-0.06477702515250938,-0.7230789850675907,-0.167370458417332,0.5299145299145299,13
baseline,2022H2,-0.004512956055262585,0.027823439228323324,-0.09410443425020654,0.56,15
baseline,2023H1,0.0509484040161825,0.7678236149964333,-0.09040812622954864,0.847457627118644,15
baseline,2023H2,-0.10632026926329408,-2.295242649962902,-0.12099160975498391,0.47580645161290325,15
baseline,2024H1,-0.09485536840967668,-1.2263976900051408,-0.11218947015927683,0.5555555555555556,16
baseline,2024H2,0.18015949433488965,1.0655359885390128,-0.18357160128619576,0.504,15
baseline,2025H1,0.03483459850082471,0.5727132492529325,-0.12500239103219846,0.6581196581196581,13
baseline,2025H2,0.466221134770592,3.257468496072225,-0.10762651461154682,0.7777777777777778,11
weights_only,2021,0.0586052763761673,0.5083374866403058,-0.17690462499575965,0.5967078189300411,25
weights_only,2022,0.060489312364011116,0.5272109573479457,-0.0830829147636587,0.49586776859504134,23
weights_only,2023,-0.011306741436489909,0.0023703388141905098,-0.14809933746379178,0.5950413223140496,31
weights_only,2024,0.11020631646439782,0.5534049793869611,-0.18231540565177773,0.49173553719008267,29
weights_only,2025,0.5671837703245166,2.3663775722104208,-0.11422267095201222,0.720164609053498,21
weights_only,2021H1,0.24893799167194453,3.071835242807882,-0.070445854346318,0.6440677966101694,5
weights_only,2021H2,-0.15333994011934604,-2.5008471751740355,-0.17690462499575932,0.552,21
weights_only,2022H1,0.03063302122572198,0.5204841369105536,-0.0830829147636587,0.48717948717948717,13
weights_only,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11
weights_only,2023H1,0.05986335061671544,0.8895205169800665,-0.08269227362255716,0.7966101694915254,17
weights_only,2023H2,-0.06761644469638173,-1.4857061211381033,-0.08580332791315448,0.4032258064516129,15
weights_only,2024H1,-0.08809673332419898,-1.1495713126993765,-0.11218947015927683,0.5213675213675214,14
weights_only,2024H2,0.21746062004085065,1.2164372609149305,-0.18231540565177784,0.464,15
weights_only,2025H1,0.06829531243389919,1.0120613333356092,-0.11422267095201222,0.6495726495726496,13
weights_only,2025H2,0.4676880893826685,3.265992828751555,-0.10762651461154682,0.7857142857142857,9
thresholds_only,2021,0.05721935860486682,0.5024947846614832,-0.17690462499575987,0.5761316872427984,25
thresholds_only,2022,0.07661831985256495,0.6370395335320825,-0.0854180176971977,0.48760330578512395,23
thresholds_only,2023,-0.008533713971588086,0.02274636271188204,-0.13939122511269286,0.5619834710743802,29
thresholds_only,2024,0.21163210634140217,0.8409858291096984,-0.1823154056517775,0.45454545454545453,25
thresholds_only,2025,0.5073148826921268,2.2171415987314855,-0.13690346751518767,0.6748971193415638,19
thresholds_only,2021H1,0.24730289179426856,3.1127109567916733,-0.07616618755034055,0.6016949152542372,5
thresholds_only,2021H2,-0.15333994011934604,-2.5008471751740355,-0.17690462499575932,0.552,21
thresholds_only,2022H1,0.04630794366340796,0.7254985472584836,-0.0854180176971977,0.4700854700854701,13
thresholds_only,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11
thresholds_only,2023H1,0.057785187184133946,0.8636426523168939,-0.08269227362255682,0.7627118644067796,17
thresholds_only,2023H2,-0.06316441879272161,-1.4591199922717328,-0.07354883540959278,0.3709677419354839,13
thresholds_only,2024H1,-0.04020162383281167,-0.5406359233230692,-0.08766782107561466,0.47863247863247865,12
thresholds_only,2024H2,0.2623819089795447,1.3922634383082284,-0.1823154056517774,0.432,13
thresholds_only,2025H1,0.09300893869497417,1.3363122746902345,-0.09463717720500431,0.6153846153846154,11
thresholds_only,2025H2,0.37970246660728724,2.8284594936460628,-0.13690346751518845,0.7301587301587301,9
combined,2021,-0.00619914062358029,0.05300635265283405,-0.1812898546014765,0.5596707818930041,29
combined,2022,0.07661831985256495,0.6370395335320825,-0.0854180176971977,0.48760330578512395,23
combined,2023,-0.050372752649808894,-0.34463972717980246,-0.1508975380849421,0.5330578512396694,33
combined,2024,0.22170505734424073,0.8682122887851095,-0.18231540565177773,0.45041322314049587,25
combined,2025,0.4311143133322253,1.9559098664199772,-0.14102529516436368,0.6502057613168725,25
combined,2021H1,0.19306777530968966,2.6567773518584046,-0.07616618755034055,0.5932203389830508,7
combined,2021H2,-0.16794861525127291,-2.8407777920336588,-0.1746914467340368,0.528,23
combined,2022H1,0.04630794366340796,0.7254985472584836,-0.0854180176971977,0.4700854700854701,13
combined,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11
combined,2023H1,0.01959253929289262,0.38021080082503983,-0.0856484670694928,0.7033898305084746,20
combined,2023H2,-0.06862083552634068,-1.5912144703692825,-0.07805054174871007,0.3709677419354839,13
combined,2024H1,-0.032222302415744974,-0.4131995599473113,-0.08766782107561533,0.4700854700854701,12
combined,2024H2,0.2623819089795447,1.3922634383082284,-0.1823154056517774,0.432,13
combined,2025H1,0.042732833304470974,0.6877953718266402,-0.09722267687676034,0.5811965811965812,17
combined,2025H2,0.37311352138452736,2.792914609533737,-0.14102529516436346,0.7142857142857143,9
