window,component,return_contribution,sharpe_contribution
2021,weights,-0.003876939253862288,-0.03704574659415749
2021,thresholds,-0.00526285702516277,-0.04288844857298002
2021,interaction,-0.11908311994916965,-0.8248853708289834
2022,weights,0.06573634386306082,0.4598832755232317
2022,thresholds,0.08186535135161466,0.5697118517073686
2022,interaction,-0.13147268772612164,-0.9197665510464634
2023,weights,0.003586663761288633,0.012430998985860309
2023,thresholds,0.006359691226190456,0.032807022883551806
2023,interaction,-0.09085140487901888,-0.7596341777550896
2024,weights,0.026032118374830437,0.07545655777899307
2024,thresholds,0.12745790825183478,0.3630374075017304
2024,interaction,-0.031918334743983756,-0.09646019620716406
2025,weights,-0.012798267206332592,-0.0441931480957789
2025,thresholds,-0.07266715483872244,-0.19342912157471415
2025,interaction,-0.1268046043071378,-0.4340771684314588
2021H1,weights,-0.027117558242289452,-0.22796680246663437
2021H1,thresholds,-0.028752658119965413,-0.18709108848284295
2021H1,interaction,-0.054235116484578905,-0.45593360493326873
2021H2,weights,0.014955617189775783,-0.023776068660879
2021H2,thresholds,0.014955617189775783,-0.023776068660879
2021H2,interaction,-0.05912858464340531,-0.6323090963974884
2022H1,weights,0.04770502318911568,0.6217815609890722
2022H1,thresholds,0.06337994562680166,0.8267959713370021
2022H1,interaction,-0.09541004637823136,-1.2435631219781444
2022H2,weights,0.01784060801467302,0.27281912798890917
2022H2,thresholds,0.01784060801467302,0.27281912798890917
2022H2,interaction,-0.03568121602934604,-0.5456382559778183
2023H1,weights,-0.014638850645354196,-0.18086747475411039
2023H1,thresholds,-0.016717014077935688,-0.20674533941728301
2023H1,interaction,-0.04710759449177426,-0.6051287534754872
2023H2,weights,0.016623703916646637,0.3387210253636246
2023H2,thresholds,0.021075729820306754,0.36530715422999505
2023H2,interaction,-0.04416024130053142,-0.9416310069223486
2024H1,weights,0.007368978251272196,0.10213137034076109
2024H1,thresholds,0.05526408774265951,0.7110667597170683
2024H1,interaction,0.0012206863315890049,0.05060998606999356
2024H2,weights,0.0186505628529805,0.07545063618795889
2024H2,thresholds,0.06357185179167457,0.25127681358125675
2024H2,interaction,-0.037301125705961,-0.15090127237591777
2025H1,weights,-0.00840769572871436,-0.10458440939045882
2025H1,thresholds,0.016305930532360624,0.21966653196416647
2025H1,interaction,-0.08373681932357768,-1.0878649869462709
2025H2,weights,-0.0025609953053417067,-0.013510275716497766
2025H2,thresholds,-0.09054661808072295,-0.4510436108219902
2025H2,interaction,-0.008055899834836344,-0.044069216791656096
