window,left_group,right_group,return_interaction,sharpe_interaction
2021,structure,trend,-0.03547193723345521,-0.3335514117665038
2021,structure,volume_position,-0.06271649315245398,-0.26649283340948304
2021,trend,volume_position,0.020188323024915245,-0.27757907202048304
2022,structure,trend,0.046033797484940076,0.39868955527562666
2022,structure,volume_position,0.08344445969802361,0.494503536141379
2022,trend,volume_position,0.22330810904072385,1.2374355668120396
2023,structure,trend,0.029282154026791407,0.1954945265139918
2023,structure,volume_position,-0.003139237338163847,-0.005226757313764652
2023,trend,volume_position,0.10912507434131563,0.9034114211497775
2024,structure,trend,0.0952007857055544,0.3846433783919955
2024,structure,volume_position,0.006784492555771793,-0.09670699450711381
2024,trend,volume_position,0.27600112082876344,0.9483335957161022
2025,structure,trend,-0.188829280780347,-0.857018318560121
2025,structure,volume_position,-0.05735497584394078,-0.7060054642656503
2025,trend,volume_position,-0.2999845877961692,-0.7989123824298104
2021H1,structure,trend,0.05390310564258427,0.42081465740438556
2021H1,structure,volume_position,-0.036689497993553255,-0.24659704594913068
2021H1,trend,volume_position,-0.04753334812558219,-1.1016797403642062
2021H2,structure,trend,-0.06696181987855898,-1.3216445695110286
2021H2,structure,volume_position,-0.0279719812416368,-0.27687306687104807
2021H2,trend,volume_position,0.07333835554838186,0.9062622070649445
2022H1,structure,trend,-0.020945451224772094,-0.05045648142086839
2022H1,structure,volume_position,0.13004810540718603,1.4313797112420368
2022H1,trend,volume_position,0.12189880376591644,1.024976334147985
2022H2,structure,trend,0.06587811576920344,1.0596882222575768
2022H2,structure,volume_position,-0.04747039113862006,-0.7774239896349135
2022H2,trend,volume_position,0.1166106733011496,1.6966965804000202
2023H1,structure,trend,0.008028450369729212,0.08511558226783697
2023H1,structure,volume_position,-0.03279696994945791,-0.3946787615644337
2023H1,trend,volume_position,-0.03859678613677864,-0.6531732008687681
2023H2,structure,trend,0.022562989051057636,0.5823379403808946
2023H2,structure,volume_position,0.02500036152359203,0.4156946037279168
2023H2,trend,volume_position,0.14243970828542035,3.077435446359164
2024H1,structure,trend,0.05404406527626998,0.8778100613850999
2024H1,structure,volume_position,-0.0017317565032683446,-0.19958912876052237
2024H1,trend,volume_position,0.1638936479781194,2.0240059672110404
2024H2,structure,trend,0.033760279489483014,0.18399250282385227
2024H2,structure,volume_position,0.00550626896628581,-0.026761183281325963
2024H2,trend,volume_position,0.1171177643419673,0.2967403437061943
2025H1,structure,trend,-0.09063329536192055,-1.1883916605823006
2025H1,structure,volume_position,0.030374335289792387,-0.08555121143326481
2025H1,trend,volume_position,-0.026286285237010376,-0.022210151714757098
2025H2,structure,trend,-0.054831020036172684,-0.6893203482378352
2025H2,structure,volume_position,-0.12302013614341833,-1.1285430274784216
2025H2,trend,volume_position,-0.2470945478095642,-1.3166119379069563
