mechanism,episodes,entry_checkpoint,exit_checkpoint,gross_mean_return,baseline_mean_return,baseline_profit_factor,stress_mean_return,stress_profit_factor,stress_win_rate,stress_cumulative_return,opposite_stress_mean_return,unconditional_baseline_mean_return,positive_years,recent_event_count,recent_stress_mean_return,incremental_terminal_return_vs_static,account_max_drawdown,account_calmar,static_max_drawdown,static_calmar,eligible_for_audit
RELATIVE_STRENGTH_CONTINUATION,375,OPEN,11:30_CLOSE,0.0009435566397127282,0.0007033590098348667,1.226372681677731,-0.0002568553810424549,0.9283352046122347,0.4746666666666667,-0.10738544831446606,-0.0020488954621264324,0.0005624209826857331,3,69,0.0014684883896845854,-0.046302562153725635,-0.3392377253746247,0.052753375125960754,-0.21515895921604933,0.1228588264055616,False
RELATIVE_RESIDUAL_REVERSION,350,OPEN,11:30_CLOSE,0.00041974644066000456,0.00017967451014599416,1.0530990160986582,-0.0007800373847735078,0.7984989342909417,0.46,-0.25008797495888246,-0.0015345588940602441,0.0005624209826857331,2,72,-0.002392341864844927,-0.10783317652614477,-0.2648979511800639,0.02266791516348909,-0.21515895921604933,0.1228588264055616,False
OPENING_GAP_REVERSION,349,09:40_OPEN,11:30_CLOSE,0.0004908489112482596,0.000250759918188822,1.0834983022332956,-0.0007090201859868741,0.7968877749725581,0.45272206303724927,-0.2292128520623402,-0.0016159002568207448,0.00018906493842416134,1,61,-0.001157789544462305,-0.09883222071178432,-0.2771738050572429,0.02808912537652732,-0.21515895921604933,0.1228588264055616,False
