mechanism,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
RELATIVE_STRENGTH_CONTINUATION,2021,68,-7.317158930450322e-05,0.0011259681955447798,0.5441176470588235,0.9738741311982677,-0.0064543162461436765,-0.0064543162461436765
RELATIVE_STRENGTH_CONTINUATION,2022,56,-0.0021190551632746225,-0.0006039496419918966,0.4107142857142857,0.5820180490075741,-0.11499837217247388,-0.11499837217247388
RELATIVE_STRENGTH_CONTINUATION,2023,71,-0.0020621332920720205,-0.002078506417276471,0.352112676056338,0.30582520413548525,-0.1369227012060965,-0.1369227012060965
RELATIVE_STRENGTH_CONTINUATION,2024,60,0.00012349698533073067,-0.0012044098648540946,0.43333333333333335,1.0244553887600505,0.0012275695683401366,0.0012275695683401366
RELATIVE_STRENGTH_CONTINUATION,2025,79,0.0009699227881031502,0.00022880180956352802,0.5316455696202531,1.3741150386071093,0.0766880992210548,0.0766880992210548
RELATIVE_STRENGTH_CONTINUATION,2026,41,0.002187798382494762,0.005767476505494029,0.6097560975609756,1.5941572755533093,0.09108766471643381,0.09108766471643381
RELATIVE_RESIDUAL_REVERSION,2021,60,-0.0003108798365050958,0.0012607759323997048,0.5666666666666667,0.8919687230565496,-0.019974359250397034,-0.019974359250397034
RELATIVE_RESIDUAL_REVERSION,2022,58,0.0001518639915936876,-0.000794514375829003,0.4827586206896552,1.0493529625355535,0.006865757079633328,0.006865757079633328
RELATIVE_RESIDUAL_REVERSION,2023,55,-0.0009783201816384853,-0.00119928043174089,0.38181818181818183,0.6793304474988158,-0.053723676433880985,-0.053723676433880985
RELATIVE_RESIDUAL_REVERSION,2024,66,-0.0009306356979430228,-0.0002760981806800844,0.48484848484848486,0.7789317990477151,-0.06284457090599149,-0.06284457090599149
RELATIVE_RESIDUAL_REVERSION,2025,62,0.00022492262576806655,0.0003912706879427019,0.5,1.0564181576364595,0.010967586232831561,0.010967586232831561
RELATIVE_RESIDUAL_REVERSION,2026,49,-0.003303755974206526,-0.004180775117019198,0.30612244897959184,0.4793863734926405,-0.15231504062462176,-0.15231504062462176
OPENING_GAP_REVERSION,2021,67,0.00026261889803836806,0.0008917189811723514,0.5970149253731343,1.09535603856248,0.015785848164759475,0.015785848164759475
OPENING_GAP_REVERSION,2022,62,-0.0005238447537760264,-0.0012106918384638954,0.3870967741935484,0.8356963810705546,-0.03380525638424425,-0.03380525638424425
OPENING_GAP_REVERSION,2023,56,-0.0013192344196041772,-0.0012859217155341551,0.2857142857142857,0.4800731104395232,-0.07183389820347985,-0.07183389820347985
OPENING_GAP_REVERSION,2024,59,-0.0010074131960002334,-0.00037586681297074875,0.4745762711864407,0.7701255438914438,-0.061041019631735915,-0.061041019631735915
OPENING_GAP_REVERSION,2025,63,-0.00129224933917957,-0.0008636619103806753,0.4603174603174603,0.6247540194288229,-0.07983420362139992,-0.07983420362139992
OPENING_GAP_REVERSION,2026,42,-0.00042473623604084523,0.0003437047567823037,0.5,0.9183476633910932,-0.02066962006526063,-0.02066962006526063
