segment_id,year,episodes,gross_mean_return,gross_win_rate,gross_cumulative_return,baseline_mean_return,baseline_win_rate,baseline_cumulative_return,stress_mean_return,stress_win_rate,stress_cumulative_return
OVERNIGHT,2021,243,-0.0008022320445190062,0.2757201646090535,-0.17820107350616354,-0.001042010735385326,0.24691358024691357,-0.2247576036910084,-0.0020005503750672336,0.1440329218106996,-0.3860609137461659
OVERNIGHT,2022,242,-0.0008852222038072856,0.359504132231405,-0.19507662833583417,-0.001124980979425213,0.33884297520661155,-0.2404948656914242,-0.002083441005881457,0.23553719008264462,-0.3979460570279031
OVERNIGHT,2023,242,0.0001198332645472756,0.4132231404958678,0.027304527461740502,-0.00012016669544091245,0.371900826446281,-0.030661687096374735,-0.0010795908808829023,0.22727272727272727,-0.2316128924015407
OVERNIGHT,2024,242,6.208225949763691e-06,0.32231404958677684,-0.00751798153300931,-0.0002337644673011839,0.2892561983471074,-0.06351931715418002,-0.0011930796511950615,0.18181818181818182,-0.2576588858246469
OVERNIGHT,2025,243,-0.0008250957515265264,0.35390946502057613,-0.18394469480969644,-0.00106486895576157,0.32098765432098764,-0.23017583751839932,-0.0020233866620783447,0.2222222222222222,-0.39035178527349046
OVERNIGHT,2026,166,-0.0008007236461652978,0.42771084337349397,-0.12885282165336998,-0.0010405026990037813,0.40963855421686746,-0.16287706230182852,-0.0019990437857061597,0.3132530120481928,-0.28619421540895473
OPEN_TO_1030,2021,243,0.0008344903893276315,0.6008230452674898,0.22020495781925575,0.0005943189322091361,0.588477366255144,0.15107794010364528,-0.0003657908304076855,0.51440329218107,-0.08842480478517178
OPEN_TO_1030,2022,242,0.00017174196029186466,0.5330578512396694,0.036132277925857936,-6.827045628852462e-05,0.5247933884297521,-0.022332047235092523,-0.001027744438221353,0.45867768595041325,-0.22501005024091514
OPEN_TO_1030,2023,242,-6.501052342751608e-05,0.4462809917355372,-0.018324232464937196,-0.0003049661262294669,0.4297520661157025,-0.07371581952241935,-0.0012642129893198457,0.3512396694214876,-0.26574157569469403
OPEN_TO_1030,2024,242,0.0003138476172608391,0.47107438016528924,0.06619851559849232,7.38010994149286e-05,0.4669421487603306,0.006037686686902299,-0.00088580920578602,0.4049586776859504,-0.2025215779485503
OPEN_TO_1030,2025,243,0.0016100641940630363,0.5843621399176955,0.47037509410274203,0.0013697066215652412,0.5761316872427984,0.38707544470589417,0.00040885284384031703,0.5267489711934157,0.09846911771380107
OPEN_TO_1030,2026,166,0.0008018966916254237,0.5180722891566265,0.13294819608659125,0.0005617330560557979,0.5060240963855421,0.08869883957826108,-0.0003983454391260522,0.4819277108433735,-0.0716781318818468
OPEN_TO_1130,2021,243,0.0011951012679603612,0.6213991769547325,0.3284478881885462,0.0009548432746153425,0.6090534979423868,0.25318869495825824,-5.6124253451832325e-06,0.5637860082304527,-0.0075600535401411095
OPEN_TO_1130,2022,242,0.0002781062678198427,0.5247933884297521,0.059010594354610424,3.806832686856978e-05,0.5247933884297521,-0.0007446522063618843,-0.0009215076913260392,0.4628099173553719,-0.20789788640100282
OPEN_TO_1130,2023,242,-0.00012630348976606267,0.45041322314049587,-0.0341443406671581,-0.0003662443840211124,0.4462809917355372,-0.08864326954795598,-0.0013254324482032548,0.3884297520661157,-0.27757445178785545
OPEN_TO_1130,2024,242,0.0010734352498222226,0.5082644628099173,0.27498208410670655,0.000833206452817997,0.49173553719008267,0.20304052922259697,-0.00012713253180856638,0.44214876033057854,-0.046358923125553675
OPEN_TO_1130,2025,243,0.0015334630839886523,0.5555555555555556,0.4378771398613093,0.0012931238935514286,0.5555555555555556,0.35641856367447566,0.00033234359997830356,0.522633744855967,0.0741909595307213
OPEN_TO_1130,2026,166,0.0008820065736427044,0.5060240963855421,0.1449356926905241,0.0006418237140082821,0.5060240963855421,0.10021814265604201,-0.0003183316313226685,0.4759036144578313,-0.061855745227401115
OPEN_TO_CLOSE,2021,243,0.0015041896573803476,0.6255144032921811,0.4267622844931209,0.0012638574917225515,0.6172839506172839,0.3459333867869645,0.0003031052804177018,0.5432098765432098,0.06588741479660731
OPEN_TO_CLOSE,2022,242,0.00014321931540117692,0.5206611570247934,0.014569558327541365,-9.67862565657973e-05,0.512396694214876,-0.042678078697343746,-0.0010562328764621648,0.47107438016528924,-0.24113819462381303
OPEN_TO_CLOSE,2023,242,-0.0003459764064800382,0.4628099173553719,-0.08742796480857595,-0.0005858645855609007,0.45041322314049587,-0.1389203363279986,-0.0015448419154868395,0.3925619834710744,-0.3174287002039009
OPEN_TO_CLOSE,2024,242,0.0004482034913499654,0.512396694214876,0.07773375528340565,0.0002081247319632628,0.5,0.01692204422277288,-0.0007516144620675808,0.43388429752066116,-0.19389363051913144
OPEN_TO_CLOSE,2025,243,0.0020670458763407764,0.5637860082304527,0.6266249126265704,0.0018265786413987394,0.5596707818930041,0.5344734028074785,0.0008652864769288413,0.5308641975308642,0.21519824416949085
OPEN_TO_CLOSE,2026,166,0.001267240209393232,0.5662650602409639,0.20836794613555498,0.0010269649047796264,0.5662650602409639,0.16117293384241838,6.644000126686306e-05,0.5240963855421686,-0.009880246064740361
SIGNAL_0935_TO_1030,2021,243,0.0005869521417780874,0.5761316872427984,0.14980446293250416,0.0003468400867107708,0.5596707818930041,0.08466577211725923,-0.0006130322101808415,0.4773662551440329,-0.14101871079937622
SIGNAL_0935_TO_1030,2022,242,-5.2801555723191e-07,0.48760330578512395,-0.0048146566982816275,-0.0002404990923041933,0.4834710743801653,-0.06096852888791715,-0.0011998078140594466,0.43388429752066116,-0.25563689536794587
SIGNAL_0935_TO_1030,2023,242,-7.33768857159011e-05,0.4380165289256198,-0.019411652612429275,-0.0003133304808318345,0.4090909090909091,-0.07474188139892302,-0.0012725693179936565,0.32644628099173556,-0.2665549271397032
SIGNAL_0935_TO_1030,2024,242,-7.134513237907049e-05,0.48760330578512395,-0.025019091034622853,-0.00031129921505727956,0.4793388429752066,-0.0800329170700177,-0.0012705400012988461,0.39669421487603307,-0.2707490908711838
SIGNAL_0935_TO_1030,2025,243,0.0009017751521919595,0.5720164609053497,0.23914581003290358,0.0006615875486679552,0.5555555555555556,0.16894575567854409,-0.0002985867608428214,0.4897119341563786,-0.07427471389794527
SIGNAL_0935_TO_1030,2026,166,-6.984192266197648e-05,0.4939759036144578,-0.017297320870863553,-0.0003097963660672422,0.4939759036144578,-0.05567856490362877,-0.001269038594351754,0.463855421686747,-0.1947872020583129
SIGNAL_0935_TO_1130,2021,243,0.0009468864890049586,0.5925925925925926,0.25180224914207416,0.0007066880600591663,0.588477366255144,0.18088518254734764,-0.0002535295251733202,0.551440329218107,-0.0648195023961936
SIGNAL_0935_TO_1130,2022,242,0.00010444736443296698,0.5082644628099173,0.01715953103273793,-0.00013554890338227535,0.49586776859504134,-0.040234246605292956,-0.0010949583289882776,0.4297520661157025,-0.2392009875128689
SIGNAL_0935_TO_1130,2023,242,-0.00013537543526426175,0.45041322314049587,-0.03521423659233114,-0.0003753141525136375,0.4380165289256198,-0.08965279601588061,-0.0013344935138947481,0.3347107438016529,-0.27837469574025775
SIGNAL_0935_TO_1130,2024,242,0.0006881425160371464,0.49173553719008267,0.1659021965333971,0.0004480061781939402,0.4834710743801653,0.10011553340535784,-0.0005119631915575256,0.4214876033057851,-0.12794678443549368
SIGNAL_0935_TO_1130,2025,243,0.0008248528699816373,0.5390946502057613,0.21175844201067173,0.0005846837255902656,0.522633744855967,0.14310993607637812,-0.0003754167916653304,0.448559670781893,-0.0947349203503951
SIGNAL_0935_TO_1130,2026,166,1.0693683122828758e-05,0.5060240963855421,-0.006899541811392851,-0.00022928008650867612,0.4939759036144578,-0.045686890054470686,-0.001188599573343024,0.4879518072289157,-0.18626740767220729
SIGNAL_1030_TO_CLOSE,2021,243,0.000667994597638611,0.5555555555555556,0.1697402981294811,0.00042786309471562695,0.551440329218107,0.10347220292687553,-0.0005320869469517762,0.4897119341563786,-0.12612530068413463
