mechanism,event_date,latent_demand_score,price_acceptance_score,trading_confirmation_score,demand_conversion_score,threshold
DEMAND_CONVERSION_Q50,2022-02-24,0.9111111111111111,0.8,0.5833333333333334,0.764814814814815,0.43796296296296294
DEMAND_CONVERSION_Q50,2022-03-17,0.8083333333333332,0.8875,0.6861111111111112,0.7939814814814815,0.44907407407407407
DEMAND_CONVERSION_Q50,2022-04-28,0.6944444444444445,0.9208333333333334,0.5750000000000001,0.7300925925925927,0.45439814814814816
DEMAND_CONVERSION_Q50,2022-05-10,0.8027777777777777,1.0,0.9083333333333333,0.9037037037037036,0.4574074074074074
DEMAND_CONVERSION_Q50,2022-05-19,0.6055555555555555,0.5875,0.5083333333333333,0.5671296296296297,0.4574074074074074
DEMAND_CONVERSION_Q50,2022-05-26,0.8138888888888888,0.7625,0.5361111111111111,0.7041666666666666,0.45439814814814816
DEMAND_CONVERSION_Q50,2022-06-01,0.938888888888889,0.6791666666666667,0.525,0.7143518518518519,0.46064814814814814
DEMAND_CONVERSION_Q50,2022-06-17,0.775,0.6583333333333333,0.6305555555555555,0.687962962962963,0.47037037037037044
DEMAND_CONVERSION_Q50,2022-06-24,0.7027777777777778,0.8708333333333333,0.8277777777777778,0.800462962962963,0.4805555555555555
DEMAND_CONVERSION_Q50,2022-07-15,0.5805555555555556,0.8041666666666667,0.5750000000000001,0.6532407407407409,0.4928240740740741
DEMAND_CONVERSION_Q50,2022-07-21,0.7472222222222222,0.8666666666666667,0.888888888888889,0.8342592592592593,0.4828703703703704
DEMAND_CONVERSION_Q50,2022-07-27,0.6416666666666667,0.8041666666666667,0.5750000000000001,0.6736111111111112,0.48865740740740743
DEMAND_CONVERSION_Q50,2022-08-05,0.5972222222222222,0.7208333333333333,0.6972222222222223,0.6717592592592593,0.5023148148148149
DEMAND_CONVERSION_Q50,2022-09-07,0.6277777777777778,0.9333333333333333,0.8222222222222223,0.7944444444444444,0.48518518518518516
DEMAND_CONVERSION_Q50,2022-10-13,0.7583333333333333,0.6958333333333333,0.7638888888888888,0.7393518518518518,0.48055555555555557
DEMAND_CONVERSION_Q50,2022-10-26,0.6305555555555555,0.9708333333333333,0.9500000000000001,0.850462962962963,0.48518518518518516
DEMAND_CONVERSION_Q50,2022-11-01,0.8333333333333334,0.8083333333333333,0.5277777777777778,0.7231481481481481,0.49189814814814814
DEMAND_CONVERSION_Q50,2022-11-15,0.5361111111111111,0.8500000000000001,0.7305555555555555,0.7055555555555556,0.4828703703703704
DEMAND_CONVERSION_Q50,2022-12-02,0.7111111111111111,0.6458333333333333,0.5416666666666666,0.6328703703703703,0.46967592592592594
DEMAND_CONVERSION_Q50,2023-01-06,0.7972222222222222,0.9208333333333334,0.9916666666666667,0.9032407407407407,0.4668981481481481
DEMAND_CONVERSION_Q50,2023-01-17,0.8277777777777778,0.6583333333333333,0.8222222222222223,0.7694444444444445,0.4675925925925926
DEMAND_CONVERSION_Q50,2023-02-02,0.8444444444444444,0.575,0.5083333333333333,0.6425925925925925,0.4668981481481481
DEMAND_CONVERSION_Q50,2023-03-09,0.6277777777777778,0.7458333333333333,0.7805555555555556,0.7180555555555556,0.47708333333333336
DEMAND_CONVERSION_Q50,2023-03-15,0.6472222222222223,0.5833333333333334,0.811111111111111,0.6805555555555555,0.47708333333333336
DEMAND_CONVERSION_Q50,2023-03-23,0.6055555555555555,0.85,0.9611111111111111,0.8055555555555555,0.49050925925925926
DEMAND_CONVERSION_Q50,2023-04-03,0.5638888888888888,0.9875,0.9861111111111112,0.8458333333333333,0.49513888888888896
DEMAND_CONVERSION_Q50,2023-04-28,0.6027777777777777,0.7708333333333333,0.5638888888888889,0.6458333333333333,0.49513888888888896
DEMAND_CONVERSION_Q50,2023-05-26,0.5777777777777778,0.7666666666666666,0.7888888888888889,0.7111111111111111,0.48842592592592593
DEMAND_CONVERSION_Q50,2023-06-01,0.8222222222222223,0.875,0.7666666666666666,0.8212962962962963,0.4918981481481482
DEMAND_CONVERSION_Q50,2023-06-19,0.8194444444444445,0.8125,0.725,0.7856481481481482,0.48842592592592593
