repetition,band_mean
1,0.04586789961863358
2,0.004857562052223675
3,-0.002942886423531852
4,0.003171679664825541
5,0.01559021190995448
6,-0.001904036235137466
7,-0.004804570343215046
8,-0.0007465500441540152
9,0.0037969489615514137
10,0.009269943156396052
11,-0.004284278134200838
12,0.07567184492424583
13,0.0019196199566583313
14,-0.0006263337610237051
15,-0.00974246889341779
16,-0.0058503703691116776
17,0.008605661333168204
18,-0.0005318916796200322
19,0.0013148330585156017
20,0.13845521927299093
21,0.0017930846328568406
22,-0.004636365975002543
23,-0.0019288570410853148
24,-0.0014044788270709135
25,0.0044792805850383255
26,-0.0012777610973764427
27,-0.0035987318718899482
28,-0.003615869656001791
29,-0.004125855886642574
30,0.0003737018741956003
31,-0.00416351010114365
32,0.0029627991428693647
33,-0.006233375163141064
34,-0.0023487633252143236
35,-0.0010818590178806923
36,0.0033951333430006247
37,0.0008998329621396383
38,-0.00510334900560801
39,0.012741092435989834
40,0.05199758317968912
41,-0.010054718754072323
42,0.0008615640643352353
43,0.0005552795197451126
44,0.00014200205217509976
45,-0.00816537566449202
46,-0.0025900435939415706
47,0.014411021519458675
48,-0.00865563389174768
49,-0.004575785645069273
50,0.015687185023514745
51,0.013536321011976942
52,-0.004839703829653784
53,-0.004777460355686086
54,-0.012545004678167878
55,0.049838776751530554
56,-0.0009946865746626478
57,0.0056021028517637995
58,0.00669428305975533
59,0.004581231418509943
60,0.00639529263482541
61,0.011185057657423567
62,0.00586208965876847
63,0.002182663328856916
64,-0.003147415155900853
65,0.0031616855157635365
66,-0.016434220156066826
67,-0.0003310061755606855
68,-0.004341185482399948
69,-0.0019279697529003621
70,0.007899699438157269
71,-0.005291295524981712
72,-0.004476171518623534
73,-0.005966039867411989
74,0.0028821608440650864
75,0.011202239482581974
76,0.0027150179247456578
77,0.00899714741160864
78,-0.010852205430456622
79,0.0903582267710961
80,0.0012994719644726133
81,-0.0013202897489774988
82,-0.008668710456038214
83,0.012108226497774387
84,-0.0009137715048948341
85,0.002290944341942718
86,0.00717404715908599
