trade_year,trades,stress_mean,total_return
2021,21,0.0018936273487697812,0.03694588392701492
2022,32,-0.004369613134410994,-0.13396014744247464
2023,29,-0.0017312186667927645,-0.0509633572350775
2024,31,-0.003954536764475446,-0.11957719557538726
2025,29,0.007794974728300072,0.24781283530573583
2026,24,-0.006204290319859987,-0.14602011901876377
