mechanism_id,exit_clock,regime,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
REVERSAL,10:30,range,212,-0.0007769259028713391,-0.0011314363399348437,0.41037735849056606,0.6948171147934998,-0.15484452830531625,-0.029206914639411274
REVERSAL,10:30,trend_down,133,-0.0013905352558136299,-0.0018812884341774527,0.39849624060150374,0.5790292246329565,-0.17163638046724217,-0.032633507517906724
REVERSAL,10:30,trend_up,147,-0.0011699209461948673,-0.0018405238315661876,0.38095238095238093,0.6458665582268761,-0.16124325246671922,-0.030505985629768362
REVERSAL,11:30,range,212,-0.001274610739712619,-0.000995494969828925,0.4339622641509434,0.6398221131419284,-0.24251350927776438,-0.04775963046258791
REVERSAL,11:30,trend_down,133,-0.0022316333718179217,-0.002058648656794615,0.3684210526315789,0.4760022177010751,-0.26046042571632055,-0.05177413285233046
REVERSAL,11:30,trend_up,147,-0.0025978884663484065,-0.0020522272460604674,0.3673469387755102,0.43768948664386836,-0.32146362183111954,-0.06604874431280783
REVERSAL,15:00,range,212,-0.0016401186736895567,-0.001224471261282778,0.46226415094339623,0.6697069496779082,-0.3044590278146744,-0.06196677498854808
REVERSAL,15:00,trend_down,133,-0.0035589787553478277,-0.0028566970997654373,0.38345864661654133,0.4831977627373469,-0.38588641042158445,-0.0823211777394317
REVERSAL,15:00,trend_up,147,-0.0034088216812172565,-0.00495947137599817,0.35374149659863946,0.507598776546388,-0.4025241350147085,-0.08675141461791602
CONTINUATION,10:30,range,212,-0.0015888896036156978,-0.0012671153081040276,0.3632075471698113,0.4656353134890335,-0.2886319861087512,-0.058240693591098625
CONTINUATION,10:30,trend_down,133,-0.0009594121999405168,-0.0005168064176866993,0.41353383458646614,0.6849886498047628,-0.12269184237441666,-0.022799326844881063
CONTINUATION,10:30,trend_up,147,-0.001177679946697088,-0.0005576250806116345,0.43537414965986393,0.6306353112742484,-0.1621913085232657,-0.030699154141949014
CONTINUATION,11:30,range,212,-0.0010543524516392355,-0.0014030226476147156,0.4386792452830189,0.6945894566233839,-0.20630060510316073,-0.03989218270605388
CONTINUATION,11:30,trend_down,133,-9.6764355603344e-05,-0.0003391721694644412,0.47368421052631576,0.9684953687237237,-0.017320795036213088,-0.0030738240828940278
CONTINUATION,11:30,trend_up,147,0.00027525026392033735,-0.0003456046030501092,0.4965986394557823,1.0900007575947888,0.03563746282036351,0.006188880266494667
CONTINUATION,15:00,range,212,-0.0006156111024540145,-0.0011740655840636327,0.44339622641509435,0.8622965679051232,-0.13561300718230485,-0.025350703622908366
CONTINUATION,15:00,trend_down,133,0.0013687296620455813,0.00046089113620961797,0.5338345864661654,1.3205421009708012,0.1833806859659941,0.03011115077557469
CONTINUATION,15:00,trend_up,147,0.0011938031337204954,0.0025751200200994084,0.5714285714285714,1.273078200034905,0.17614406589534326,0.028998438349859157
