mechanism_id,exit_clock,episodes,gross_mean_return,baseline_mean_return,baseline_profit_factor,stress_mean_return,stress_profit_factor,stress_win_rate,stress_cumulative_return,positive_years,rolling_window_sessions,rolling_median_episodes,rolling_p10_episodes,rolling_min_episodes,rolling_max_episodes,density_pass,incremental_terminal_return_vs_static,opponent_mechanism_id,stress_mean_advantage,evidence
REVERSAL,10:30,492,0.0001392281786992844,-0.00010077643550980462,0.9585513247352851,-0.001060219226671915,0.6438563683749943,0.3983739837398374,-0.4127897178308575,0,60,21.0,15.0,10.0,37.0,True,-0.17798707242261758,CONTINUATION,0.00023564534796850908,DIRECTION_FAIL
REVERSAL,11:30,492,-0.0007302830243186145,-0.0009700789808778956,0.723502270485883,-0.0019286876419188509,0.5245456808070023,0.39634146341463417,-0.6198898670493259,0,60,21.0,15.0,10.0,37.0,True,-0.2672847163934551,CONTINUATION,-0.0015304547349138243,DIRECTION_FAIL
REVERSAL,15:00,492,-0.0014897951130325507,-0.0017294088085618737,0.686577509609189,-0.002687288862647121,0.5572607687764982,0.40853658536585363,-0.7447934640895195,0,60,21.0,15.0,10.0,37.0,True,-0.32114077097024996,CONTINUATION,-0.0031487127488030644,DIRECTION_FAIL
CONTINUATION,10:30,492,-9.670011345330223e-05,-0.00033664811166619766,0.8673456953153514,-0.001295864574640424,0.5761232155312997,0.3983739837398374,-0.47713284366597375,0,60,21.0,15.0,10.0,37.0,True,-0.20573060406408405,REVERSAL,-0.00023564534796850908,DIRECTION_FAIL
CONTINUATION,11:30,492,0.0008020093588660776,0.0005618456962595513,1.2050992157311653,-0.0003982329070050266,0.8767692174626995,0.4654471544715447,-0.19225260314824688,2,60,21.0,15.0,10.0,37.0,True,-0.08289566460084385,REVERSAL,0.0015304547349138243,DIRECTION_FAIL
CONTINUATION,15:00,492,0.001662698359503323,0.001422328156321515,1.3608758975687916,0.0004614238861559432,1.105184533756761,0.5060975609756098,0.20307643890271931,2,60,21.0,15.0,10.0,37.0,True,0.08756269663944516,REVERSAL,0.0031487127488030644,DIRECTION_FAIL
