split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
56,"(0, 2, 3, 4, 5)","(1, 6, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.8737934874496944,0.6957454916782151,2,6,0.8,1.3862943611198908
57,"(0, 2, 3, 4, 6)","(1, 5, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9910736555299577,0.5936213163928079,3,6,0.6,0.4054651081081642
58,"(0, 2, 3, 4, 7)","(1, 5, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.1381035534252648,0.5710981394329443,3,6,0.6,0.4054651081081642
59,"(0, 2, 3, 4, 8)","(1, 5, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.9921138440849726,0.6332958144541042,2,6,0.8,1.3862943611198908
60,"(0, 2, 3, 4, 9)","(1, 5, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.46463380020422723,1.0478448212809726,2,6,0.8,1.3862943611198908
61,"(0, 2, 3, 5, 6)","(1, 4, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.8435292906940843,0.7133732647900355,2,6,0.8,1.3862943611198908
62,"(0, 2, 3, 5, 7)","(1, 4, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9313117085938873,0.10846077825711388,4,6,0.4,-0.4054651081081643
63,"(0, 2, 3, 5, 8)","(1, 4, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9688182493334055,0.018284275971576665,3,6,0.6,0.4054651081081642
64,"(0, 2, 3, 5, 9)","(1, 4, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9977799573237291,-0.047786710291114365,5,6,0.2,-1.3862943611198906
65,"(0, 2, 3, 6, 7)","(1, 4, 5, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0313215914471832,0.5569582305563504,3,6,0.6,0.4054651081081642
66,"(0, 2, 3, 6, 8)","(1, 4, 5, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.928214868935759,0.6309169776625841,3,6,0.6,0.4054651081081642
67,"(0, 2, 3, 6, 9)","(1, 4, 5, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.48342111616012456,1.1096701897484438,2,6,0.8,1.3862943611198908
68,"(0, 2, 3, 7, 8)","(1, 4, 5, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.0365468244722984,0.5991040203131814,2,6,0.8,1.3862943611198908
69,"(0, 2, 3, 7, 9)","(1, 4, 5, 6, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.5075092375238449,1.0128378485731158,2,6,0.8,1.3862943611198908
70,"(0, 2, 3, 8, 9)","(1, 4, 5, 6, 7)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.5446869902236751,0.4686683448396686,3,6,0.6,0.4054651081081642
71,"(0, 2, 4, 5, 6)","(1, 3, 7, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.8242128826199164,0.1225945286272621,3,6,0.6,0.4054651081081642
72,"(0, 2, 4, 5, 7)","(1, 3, 6, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9298600273793276,0.11901957809523013,3,6,0.6,0.4054651081081642
73,"(0, 2, 4, 5, 8)","(1, 3, 6, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9672053071319263,0.030441653393729055,3,6,0.6,0.4054651081081642
74,"(0, 2, 4, 5, 9)","(1, 3, 6, 7, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.996188901409953,-0.03435815565812461,4,6,0.4,-0.4054651081081643
75,"(0, 2, 4, 6, 7)","(1, 3, 5, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.7780389627919803,0.78646965282342,2,6,0.8,1.3862943611198908
76,"(0, 2, 4, 6, 8)","(1, 3, 5, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.6891646484552074,0.8729172901440057,2,6,0.8,1.3862943611198908
77,"(0, 2, 4, 6, 9)","(1, 3, 5, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.4665623315093765,1.4271958402517275,1,6,1.0,2.3978952727983702
78,"(0, 2, 4, 7, 8)","(1, 3, 5, 6, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.757046958839595,0.8133715353752548,2,6,0.8,1.3862943611198908
79,"(0, 2, 4, 7, 9)","(1, 3, 5, 6, 8)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.47161676908818073,0.5371048078309957,3,6,0.6,0.4054651081081642
80,"(0, 2, 4, 8, 9)","(1, 3, 5, 6, 7)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.5385145013331197,0.47552557835148773,3,6,0.6,0.4054651081081642
81,"(0, 2, 5, 6, 7)","(1, 3, 4, 8, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.8764222705757195,0.058327808011451265,3,6,0.6,0.4054651081081642
82,"(0, 2, 5, 6, 8)","(1, 3, 4, 7, 9)",LATE_SESSION_FLOW_CONTINUATION:PRIMARY,0.9181089266819127,-0.05074685432149109,3,6,0.6,0.4054651081081642
