mechanism,event_date,component_participation_score,component_flow_score,primary_market_score,pricing_efficiency_score,coordinated_demand_score,threshold
COORDINATED_DEMAND_Q50,2022-02-10,0.5375,0.9166666666666666,0.8833333333333333,0.9666666666666667,0.8260416666666667,0.44687499999999997
COORDINATED_DEMAND_Q50,2022-02-16,0.875,1.0,0.14166666666666666,0.8666666666666667,0.7208333333333333,0.4604166666666667
COORDINATED_DEMAND_Q50,2022-02-22,0.5583333333333333,0.25,0.775,0.9,0.6208333333333333,0.46562500000000007
COORDINATED_DEMAND_Q50,2022-02-28,0.8999999999999999,0.8083333333333333,0.275,0.6916666666666667,0.66875,0.46562500000000007
COORDINATED_DEMAND_Q50,2022-03-04,0.325,0.5416666666666666,0.7416666666666667,0.85,0.6145833333333334,0.4666666666666667
COORDINATED_DEMAND_Q50,2022-03-10,0.25416666666666665,0.75,0.9166666666666666,0.9333333333333333,0.7135416666666667,0.4786458333333333
COORDINATED_DEMAND_Q50,2022-03-17,0.8208333333333333,0.7833333333333333,0.7416666666666667,0.5,0.7114583333333333,0.4864583333333333
COORDINATED_DEMAND_Q50,2022-03-24,0.8166666666666667,0.8083333333333333,0.30833333333333335,0.8083333333333333,0.6854166666666667,0.49270833333333336
COORDINATED_DEMAND_Q50,2022-03-31,0.5625,1.0,0.375,0.1333333333333333,0.5177083333333333,0.4864583333333333
COORDINATED_DEMAND_Q50,2022-04-13,0.39583333333333337,0.9166666666666666,0.95,0.17500000000000004,0.609375,0.4786458333333333
COORDINATED_DEMAND_Q50,2022-04-19,0.8291666666666666,0.975,0.05,0.5916666666666667,0.6114583333333333,0.48124999999999996
COORDINATED_DEMAND_Q50,2022-04-27,0.15416666666666667,0.6083333333333333,0.775,0.42500000000000004,0.49062500000000003,0.4901041666666667
COORDINATED_DEMAND_Q50,2022-05-06,0.85,0.8,0.5416666666666666,0.5333333333333333,0.6812499999999999,0.490625
COORDINATED_DEMAND_Q50,2022-05-12,0.9708333333333333,0.9416666666666667,0.016666666666666666,0.09166666666666667,0.5052083333333334,0.49531250000000004
COORDINATED_DEMAND_Q50,2022-05-18,0.9458333333333333,0.9416666666666667,0.5916666666666667,0.6333333333333333,0.778125,0.49531250000000004
COORDINATED_DEMAND_Q50,2022-05-24,0.8041666666666667,0.4583333333333333,0.20833333333333334,0.675,0.5364583333333333,0.5015625
COORDINATED_DEMAND_Q50,2022-05-31,0.4791666666666667,0.6666666666666666,0.55,0.7083333333333333,0.6010416666666667,0.496875
COORDINATED_DEMAND_Q50,2022-06-07,0.975,0.9083333333333333,0.9333333333333333,0.18333333333333335,0.75,0.5036458333333333
COORDINATED_DEMAND_Q50,2022-06-13,0.775,0.8833333333333333,0.7833333333333333,0.2833333333333333,0.6812499999999999,0.5197916666666667
COORDINATED_DEMAND_Q50,2022-06-17,0.7625,0.8,0.39166666666666666,0.75,0.6760416666666667,0.5223958333333334
COORDINATED_DEMAND_Q50,2022-06-24,0.7208333333333333,0.6666666666666666,0.5333333333333333,0.9083333333333333,0.7072916666666667,0.5255208333333333
COORDINATED_DEMAND_Q50,2022-07-01,0.9083333333333333,0.6166666666666667,0.025,0.9583333333333334,0.6270833333333333,0.5307291666666667
COORDINATED_DEMAND_Q50,2022-07-15,0.5541666666666667,0.6333333333333333,0.08333333333333333,0.9,0.5427083333333333,0.515625
COORDINATED_DEMAND_Q50,2022-07-21,0.8125,0.6166666666666667,0.175,0.7416666666666667,0.5864583333333333,0.515625
COORDINATED_DEMAND_Q50,2022-07-27,0.6875,0.55,0.39166666666666666,0.6166666666666667,0.5614583333333334,0.515625
COORDINATED_DEMAND_Q50,2022-08-02,0.6875,0.925,0.38333333333333336,0.7666666666666666,0.690625,0.5286458333333333
COORDINATED_DEMAND_Q50,2022-08-08,0.8416666666666667,0.9333333333333333,0.875,0.025000000000000022,0.66875,0.5354166666666667
COORDINATED_DEMAND_Q50,2022-08-12,0.8083333333333333,0.875,0.85,0.2416666666666667,0.69375,0.5354166666666667
COORDINATED_DEMAND_Q50,2022-08-18,0.5083333333333333,0.43333333333333335,0.475,0.8666666666666667,0.5708333333333333,0.5354166666666667
COORDINATED_DEMAND_Q50,2022-09-07,0.5916666666666667,0.7,0.11666666666666667,0.8333333333333334,0.5604166666666667,0.515625
COORDINATED_DEMAND_Q50,2022-09-14,0.6375,0.1,0.6916666666666667,0.8333333333333334,0.565625,0.515625
COORDINATED_DEMAND_Q50,2022-09-21,0.3958333333333333,0.65,0.4166666666666667,0.975,0.609375,0.515625
COORDINATED_DEMAND_Q50,2022-09-27,0.41666666666666663,0.725,0.31666666666666665,0.9666666666666667,0.60625,0.5177083333333334
COORDINATED_DEMAND_Q50,2022-10-17,0.8166666666666667,0.9333333333333333,0.35,0.16666666666666663,0.5666666666666667,0.515625
COORDINATED_DEMAND_Q50,2022-10-21,0.6666666666666667,0.8666666666666667,0.7416666666666667,0.9583333333333334,0.8083333333333335,0.5197916666666667
COORDINATED_DEMAND_Q50,2022-10-28,0.6791666666666667,0.6333333333333333,0.9333333333333333,0.4916666666666667,0.6843750000000001,0.5244791666666667
COORDINATED_DEMAND_Q50,2022-11-04,0.8416666666666667,0.7666666666666667,0.7083333333333334,0.275,0.6479166666666667,0.5244791666666667
COORDINATED_DEMAND_Q50,2022-11-10,0.21250000000000002,0.45,0.8333333333333334,0.7,0.5489583333333334,0.5302083333333334
COORDINATED_DEMAND_Q50,2022-11-16,0.6583333333333333,0.9333333333333333,0.6666666666666666,0.30833333333333335,0.6416666666666666,0.5302083333333334
COORDINATED_DEMAND_Q50,2022-11-24,0.35833333333333334,0.65,0.7,0.6166666666666667,0.58125,0.5302083333333334
COORDINATED_DEMAND_Q50,2022-11-30,0.5625,0.85,0.9666666666666667,0.6166666666666667,0.7489583333333334,0.5239583333333333
COORDINATED_DEMAND_Q50,2022-12-06,0.7833333333333333,0.8083333333333333,1.0,0.4833333333333333,0.76875,0.5213541666666667
COORDINATED_DEMAND_Q50,2022-12-12,0.7,0.85,0.725,0.875,0.7875,0.5265625
COORDINATED_DEMAND_Q50,2022-12-16,0.7041666666666666,0.65,0.2,0.7666666666666666,0.5802083333333332,0.5265625
COORDINATED_DEMAND_Q50,2022-12-28,0.8083333333333333,0.85,0.08333333333333333,0.8833333333333333,0.65625,0.5213541666666667
COORDINATED_DEMAND_Q50,2023-01-04,0.9291666666666667,0.9416666666666667,0.6083333333333333,0.44999999999999996,0.7322916666666666,0.5239583333333333
COORDINATED_DEMAND_Q50,2023-01-17,0.7541666666666667,0.975,0.13333333333333333,0.4,0.5656249999999999,0.5239583333333333
COORDINATED_DEMAND_Q50,2023-01-30,0.8583333333333333,0.31666666666666665,0.975,0.9,0.7625,0.5270833333333333
COORDINATED_DEMAND_Q50,2023-02-03,0.6958333333333333,0.575,0.2916666666666667,0.7583333333333333,0.5802083333333333,0.5270833333333333
COORDINATED_DEMAND_Q50,2023-02-10,0.7333333333333334,0.9833333333333333,0.0,0.4083333333333333,0.53125,0.5265625
COORDINATED_DEMAND_Q50,2023-02-21,0.5458333333333334,0.8,0.39166666666666666,0.4833333333333333,0.5552083333333333,0.5135416666666667
COORDINATED_DEMAND_Q50,2023-03-02,0.6958333333333333,0.575,0.26666666666666666,0.65,0.546875,0.5130208333333333
COORDINATED_DEMAND_Q50,2023-03-09,0.6291666666666667,0.625,0.7,0.15000000000000002,0.5260416666666666,0.515625
COORDINATED_DEMAND_Q50,2023-03-15,0.5708333333333333,0.8,0.31666666666666665,0.925,0.653125,0.515625
COORDINATED_DEMAND_Q50,2023-03-21,0.5833333333333333,0.6916666666666667,0.08333333333333333,0.95,0.5770833333333333,0.5161458333333333
COORDINATED_DEMAND_Q50,2023-04-07,0.9208333333333334,0.85,0.0,0.9583333333333334,0.6822916666666667,0.5088541666666666
