factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
cross__byi_bi_end_V230107__di_1__daily_weekly_divergence,state,return_20,-1,-0.020338559271399048,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07830589060097679
cross__byi_fx_num_V230628__di_1__daily_weekly_divergence,state,return_20,-1,-0.006075411161756483,raw__weekly__cxt_bi_status_V230101,0.09925486830370915
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,state,return_20,-1,-0.012232926438315217,raw__weekly__cxt_bi_status_V230101,0.14608476594267875
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,state,return_20,-1,-0.009558797582934545,target_position,0.11335238912666186
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,state,return_20,-1,-0.03213477301460756,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.06251707046425568
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,state,return_20,-1,-0.00809242575195519,target_position,0.065259580656158
cross__cxt_bi_end_V230324__di_1__daily_weekly_divergence,state,return_20,-1,-0.02323076995877487,raw__daily__cxt_five_bi_V230619__di_1,0.07997683444934682
cross__cxt_bi_end_V230618__di_1__daily_weekly_divergence,state,return_20,-1,-0.009405776339647585,target_position,0.13874966883461723
cross__cxt_bi_status_V230102__di_1__daily_weekly_divergence,state,return_20,-1,-0.016069973145570283,raw__daily__cxt_seven_bi_V230620__di_1,0.07388258933462917
cross__cxt_bi_trend_V230913__di_1__daily_weekly_divergence,state,max_drawdown_20,1,0.005223819807990846,target_position,0.1285579841046519
cross__cxt_decision_V240526__di_1__daily_weekly_divergence,state,max_drawdown_20,-1,-0.018695973842495175,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.0782526018022334
cross__cxt_decision_V240612__di_1__daily_weekly_divergence,state,max_drawdown_20,-1,-0.012063065190020764,raw__daily__cxt_five_bi_V230619__di_1,0.09363871712615597
cross__cxt_decision_V240614__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.009915857715093238,raw__30m__cxt_third_buy_V230228__di_1,0.09873845527448452
cross__cxt_double_zs_V230311__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.02005631867781835,raw__30m__cxt_third_buy_V230228__di_1,0.0921522316838671
cross__cxt_double_zs_V230311__di_1__daily_weekly_divergence,state,max_drawdown_20,-1,-0.014443258868891163,raw__daily__cxt_seven_bi_V230620__di_1,0.10981955506739312
cross__cxt_eleven_bi_V230622__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.011526419373122846,raw__daily__cxt_five_bi_V230619__di_1,0.13334569410931507
cross__cxt_first_buy_V221126__di_1__daily_weekly_divergence,state,return_20,-1,-0.05307006010117451,raw__daily__cxt_five_bi_V230619__di_1,0.33425730667708325
cross__cxt_first_sell_V221126__di_1__30m_daily_divergence,state,return_20,-1,-0.026715574817673254,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.19578057202011806
cross__cxt_five_bi_V230619__di_1__30m_daily_divergence,state,return_20,-1,-0.023005936390704168,raw__daily__cxt_five_bi_V230619__di_1,0.1690849502051868
cross__cxt_five_bi_V230619__di_1__daily_weekly_divergence,state,max_drawdown_20,1,0.010229194387070036,raw__daily__cxt_five_bi_V230619__di_1,0.21438290903467702
cross__cxt_nine_bi_V230621__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.013591005042007836,raw__daily__cxt_seven_bi_V230620__di_1,0.11812275012210913
cross__cxt_overlap_V240526__di_1__daily_weekly_divergence,state,return_20,-1,-0.019525541194050058,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.17620068142792478
cross__cxt_range_oscillation_V230620__di_1__daily_weekly_divergence,state,return_20,-1,-0.012176141084451147,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.12272895324252985
cross__cxt_second_bs_V230320__di_1__daily_weekly_divergence,state,max_drawdown_20,1,0.012916536127748646,target_position,0.09570950592880301
cross__cxt_seven_bi_V230620__di_1__30m_daily_divergence,state,return_20,-1,-0.020481843136010765,raw__daily__cxt_seven_bi_V230620__di_1,0.14061023913816076
cross__cxt_seven_bi_V230620__di_1__daily_weekly_divergence,state,return_20,-1,-0.030185682224778142,raw__daily__cxt_seven_bi_V230620__di_1,0.21229155546432554
cross__cxt_third_buy_V230228__di_1__30m_daily_divergence,state,return_20,-1,-0.021862551707078647,raw__30m__cxt_third_buy_V230228__di_1,0.6370090842389083
cross__cxt_three_bi_V230618__di_1__daily_weekly_divergence,state,return_20,-1,-0.022880214292995076,target_position,0.14706606459517596
cross__zdy_bi_end_V230406__di_1__daily_weekly_divergence,state,max_drawdown_20,1,0.0064368213631895935,target_position,0.14309044868401719
cross__zdy_bi_end_V230407__di_1__daily_weekly_divergence,state,max_drawdown_20,1,0.006509438753462242,target_position,0.14973175460927457
cross__zdy_zs_V230423__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.012780693551308727,raw__30m__cxt_third_buy_V230228__di_1,0.07727181968948356
cross__zdy_zs_space_V230421__di_1__30m_daily_divergence,state,max_drawdown_20,-1,-0.009935196989586049,raw__30m__cxt_third_buy_V230228__di_1,0.08232676065062003
