behavior_hash,trial_id,year,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
120fc2b1aae4aec38f02e84173c0662318d8d07888f8c0ae16b86577d103327f,S007-EX09-WEIGHTED-SCORE-01097,2024,0.5336338364630993,0.5078278957903553,-0.159521295950669,3.345220042771733,32,64,8.0,6.0,0.5289256198347108
120fc2b1aae4aec38f02e84173c0662318d8d07888f8c0ae16b86577d103327f,S007-EX09-WEIGHTED-SCORE-01097,2025,0.5428736838823578,0.5191626937330243,-0.1076265146115466,5.0440515131586,28,57,7.0,5.0,0.4732510288065844
120fc2b1aae4aec38f02e84173c0662318d8d07888f8c0ae16b86577d103327f,S007-EX09-WEIGHTED-SCORE-01097,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2021,0.036253128023735925,0.03493602033267962,-0.06141016900605323,0.5903440523044715,27,54,8.0,5.0,0.3662551440329218
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2022,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2023,0.06969669639033382,0.06684055699127422,-0.07701750631812665,0.9049461573378699,23,47,5.0,3.0,0.33884297520661155
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2024,0.5526888087244695,0.525814394043794,-0.159521295950669,3.4646710047753446,30,60,8.0,6.0,0.5247933884297521
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2025,0.48059145390358915,0.45998456849545866,-0.10762651461154671,4.465362978985003,24,49,5.0,4.0,0.411522633744856
c2812f98a5f25c4542bbabfe74390e583de35a7822bd85b9e341e1e3287cff18,S007-EX09-WEIGHTED-SCORE-00830,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2021,0.03502488114080893,0.03375311974566775,-0.06141016900605323,0.570343343907041,26,52,8.0,4.0,0.35802469135802467
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2022,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2023,0.05043201394683572,0.048383107908380074,-0.09358723063221086,0.5388770840439638,23,47,5.0,3.0,0.34710743801652894
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2024,0.56631318360662,0.5386694303094173,-0.159521295950669,3.5500788796359135,31,62,8.0,6.0,0.5289256198347108
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2025,0.48059145390358915,0.45998456849545866,-0.10762651461154671,4.465362978985003,24,49,5.0,4.0,0.411522633744856
470423db2b659e2c2eefedef6593cc259f3b7995bb100035a774dea982a22e84,S007-EX09-WEIGHTED-SCORE-00864,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2021,0.026638907366359987,0.02567540927934253,-0.06141016900605323,0.43378658286601,27,54,8.0,5.0,0.34156378600823045
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2022,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2023,0.05043201394683572,0.048383107908380074,-0.09358723063221086,0.5388770840439638,23,47,5.0,3.0,0.34710743801652894
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2024,0.5460397609799037,0.5195391804178531,-0.159521295950669,3.422989750213434,32,64,8.0,6.0,0.5330578512396694
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2025,0.49707928778032895,0.4756591632778593,-0.10762651461154671,4.618557885800009,23,47,5.0,4.0,0.4074074074074074
eeb83a7bae24d64de548bab18bc40d32ae1d9635116bf99789514a3aeb1db715,S007-EX09-WEIGHTED-SCORE-01174,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2021,0.03445148335849879,0.033200874377358636,-0.06141016900605323,0.5610061642250633,28,56,8.0,5.0,0.345679012345679
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2022,-0.04711370094542544,-0.0452871112826424,-0.14602051454333287,-0.3226512459072594,33,66,8.0,6.0,0.3181818181818182
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2023,0.05863246353371632,0.05624156813712422,-0.08465829094784139,0.6925779256498364,25,51,6.0,3.0,0.32644628099173556
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2024,0.4634834261817393,0.4415337015041765,-0.159521295950669,2.905464273090339,31,62,8.0,6.0,0.5082644628099173
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2025,0.5716847299637062,0.5465087534218314,-0.10762651461154671,5.311746199596554,27,55,6.0,5.0,0.4279835390946502
47056ac3af38ed7f494450822374090e2958cd8095707d7f9b4d93439f8feebd,S007-EX09-WEIGHTED-SCORE-00627,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2021,0.00973555951522842,0.009386234346789424,-0.07344972739544853,0.13254725184768631,27,54,8.0,5.0,0.3786008230452675
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2022,-0.016411126626681205,-0.01576505257398264,-0.14552912097105453,-0.11276867830422303,32,64,8.0,6.0,0.30165289256198347
919906456465c19a65dba780a180b29c42125c6ba4cba118f1a58dadb660dadc,S007-EX09-WEIGHTED-SCORE-00953,2023,0.055963344955825,0.053684027842002324,-0.08920724905531918,0.6273407772177911,25,51,5.0,3.0,0.359504132231405
