trade_date,opening_return,opening_efficiency,late_return,late_efficiency,opening_signal_time,late_signal_time,OPENING_SELLOFF_REVERSAL_score,OPENING_BREAKOUT_CONTINUATION_score,LATE_SELLOFF_REVERSAL_score,LATE_BREAKOUT_CONTINUATION_score,OPENING_SELLOFF_REVERSAL_threshold,OPENING_SELLOFF_REVERSAL_raw_event,OPENING_BREAKOUT_CONTINUATION_threshold,OPENING_BREAKOUT_CONTINUATION_raw_event,LATE_SELLOFF_REVERSAL_threshold,LATE_SELLOFF_REVERSAL_raw_event,LATE_BREAKOUT_CONTINUATION_threshold,LATE_BREAKOUT_CONTINUATION_raw_event
2020-12-16,-0.010791366906474753,0.2287481151791773,0.0007272727272726875,0.030341719128468687,2020-12-16 10:30:00,2020-12-16 15:00:00,0.010791366906474753,0.0,0.0,2.2066704820703295e-05,,False,,False,,False,,False
2020-12-17,0.0007283321194464509,0.015418515620299864,0.0014388489208632116,0.06248305403108385,2020-12-17 10:30:00,2020-12-17 15:00:00,0.0,1.122980016045121e-05,0.0,8.990367486486273e-05,,False,,False,,False,,False
2020-12-18,0.004301075268817289,0.0969564050836271,0.0,0.0,2020-12-18 10:30:00,2020-12-18 15:00:00,0.0,0.00041701679605861945,-0.0,0.0,,False,,False,,False,,False
2020-12-21,0.015086206896551824,0.26152256401739327,0.0021216407355022504,0.06984084257799353,2020-12-21 10:30:00,2020-12-21 15:00:00,0.0,0.003945383508883114,0.0,0.0001481771766152711,,False,,False,,False,,False
2020-12-22,0.0049893086243761875,0.08900884101188955,-0.007857142857142785,0.2145518590255898,2020-12-22 10:30:00,2020-12-22 15:00:00,0.0,0.00044409257810634946,0.007857142857142785,0.0,,False,,False,,False,,False
2020-12-23,0.0,0.0,0.0042918454935623185,0.187843503776213,2020-12-23 10:30:00,2020-12-23 15:00:00,-0.0,0.0,0.0,0.0008061952951768962,,False,,False,,False,,False
2020-12-24,-0.006414825374198241,0.1426154504040772,-0.003607503607503504,0.19964182572029973,2020-12-24 10:30:00,2020-12-24 15:00:00,0.006414825374198241,0.0,0.003607503607503504,0.0,,False,,False,,False,,False
2020-12-25,-0.00434153400868309,0.10316480058548885,-0.0007230657989878431,0.030253208077423304,2020-12-25 10:30:00,2020-12-25 15:00:00,0.00434153400868309,0.0,0.0007230657989878431,0.0,,False,,False,,False,,False
2020-12-28,-0.00580130529369105,0.13721628618870024,-0.0007299270072993469,0.039922889183075544,2020-12-28 10:30:00,2020-12-28 15:00:00,0.00580130529369105,0.0,0.0007299270072993469,0.0,,False,,False,,False,,False
2020-12-29,0.0043827611395179655,0.09393893326513214,-0.0007299270072993469,0.03220867675321204,2020-12-29 10:30:00,2020-12-29 15:00:00,0.0,0.00041171190620219265,0.0007299270072993469,0.0,,False,,False,,False,,False
2020-12-30,0.008040935672514626,0.19345153790163203,0.0,0.0,2020-12-30 10:30:00,2020-12-30 15:00:00,0.0,0.0015555313720160481,-0.0,0.0,,False,,False,,False,,False
2020-12-31,0.007158196134574135,0.16758409469866137,0.004957507082153034,0.17126188698228925,2020-12-31 10:30:00,2020-12-31 15:00:00,0.0,0.0011995998188880637,0.0,0.0008490320176175915,,False,,False,,False,,False
2021-01-04,0.011980267794221122,0.2553415348338226,0.0006901311249136732,0.025639634114124423,2021-01-04 10:30:00,2021-01-04 15:00:00,0.0,0.003059059966296636,0.0,1.769470953355568e-05,,False,,False,,False,,False
2021-01-05,-0.0027586206896551557,0.05119505023959157,0.0,0.0,2021-01-05 10:30:00,2021-01-05 15:00:00,0.0027586206896551557,0.0,-0.0,0.0,,False,,False,,False,,False
2021-01-06,-0.0027548209366391463,0.054009507302563736,0.002083333333333437,0.09096631739225906,2021-01-06 10:30:00,2021-01-06 15:00:00,0.0027548209366391463,0.0,0.0,0.0001895131612338825,,False,,False,,False,,False
2021-01-07,-0.018711018711018768,0.39955472657071867,0.005698005698005604,0.23582526931241207,2021-01-07 10:30:00,2021-01-07 15:00:00,0.018711018711018768,0.0,0.0,0.00134373372827583,,False,,False,,False,,False
2021-01-08,-0.0028328611898017497,0.04846753642697728,0.002846975088967918,0.10010818384034809,2021-01-08 10:30:00,2021-01-08 15:00:00,0.0028328611898017497,0.0,0.0,0.00028500550559529167,,False,,False,,False,,False
2021-01-11,0.017743080198722394,0.29703584604281486,0.0021156558533146352,0.04913999795332643,2021-01-11 10:30:00,2021-01-11 15:00:00,0.0,0.005270330838233022,0.0,0.00010396332430182425,,False,,False,,False,,False
2021-01-12,0.007042253521126751,0.11907547622907314,0.0006978367062107083,0.02699336544377944,2021-01-12 10:30:00,2021-01-12 15:00:00,0.0,0.000838559691754035,0.0,1.8836961230828997e-05,,False,,False,,False,,False
2021-01-13,-0.0006963788300834439,0.013709807071423323,0.009122807017543755,0.2776351336288577,2021-01-13 10:30:00,2021-01-13 15:00:00,0.0006963788300834439,0.0,0.0,0.0025328117453860413,,False,,False,,False,,False
2021-01-14,0.009065550906555142,0.1373890196402099,-0.012040133779264273,0.33024027486413154,2021-01-14 10:30:00,2021-01-14 15:00:00,0.0,0.001245507151550027,0.012040133779264273,0.0,,False,,False,,False,,False
