candidate_id,entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return,entry_regime,exit_regime,regime_path,holding_sessions,fees,short_loss
0,2021-01-12,2021-01-13,2021-01-28,2021-01-29,696030.8146762274,1.436,1.456,499.75012493750546,506.7104330842936,0.012914155735502808,warmup,warmup,warmup_to_warmup,12,1006.460558021799,False
0,2021-02-22,2021-02-23,2021-03-10,2021-03-11,715988.6504664945,1.414,1.272,506.20397587970365,455.36878169669046,-0.10132345425589873,range,trend,range_to_trend,12,961.5727575763941,False
0,2021-03-26,2021-03-29,2021-04-12,2021-04-13,708036.7945301159,1.285,1.267,454.9136404854944,448.5413093348284,-0.014993281569331995,trend,range,trend_to_range,10,903.4549498203228,True
0,2021-04-16,2021-04-19,2021-05-07,2021-05-10,689373.8341293369,1.3,1.295,448.0929921839852,446.36955759874564,-0.004841809864298607,trend,trend,trend_to_trend,12,894.4625497827308,False
0,2021-05-14,2021-05-17,2021-06-16,2021-06-17,672584.3304892746,1.326,1.441,445.9234111143742,484.5970101175224,0.08564081458516593,range,trend,range_to_trend,22,930.5204212318965,False
0,2021-06-17,2021-06-18,2021-07-06,2021-07-07,643339.0767904602,1.505,1.557,484.11265528481454,500.8394712813732,0.033517460538833754,trend,trend,trend_to_trend,13,984.9521265661878,False
0,2021-07-07,2021-07-08,2021-07-14,2021-07-15,624642.7991319353,1.602,1.589,500.3388821046101,496.27870391032263,-0.009106245878309216,trend,trend,trend_to_trend,5,996.6175860149327,True
0,2021-07-29,2021-07-30,2021-08-09,2021-08-10,609818.7862506232,1.626,1.604,495.7826732216636,489.0746665729998,-0.014516112177613283,trend,trend,trend_to_trend,7,984.8573397946634,True
0,2021-08-24,2021-08-25,2021-09-22,2021-09-23,603937.9929809055,1.618,1.4,488.58583632146474,422.7565950866338,-0.13559907314575104,trend,trend,trend_to_trend,19,911.3424314080985,False
0,2021-10-15,2021-10-18,2021-10-27,2021-10-28,604197.496086135,1.398,1.391,422.3340497642057,420.21935852790693,-0.006001648674947124,trend,trend,trend_to_trend,8,842.5534082921126,True
0,2021-10-29,2021-11-01,2021-11-18,2021-11-19,585902.7901940767,1.433,1.456,419.7993491740199,426.53723126128784,0.015034701769840897,trend,range,trend_to_range,14,846.3365804353077,False
0,2021-11-22,2021-11-23,2022-01-26,2022-01-27,561781.0246434557,1.517,1.303,426.11090719199274,366.0003375552114,-0.14192640001686685,range,trend,range_to_trend,46,792.1112447472042,False
0,2022-02-23,2022-02-24,2022-03-03,2022-03-04,580833.2329251321,1.259,1.239,365.63452012627386,359.82618779711936,-0.016869246075929212,trend,trend,trend_to_trend,6,725.4607079233932,True
0,2022-03-21,2022-03-22,2022-03-24,2022-03-25,610299.730785237,1.178,1.167,359.4665414324263,356.10989291318583,-0.010328027836675635,trend,trend,trend_to_trend,3,715.5764343456121,True
0,2022-05-05,2022-05-06,2022-07-13,2022-07-14,745034.4732696046,0.955,1.082,355.753960986156,403.06365003885617,0.13185187510956586,trend,range,trend_to_range,48,758.8176110250122,False
0,2022-07-21,2022-07-22,2022-08-19,2022-08-22,710786.9158339396,1.133,1.137,402.6607878198847,404.0823616515946,0.002527421196727442,trend,trend,trend_to_trend,21,806.7431494714793,False
0,2022-08-24,2022-08-25,2022-08-29,2022-08-30,731301.5964314379,1.104,1.088,403.678481230163,397.82806845870226,-0.01547776836219572,range,range,range_to_range,3,801.5065496888653,True
0,2022-09-15,2022-09-16,2022-09-20,2022-09-21,773963.8543424937,1.027,1.008,397.4304392047925,390.07778258861686,-0.01948149586355785,range,trend,range_to_trend,3,787.5082217934093,True
0,2022-10-17,2022-10-18,2022-11-21,2022-11-22,782505.8227860418,0.996,1.061,389.68789974739775,415.11933898799515,0.0641963154968701,trend,trend,trend_to_trend,25,804.807238735393,False
0,2022-11-22,2022-11-23,2022-12-20,2022-12-21,794452.9254884074,1.044,0.978,414.704427104909,388.48748056383124,-0.06415470425706682,range,range,range_to_range,20,803.1919076687402,False
0,2022-12-26,2022-12-27,2023-01-13,2023-01-16,795285.2197334721,0.976,0.999,388.0991872298764,397.2449672568693,0.02254251972374477,range,range,range_to_range,13,785.3441544867458,False
0,2023-01-31,2023-02-01,2023-04-21,2023-04-24,761704.2625966112,1.042,1.136,396.84792081278283,432.6480211548751,0.08912146613833194,range,trend,range_to_trend,57,829.4959419676579,False
0,2023-04-26,2023-04-27,2023-07-05,2023-07-06,795244.8746083217,1.087,1.029,432.21558934962377,409.1534879859815,-0.05430403473516243,range,trend,range_to_trend,45,841.3690773356052,False
0,2023-07-31,2023-08-01,2023-08-10,2023-08-11,823251.8408308201,0.993,0.982,408.7445389725035,404.2166538479327,-0.012065971042676149,trend,trend,trend_to_trend,8,812.9611928204363,True
0,2023-08-30,2023-08-31,2023-09-07,2023-09-08,842153.5749768676,0.959,0.917,403.8126392014092,386.1274141268939,-0.044751346954259974,trend,trend,trend_to_trend,6,789.9400533283031,True
0,2023-09-27,2023-09-28,2023-10-16,2023-10-17,854355.4367220164,0.903,0.896,385.74147967994213,382.7512356514634,-0.008743690170418539,trend,trend,trend_to_trend,7,768.4927153314055,True
0,2023-10-27,2023-10-30,2023-11-29,2023-11-30,869019.7174904314,0.88,0.884,382.36867569573224,384.1067151307707,0.0035414111126257364,trend,range,trend_to_range,23,766.4753908265029,False
0,2023-12-08,2023-12-11,2024-01-05,2024-01-08,870119.7287370041,0.882,0.822,383.72280037298333,357.61920851090866,-0.06895871791995178,trend,trend,trend_to_trend,19,741.342008883892,False
0,2024-02-07,2024-02-08,2024-03-14,2024-03-15,930369.1875589632,0.768,0.821,357.26176802255213,381.9165514929544,0.06794194048808921,trend,range,trend_to_range,20,739.1783195155065,False
0,2024-03-22,2024-03-25,2024-04-03,2024-04-08,942061.2982822363,0.81,0.774,381.5348258042941,364.57772243522544,-0.04539952246099177,range,range,range_to_range,8,746.1125482395196,True
