hypothesis_id,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,2021,93,-0.0032042592087720228,-0.0027924757839700165,0.15053763440860216,0.04172375628956036,-0.25836830778357966,-0.26000770189818434,-0.9936948247969722
M01,2022,118,-0.00317464342353136,-0.002975259218405968,0.13559322033898305,0.08004520916392988,-0.31330162919570603,-0.30913636317758897,-1.0134738792140225
M01,2023,111,-0.0029804843910024017,-0.0025000139099350394,0.04504504504504504,0.051775964751123914,-0.2823530434172896,-0.28172938505418255,-1.0022136787860703
M01,2024,132,-0.00353842280662283,-0.003193801469235924,0.09848484848484848,0.07102426903239749,-0.3742684407703615,-0.37351711210208494,-1.002011497315473
M01,2025,103,-0.0031963713601919756,-0.0027950919843974242,0.07766990291262135,0.057882994718849105,-0.28133562799036405,-0.27623642388323955,-1.0184595645839951
M01,2026,71,-0.003309276048537267,-0.0034067183195021222,0.18309859154929578,0.17129575201875136,-0.21023979487994027,-0.2078697322119858,-1.0114016727819588
M02,2021,109,0.0014500019678222386,0.0013749482269402868,0.7706422018348624,5.223909885472097,0.17071557254241188,-0.0076889236638266745,22.202791964961325
M02,2022,107,0.0009444342194980586,0.0005803809381035308,0.5981308411214953,2.1750254905342126,0.10553371150905755,-0.023717522138335445,4.449609486754933
M02,2023,120,5.9422052621814954e-05,-0.00023089683119059679,0.44166666666666665,1.0822466977821692,0.006877736275123336,-0.026155895806778795,0.2629516620623959
M02,2024,109,0.0006450109031168809,-0.00010697868243170205,0.46788990825688076,1.6527199806899988,0.07189071239121936,-0.02409292019732967,2.983893683389502
M02,2025,111,0.0005652295884981725,0.0001755312951252641,0.5675675675675675,1.6722432449651254,0.06381565814120194,-0.020263535739360794,3.1492854436673436
M02,2026,72,0.0012236885733858378,0.0010572212856592156,0.5833333333333334,2.272123144909661,0.09135878358568461,-0.013501112615483035,6.766759613642111
M03,2021,99,-0.0005916556976830602,-0.0005718142176636132,0.3434343434343434,0.5672833545427763,-0.057462739626388704,-0.06167412810307771,-0.93171547606396
M03,2022,88,-0.00022177762203263375,-0.0008853322391187968,0.29545454545454547,0.8572147405688101,-0.020830087767343408,-0.05119166872403336,-0.40690386319764843
M03,2023,114,-0.0006831091082737599,-0.0010309308837906372,0.23684210526315788,0.4428054503665466,-0.07520867759586125,-0.08771427173683022,-0.8574280571069484
M03,2024,91,-0.0003038193071953876,-0.0009970940512616933,0.26373626373626374,0.8201605653561977,-0.028666107298468968,-0.04741796375546081,-0.6045410858699659
M03,2025,104,-0.0006438356565590835,-0.0008747748471828465,0.28846153846153844,0.5408480900315765,-0.06531282664976479,-0.07664319953971532,-0.8521672769665715
M03,2026,60,-0.0008052321749416521,-0.0007737018662312689,0.35,0.6662110889616255,-0.048490149421076656,-0.08401360898995436,-0.5771701752138121
M04,2021,69,-0.003154602110721391,-0.0023021659743974743,0.2608695652173913,0.2328734041444373,-0.19700889908454378,-0.1971668558098888,-0.9991988677574829
M04,2022,69,-0.0031110508562939287,-0.0029478373998482743,0.21739130434782608,0.3076769708456121,-0.19507657954143598,-0.19019420277608012,-1.0256704815083348
M04,2023,76,-0.0029227227553361886,-0.0028131233708608705,0.19736842105263158,0.18951526385761067,-0.2000747069586939,-0.1991142203150581,-1.0048237973265597
M04,2024,82,-0.0018529710015773818,-0.002429638778876142,0.32926829268292684,0.5620126949733009,-0.14388953926145442,-0.16675268045397496,-0.8628919119604141
