candidate_id,window_id,scenario_id,measurement_tier,net_cagr,total_return,max_drawdown,calmar,calmar_status,profit_factor,profit_factor_status,closed_trades,turnover,cost_drag,objective_values
S001-v1,full,standard,SCREENING,0.22093556240853496,1.9694899816896903,-0.23072279847132016,0.9575801085647728,VALID,2.481293243304965,VALID,70,174.59211964440627,0.08729605982219725,"{'net_cagr': 0.22093556240853496, 'total_return': 1.9694899816896903, 'full_return': 1.9694899816896903, 'range_return': -0.24124278901707463, 'range_trade_count': 32.0, 'range_short_loss_count': 24.0, 'range_to_trend_return': 0.7394876960263075}"
S001-v1,2021,standard,SCREENING,-0.013019863353179506,-0.01255780041794563,-0.16507345700706844,-0.07887314889529451,VALID,0.8956018954722084,VALID,13,27.940271652677037,0.013970135826337415,"{'net_cagr': -0.013019863353179506, 'total_return': -0.01255780041794563, '2021_return': -0.01255780041794563, 'range_return': -0.06507747013529308, 'range_trade_count': 3.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.08564081458516593}"
S001-v1,2022,standard,SCREENING,0.028240743166807247,0.027105029124002034,-0.11414143881329675,0.24741884683091434,VALID,1.2192494795259996,VALID,11,22.810511152927912,0.011405255576463304,"{'net_cagr': 0.028240743166807247, 'total_return': 0.027105029124002034, '2022_return': 0.027105029124002034, 'range_return': -0.13838574157051808, 'range_trade_count': 6.0, 'range_short_loss_count': 6.0, 'range_to_trend_return': 0.0}"
S001-v1,2023,standard,SCREENING,-0.008884775680944257,-0.008533713971588086,-0.13939122511269275,-0.06373984928937412,VALID,0.9579773356757059,VALID,14,29.85918991688646,0.014929594958442226,"{'net_cagr': -0.008884775680944257, 'total_return': -0.008533713971588086, '2023_return': -0.008533713971588086, 'range_return': -0.02262146176359714, 'range_trade_count': 7.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.08067630999396269}"
S001-v1,2024,standard,SCREENING,0.21916738077650288,0.20961767120170216,-0.1823154056517775,1.2021330835591189,VALID,2.2928950602321745,VALID,12,26.75610274000841,0.013378051370003289,"{'net_cagr': 0.21916738077650288, 'total_return': 0.20961767120170216, '2024_return': 0.20961767120170216, 'range_return': -0.12629101063323955, 'range_trade_count': 5.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.018900908111681325}"
S001-v1,2025,standard,SCREENING,0.46602809433033254,0.4461343422344146,-0.14568361694808496,3.198905299670064,VALID,4.557557995777648,VALID,12,30.45365068732154,0.01522682534365978,"{'net_cagr': 0.46602809433033254, 'total_return': 0.4461343422344146, '2025_return': 0.4461343422344146, 'range_return': 0.04850749941113275, 'range_trade_count': 8.0, 'range_short_loss_count': 7.0, 'range_to_trend_return': 0.0}"
S001-v1,2026_ytd,standard,SCREENING,1.2438158013261207,0.6812590298660464,-0.12086776859504123,10.29071534772381,VALID,13.158852238486922,LOW_SAMPLE,7,19.004315308095787,0.00950215765404739,"{'net_cagr': 1.2438158013261207, 'total_return': 0.6812590298660464, '2026_ytd_return': 0.6812590298660464, 'range_return': 0.0320776457957892, 'range_trade_count': 3.0, 'range_short_loss_count': 1.0, 'range_to_trend_return': 0.43303797964914637}"
R0182,full,standard,SCREENING,0.19071431669883276,1.590190942817339,-0.2550977484925524,0.7476127007228395,VALID,2.1408523599129885,VALID,79,192.9648242097099,0.09648241210484904,"{'net_cagr': 0.19071431669883276, 'total_return': 1.590190942817339, 'full_return': 1.590190942817339, 'range_return': -0.32532935375111804, 'range_trade_count': 40.0, 'range_short_loss_count': 29.0, 'range_to_trend_return': 0.6660515126628983}"
R0182,2021,standard,SCREENING,-0.04543187691709705,-0.04384542237767519,-0.19152854070955105,-0.23720682436563603,VALID,0.7578864722409486,VALID,14,29.60345051633056,0.014801725258164124,"{'net_cagr': -0.04543187691709705, 'total_return': -0.04384542237767519, '2021_return': -0.04384542237767519, 'range_return': -0.0947009789223614, 'range_trade_count': 4.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.08564081458516593}"
R0182,2022,standard,SCREENING,0.045076046638677036,0.04324919118051218,-0.11182965973082926,0.40307774115716505,VALID,1.312381667676611,VALID,12,25.138784114587807,0.012569392057293304,"{'net_cagr': 0.045076046638677036, 'total_return': 0.04324919118051218, '2022_return': 0.04324919118051218, 'range_return': -0.0949128340592914, 'range_trade_count': 6.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': -0.03306858244029742}"
