factor,exact_match,closest_reference,max_abs_correlation
state__raw__30m__cxt_bi_end_V230105__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.08416383744631294
state__raw__30m__cxt_bi_end_V230105__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.058033837212963804
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新低,False,raw__30m__cxt_bi_status_V230101,0.28150390313512197
state__raw__30m__cxt_bi_end_V230222__di_1__v1::新高,False,raw__30m__cxt_bi_status_V230101,0.2608822876938643
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09083215935454633
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07333583635533375
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第3次,False,raw__daily__pressure_support_V240406__di_1__w_20,0.05618617363429678
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第4次,False,raw__30m__cxt_third_buy_V230228__di_1,0.047641238478303115
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第5次,False,raw__daily__pressure_support_V240406__di_1__w_20,0.03206031921128204
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第6次,False,raw__daily__pressure_support_V240406__di_1__w_20,0.053295225266438574
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第8次,False,raw__weekly__cxt_bi_status_V230101,0.05402532762559787
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第9次,False,raw__weekly__cxt_bi_status_V230101,0.029653301354826613
state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.07712510442918362
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第1次|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.10304841059821092
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第2次|任意,False,raw__30m__cxt_bi_status_V230101,0.1869124561103725
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第3次|任意,False,raw__30m__cxt_bi_status_V230101,0.13521287171470914
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第4次|任意,False,raw__30m__cxt_bi_status_V230101,0.1195592815472536
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第5次|任意,False,raw__weekly__cxt_bi_status_V230101,0.05402532762559792
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第6次|任意,False,target_position,0.06639434989561471
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新低|第8次|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.04685783352436438
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.05393728907728229
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第2次|任意,False,raw__30m__cxt_bi_status_V230101,0.20240212980194888
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第3次|任意,False,raw__30m__cxt_bi_status_V230101,0.16903179231845622
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第4次|任意,False,raw__30m__cxt_bi_status_V230101,0.10076103713476224
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第5次|任意,False,raw__30m__cxt_bi_status_V230101,0.03347892838960479
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第6次|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.07946119218060042
state__raw__30m__cxt_bi_end_V230222__di_1__joint::新高|第8次|任意,False,raw__30m__cxt_bi_status_V230101,0.03347892838960477
state__raw__30m__cxt_bi_end_V230224__di_1__v1::看多,False,raw__30m__cxt_third_buy_V230228__di_1,0.1150274245262995
state__raw__30m__cxt_bi_end_V230224__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.04736538064478183
state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.37592287712458633
state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.3470500509457295
state__raw__30m__cxt_bi_end_V230320__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.16121676991057188
state__raw__30m__cxt_bi_end_V230320__di_1__v1::看空,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.09539089251097128
state__raw__30m__cxt_bi_end_V230320__di_1__v2::11K,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.03456657889468911
state__raw__30m__cxt_bi_end_V230320__di_1__v2::13K,False,raw__daily__pressure_support_V240406__di_1__w_20,0.064432662836653
state__raw__30m__cxt_bi_end_V230320__di_1__v2::17K,False,raw__weekly__cxt_bi_status_V230101,0.05624695864097366
state__raw__30m__cxt_bi_end_V230320__di_1__v2::19K,False,raw__daily__cxt_seven_bi_V230620__di_1,0.09122245943341735
state__raw__30m__cxt_bi_end_V230320__di_1__v2::23K,False,raw__daily__cxt_five_bi_V230619__di_1,0.0916232612544766
state__raw__30m__cxt_bi_end_V230320__di_1__v2::29K,False,raw__daily__cxt_five_bi_V230619__di_1,0.057011305490715536
state__raw__30m__cxt_bi_end_V230320__di_1__v2::31K,False,target_position,0.05138745085652865
state__raw__30m__cxt_bi_end_V230320__di_1__v2::37K,False,target_position,0.05138745085652862
state__raw__30m__cxt_bi_end_V230320__di_1__v2::41K,False,raw__weekly__cxt_bi_status_V230101,0.044154889635651944
state__raw__30m__cxt_bi_end_V230320__di_1__v2::43K,False,raw__weekly__cxt_bi_status_V230101,0.03116647393424987
state__raw__30m__cxt_bi_end_V230320__di_1__v2::59K,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.042856320528598175
state__raw__30m__cxt_bi_end_V230320__di_1__v2::61K,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.04285632052859817
state__raw__30m__cxt_bi_end_V230320__di_1__v2::67K,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.04285632052859818
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|11K|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.056079739702225205
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|13K|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.07066927287638035
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|17K|任意,False,raw__30m__cxt_bi_status_V230101,0.09156991329642647
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|19K|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.052582569200087054
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|23K|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.07442283199977609
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|41K|任意,False,raw__daily__cxt_bi_status_V230101,0.04488132522592304
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|11K|任意,False,raw__weekly__cxt_bi_status_V230101,0.048549313669366156
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|13K|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.07213045528859965
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|17K|任意,False,raw__30m__cxt_bi_status_V230101,0.06703867498216877
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|19K|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.07442283199977605
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|23K|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.11242025342994287
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|41K|任意,False,raw__30m__cxt_bi_status_V230101,0.04736538064478181
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.21757451507693978
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.23645496292616128
state__raw__30m__cxt_bi_end_V230322__di_1__v2::反向分型,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09527581233904533
state__raw__30m__cxt_bi_end_V230322__di_1__v2::同向分型,False,raw__30m__cxt_third_buy_V230228__di_1,0.07576961041410342
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|反向分型|任意,False,raw__30m__cxt_bi_status_V230101,0.1706226840521686
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|同向分型|任意,False,raw__30m__cxt_bi_status_V230101,0.13018754091023405
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|反向分型|任意,False,raw__30m__cxt_bi_status_V230101,0.1917881941566082
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|同向分型|任意,False,raw__30m__cxt_bi_status_V230101,0.13472979834280607
state__raw__30m__cxt_bi_end_V230324__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.31728469216390975
state__raw__30m__cxt_bi_end_V230324__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.3135354561878972
state__raw__30m__cxt_bi_end_V230618__di_1__v1::看多,False,raw__30m__cxt_bi_status_V230101,0.47015926925507334
state__raw__30m__cxt_bi_end_V230618__di_1__v1::看空,False,raw__30m__cxt_bi_status_V230101,0.5500253841799203
state__raw__30m__cxt_bi_end_V230618__di_1__v2::1小中枢,False,target_position,0.07243596540715101
state__raw__30m__cxt_bi_end_V230618__di_1__v2::2小中枢,False,target_position,0.10428974434413663
state__raw__30m__cxt_bi_end_V230618__di_1__v2::3小中枢,False,raw__30m__cxt_bi_status_V230101,0.09871360816031614
state__raw__30m__cxt_bi_end_V230618__di_1__v2::4小中枢,False,raw__daily__cxt_seven_bi_V230620__di_1,0.07533064545464621
state__raw__30m__cxt_bi_end_V230618__di_1__v2::5小中枢,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.05253092334511358
state__raw__30m__cxt_bi_end_V230618__di_1__v2::6小中枢,False,raw__daily__pressure_support_V240406__di_1__w_20,0.08950594601273837
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|1小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.130187540910234
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|2小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.09156991329642655
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|3小中枢|任意,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.08093010463197789
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|4小中枢|任意,False,target_position,0.06639434989561468
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|5小中枢|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.06873874109007624
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|6小中枢|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.10058031533007716
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|其他|任意,False,raw__30m__cxt_bi_status_V230101,0.40035608154842295
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|1小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.19785378950512164
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|2小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.17910660245791651
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|3小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.15837143637789167
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|4小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.10076103713476248
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|5小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.03347892838960498
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|6小中枢|任意,False,raw__30m__cxt_bi_status_V230101,0.033478928389604916
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看空|其他|任意,False,raw__30m__cxt_bi_status_V230101,0.39796331638628146
state__raw__30m__cxt_bi_end_V230815__di_1__v1::向上,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.053812025129304705
state__raw__30m__cxt_bi_status_V230101__di_1__v1::向上,False,raw__30m__cxt_bi_status_V230101,0.9751980163497072
state__raw__30m__cxt_bi_status_V230101__di_1__v1::向下,False,raw__30m__cxt_bi_status_V230101,0.9759015837727896
state__raw__30m__cxt_bi_status_V230101__di_1__v2::底分,False,raw__30m__cxt_bi_status_V230101,0.5429948042036176
state__raw__30m__cxt_bi_status_V230101__di_1__v2::延伸,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.11778729841084673
state__raw__30m__cxt_bi_status_V230101__di_1__v2::顶分,False,raw__30m__cxt_bi_status_V230101,0.6286558425292037
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向上|延伸|任意,False,raw__30m__cxt_bi_status_V230101,0.5620478465455567
state__raw__30m__cxt_bi_status_V230101__di_1__joint::向下|延伸|任意,False,raw__30m__cxt_bi_status_V230101,0.5485187819131294
state__raw__30m__cxt_bi_status_V230102__di_1__v1::向上,False,raw__30m__cxt_bi_status_V230101,0.5211492161465147
state__raw__30m__cxt_bi_status_V230102__di_1__v1::向下,False,raw__30m__cxt_bi_status_V230101,0.47680484646398813
state__raw__30m__cxt_bi_status_V230102__di_1__v2::底分,False,raw__30m__cxt_bi_status_V230101,0.36168217873783154
state__raw__30m__cxt_bi_status_V230102__di_1__v2::延伸,False,raw__30m__cxt_bi_status_V230101,0.07096594314648748
state__raw__30m__cxt_bi_status_V230102__di_1__v2::顶分,False,raw__30m__cxt_bi_status_V230101,0.34705005094572927
state__raw__30m__cxt_bi_status_V230102__di_1__joint::向上|延伸|任意,False,raw__30m__cxt_bi_status_V230101,0.35648383547569507
state__raw__30m__cxt_bi_status_V230102__di_1__joint::向下|延伸|任意,False,raw__30m__cxt_bi_status_V230101,0.2648625821440017
state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值内,False,target_position,0.07226083149869887
state__raw__30m__cxt_bi_stop_V230815__di_1__v2::阈值外,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.16402724123715853
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向上|阈值内|任意,False,raw__30m__cxt_bi_status_V230101,0.20126598188469927
state__raw__30m__cxt_bi_stop_V230815__di_1__joint::向上|阈值外|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.24311725312327714
