factor,reason
state__raw__30m__cxt_bi_end_V230320__di_1__v2::41K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::43K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::59K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::61K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__v2::67K,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|11K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|13K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|17K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|19K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|23K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|41K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|11K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|13K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|17K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|19K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|23K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|41K|任意,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__v1::看空,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__v2::同向分型,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|反向分型|任意,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|同向分型|任意,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|反向分型|任意,state_active_support
state__raw__30m__cxt_bi_end_V230322__di_1__joint::看空|同向分型|任意,state_active_support
state__raw__30m__cxt_bi_end_V230324__di_1__v1::看多,cross_year_direction
state__raw__30m__cxt_bi_end_V230324__di_1__v1::看空,cross_year_direction
state__raw__30m__cxt_bi_end_V230618__di_1__v1::看空,minimum_absolute_effect
state__raw__30m__cxt_bi_end_V230618__di_1__v2::1小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__v2::2小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__v2::3小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__v2::4小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__v2::5小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__v2::6小中枢,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|1小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|2小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|3小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|4小中枢|任意,state_active_support
state__raw__30m__cxt_bi_end_V230618__di_1__joint::看多|5小中枢|任意,state_active_support
