date,S002-C001,BuyHold-510500
2021-01-04,0.0,0.013651463946633635
2021-01-05,0.0,0.00879519754292879
2021-01-06,0.0,-0.0011071132023249275
2021-01-07,0.0,0.004156275976724855
2021-01-08,0.0,0.002483443708609201
2021-01-11,0.0,-0.015414258188824692
2021-01-12,0.0,0.012300810735253132
2021-01-13,0.0,-0.0063518365092517515
2021-01-14,0.0,-0.007087270705947835
2021-01-15,0.0,-0.0036389083275016887
2021-01-18,0.0,0.012080348363534332
2021-01-19,0.0,-0.005412907702984082
2021-01-20,0.0,0.009070611219648361
2021-01-21,0.0,0.014105932789379105
2021-01-22,0.0,0.0013636983499247801
2021-01-25,0.0,0.0016342094511780925
2021-01-26,0.0,-0.01522773623385465
2021-01-27,0.0,0.002485158083667116
2021-01-28,0.0,-0.018867924528301994
2021-01-29,0.0,-0.014037057832678057
2021-02-01,0.0,0.006976082004555906
2021-02-02,0.0,0.009472642443093315
2021-02-03,0.0,-0.00588235294117645
2021-02-04,0.0,-0.010848126232741562
2021-02-05,0.0,-0.014955134596211228
2021-02-08,0.0,0.01200115673799873
2021-02-09,0.0,0.020288612658951433
2021-02-10,0.0,0.011342949166783356
2021-02-18,0.0,0.014815840487399479
2021-02-19,0.0,0.014326647564469885
2021-02-22,0.0,-0.009281678773204183
2021-02-23,0.0,-0.0027155465037339566
2021-02-24,0.0,-0.012797821647379082
2021-02-25,0.0,-0.004964832436905375
2021-02-26,0.0,-0.022037422037421983
2021-03-01,0.0,0.017715419501133756
2021-03-02,0.0,-0.007798356774822435
2021-03-03,0.0,0.01333333333333342
2021-03-04,0.0,-0.01689750692520775
2021-03-05,0.0,0.0015497323189632706
2021-03-08,0.0,-0.02391334927556621
2021-03-09,0.0,-0.02248162559446598
2021-03-10,0.0,-0.010467344832669978
2021-03-11,0.026143312000000085,0.02681764004767584
2021-03-12,0.0007211468333381266,0.0007254788160186987
2021-03-15,-0.006485644398124157,-0.006524575902566387
2021-03-16,0.00043519883811460325,0.0004378283712784814
2021-03-17,0.005800126966346797,0.005835156819839371
2021-03-18,-0.0004970156888126631,0.007396664249456286
2021-03-19,0.0,-0.008206161819752311
2021-03-22,0.0,0.012919146465379505
2021-03-23,0.0,-0.011464603038119692
2021-03-24,0.0,-0.010872716729486753
2021-03-25,0.0,0.002345009526601327
2021-03-26,0.0,0.013013598479309607
2021-03-29,0.0,0.0
2021-03-30,0.0,0.003608545034642141
2021-03-31,0.0,-0.0014382281029773347
2021-04-01,0.0,0.006913437995103022
2021-04-02,0.0,0.002288656844514403
2021-04-06,0.0,0.0019980019980019303
2021-04-07,0.0,0.0015667283862697001
2021-04-08,0.0,0.002986348122866911
2021-04-09,0.0,-0.0034028073160355943
2021-04-12,0.0,-0.016218523260776774
2021-04-13,0.0,-0.0031814895155459766
2021-04-14,0.0,0.00913970694907884
2021-04-15,0.0,0.0010063254744105965
2021-04-16,0.0,0.012494614390349046
2021-04-19,0.0,0.010212765957446912
2021-04-20,0.0,0.0019657399606851644
2021-04-21,0.0,-0.0026625560538118265
2021-04-22,0.0,0.0036532246733174123
2021-04-23,0.0,0.004899902001959999
2021-04-26,0.0,-0.004179437169127942
2021-04-27,0.0,-0.0002797985450475604
2021-04-28,0.0,0.007276798208788238
2021-04-29,0.0,0.0002778549597111102
2021-04-30,0.0,0.0015277777777777946
2021-05-06,0.0,-0.0031895714880045833
2021-05-07,0.0,-0.004312743461324264
2021-05-10,0.0,0.003073913650971205
2021-05-11,0.0,-0.0027859033291546265
2021-05-12,0.0,0.011035060762676574
2021-05-13,0.0,-0.01105277701022378
2021-05-14,0.0,0.015507124895222102
2021-05-17,0.0,0.005090108680698924
2021-05-18,0.0,0.0027374760470844084
2021-05-19,0.0,-0.0016380016380016515
2021-05-20,0.0,-0.003691550451189518
2021-05-21,0.0,-0.00384245917387116
2021-05-24,0.002661965214812101,0.0028929604628735728
2021-05-25,0.010690036474413134,0.010714285714285676
2021-05-26,0.0014916237342661454,0.001494971459635952
2021-05-27,0.008259411682797202,0.008277921020491297
2021-05-28,-0.000402873079940691,-0.0004037685060566121
2021-05-31,-9.605678274449136e-05,0.007001481082536731
2021-06-01,0.0,0.0016044925792217946
2021-06-02,0.0,-0.0061407021759443126
2021-06-03,0.0,-0.002014775016789927
2021-06-04,0.0,0.004710632570659401
2021-06-07,0.0,0.0026791694574681557
2021-06-08,0.0,-0.003607214428857697
2021-06-09,0.0,-0.0009385894341646939
2021-06-10,0.0,0.01274996644745685
2021-06-11,0.0,-0.004903260005300725
2021-06-15,0.0,-0.012118790784392042
