split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
211,"(2, 3, 5, 8, 9)","(0, 1, 4, 6, 7)",20260910_S003_EX07:M05,5.457557247651134,4.422490245111776,1,142,1.0,5.645446897643239
212,"(2, 3, 6, 7, 8)","(0, 1, 4, 5, 9)",20260910_S003_EX07:M05,4.820368657060754,5.092813772356027,1,142,1.0,5.645446897643239
213,"(2, 3, 6, 7, 9)","(0, 1, 4, 5, 8)",20260910_S003_EX07:M05,4.722174068907071,5.212588857415191,1,142,1.0,5.645446897643239
214,"(2, 3, 6, 8, 9)","(0, 1, 4, 5, 7)",20260910_S003_EX07:M05,5.179070809531541,4.731906546260714,1,142,1.0,5.645446897643239
215,"(2, 3, 7, 8, 9)","(0, 1, 4, 5, 6)",20260910_S003_EX07:M05,5.018196033942493,4.897036705272333,1,142,1.0,5.645446897643239
216,"(2, 4, 5, 6, 7)","(0, 1, 3, 8, 9)",20260910_S003_EX07:M05,4.9358600884519115,4.978014884444067,1,142,1.0,5.645446897643239
217,"(2, 4, 5, 6, 8)","(0, 1, 3, 7, 9)",20260910_S003_EX07:M05,5.397559822531777,4.501926580571947,1,142,1.0,5.645446897643239
218,"(2, 4, 5, 6, 9)","(0, 1, 3, 7, 8)",20260910_S003_EX07:M05,5.29383393727068,4.618211444139967,1,142,1.0,5.645446897643239
219,"(2, 4, 5, 7, 8)","(0, 1, 3, 6, 9)",20260910_S003_EX07:M05,5.243352224129494,4.674809844003993,1,142,1.0,5.645446897643239
220,"(2, 4, 5, 7, 9)","(0, 1, 3, 6, 8)",20260910_S003_EX07:M05,5.13476506677261,4.7844377061088785,1,142,1.0,5.645446897643239
221,"(2, 4, 5, 8, 9)","(0, 1, 3, 6, 7)",20260910_S003_EX07:M05,5.5781331632468145,4.282081231728669,1,142,1.0,5.645446897643239
