behavior_id,omitted_year,observations,cagr,max_drawdown,calmar,sharpe
CORE-H4,2021,1135,0.03975949560744896,-0.04898536633831607,0.8116606770448772,0.7507290438365211
CORE-H4,2022,1136,0.04600700622506637,-0.04108490436681489,1.1198031718488595,0.8911433821839192
CORE-H4,2023,1136,0.05146089014243893,-0.03474194087188909,1.481232448474913,1.0189479809933741
CORE-H4,2024,1136,0.03735333506701077,-0.048985366338316294,0.7625406903978391,0.7301549308032954
CORE-H4,2025,1135,0.04491886330619854,-0.048985366338316294,0.9169853501955555,0.8766306117383418
CORE-H4,2026,1212,0.024105194818969222,-0.048985366338316294,0.4920897121088624,0.5726987291842494
CORE-H5,2021,1135,0.05597748643959344,-0.03636613898387031,1.5392749410219617,0.9515533725352314
CORE-H5,2022,1136,0.05550363088703114,-0.0363661389838702,1.52624481008691,1.0017566114314964
CORE-H5,2023,1136,0.0689996573284386,-0.03474194087188931,1.9860622520449969,1.2498013804370733
CORE-H5,2024,1136,0.056914878816274106,-0.03636613898387009,1.5650514573878258,0.9923428939033215
CORE-H5,2025,1135,0.05309299190708794,-0.03636613898387009,1.4599568002156322,0.9572017903991147
CORE-H5,2026,1212,0.0417540774768288,-0.03636613898387009,1.1481581120104196,0.8608467672357822
CORE-H6,2021,1135,0.05117912845669781,-0.06653912500737269,0.7691584229733566,0.8595447503802842
CORE-H6,2022,1136,0.05242489030038966,-0.06653912500737214,0.7878806686228786,0.9279294037112745
CORE-H6,2023,1136,0.06860997992587725,-0.03787477702177744,1.8114952831650342,1.2068764381300352
CORE-H6,2024,1136,0.057300200775692645,-0.05642484435443473,1.01551367010885,0.9833635492195156
CORE-H6,2025,1135,0.048328448265368085,-0.06653912500737236,0.7263162576906959,0.8584303372063079
CORE-H6,2026,1212,0.035013407367960436,-0.06653912500737236,0.5262078117811294,0.7070781008469132
