segment_id,tradable,year,episodes,gross_mean_return,gross_profit_factor,baseline_mean_return,baseline_profit_factor,stress_mean_return,stress_profit_factor
OVERNIGHT,False,2021,65,-0.0003374991949700214,0.691706051838431,-0.0005773894083375364,0.5471198342211006,-0.001536374870530688,0.25573999265665964
OVERNIGHT,False,2022,61,-0.000842118098591613,0.5915777828830758,-0.001081887217953555,0.51531275386715,-0.002040388594575707,0.309849054086537
OVERNIGHT,False,2023,59,0.0003373247474436084,1.533803360525524,9.727259576251883e-05,1.1282437390442206,-0.000862360231266074,0.3767752241918899
OVERNIGHT,False,2024,65,0.0016992218891016713,1.7667421285057698,0.0014588429213245094,1.6149183002109115,0.0004979036137999515,1.1622162235917026
OVERNIGHT,False,2025,64,0.00023627289474707942,1.2165616304413371,-3.7550073993079802e-06,0.9969458839260373,-0.0009632908944530588,0.48090482183498295
OVERNIGHT,False,2026,48,-0.0015969339097130543,0.4792299390332719,-0.001836521895016388,0.42800530048693547,-0.0027942991698652817,0.27024879269028734
OPEN_TO_1030,True,2021,65,0.0011209136271158125,1.7274762321852837,0.0008806734366682393,1.5406021826794674,-7.971109440375857e-05,0.9603901961270552
OPEN_TO_1030,True,2022,61,0.0009552313964326425,1.4312045773402993,0.0007150309649493762,1.307825142971141,-0.00024519462562982167,0.9122221913186613
OPEN_TO_1030,True,2023,59,0.00021774819263806905,1.1360686999313274,-2.2275264113275544e-05,0.9871039065514655,-0.000981793380249364,0.5716432294758979
OPEN_TO_1030,True,2024,65,0.00048677317136064634,1.1396192226303157,0.0002466851563614045,1.0685227995080673,-0.0007130910379194094,0.8255684213941359
OPEN_TO_1030,True,2025,64,0.0015480198094656224,2.1701790371235994,0.0013076771258334792,1.9160216549676152,0.0003468828678592599,1.183650935803449
OPEN_TO_1030,True,2026,48,-0.00016207622583512318,0.9569082444829307,-0.00040200853566363615,0.8963968094085443,-0.0013611622827299497,0.6899536266203312
1035_TO_1130,True,2021,65,0.0004953947338661006,1.4368060502320295,0.00025530464994014335,1.2072883208620642,-0.0007044798150851307,0.5859858620840926
1035_TO_1130,True,2022,61,4.9785604668369844e-05,1.0231736103453175,-0.00019019754589858623,0.9154731009874789,-0.0011495545339740361,0.5756916220721451
1035_TO_1130,True,2023,59,0.0003369953841911365,1.3393364621182067,9.694331154774616e-05,1.0861212403255947,-0.0008626891995196289,0.5062562541463738
1035_TO_1130,True,2024,65,0.0007416083245266411,1.262535812429458,0.0005014591564290123,1.1702202592540552,-0.0004585615035659249,0.8668103176906745
1035_TO_1130,True,2025,64,0.0005903839071087318,1.416722122981979,0.0003502710285165321,1.229759878950146,-0.0006096045604992127,0.7019689203762624
1035_TO_1130,True,2026,48,0.0005467056817788524,1.2244392179195591,0.0003066032847029697,1.1199883625872673,-0.0006532304033881631,0.7857202779594794
1305_TO_CLOSE,True,2021,65,-0.00010721406220977742,0.9467000111173983,-0.0003471595373777358,0.8374997928391616,-0.00130636591422387,0.5205963176036701
1305_TO_CLOSE,True,2022,61,8.192206695330923e-06,1.0038828033388338,-0.00023178096265387483,0.8961851501041281,-0.0011910980497987886,0.5724217686026658
1305_TO_CLOSE,True,2023,59,-0.0011478534400139848,0.5143903003825557,-0.0013875491916980926,0.44977704481994396,-0.0023457572735858046,0.2643270866055293
1305_TO_CLOSE,True,2024,65,-0.0008122418104875044,0.8015773182730737,-0.0010520180992982277,0.7512435852382594,-0.0020105481365192824,0.5807365682928431
1305_TO_CLOSE,True,2025,64,0.00048288892153666545,1.2502641474514253,0.00024280183864554446,1.1195896267281005,-0.000716970629438568,0.7101113989062102
1305_TO_CLOSE,True,2026,48,0.0016128547743592496,1.6469952323080568,0.0013724965322025444,1.5284467025969788,0.00041164007744819847,1.1347650220813064
OPEN_TO_1130,True,2021,65,0.001664601016808211,2.021540835618696,0.0014242303570434467,1.8363330105889146,0.0004633242616411805,1.226488189780784
OPEN_TO_1130,True,2022,61,0.001004472093704325,1.426243234413266,0.0007642598458716826,1.3089137635106496,-0.00019601298176281535,0.9342419977586717
OPEN_TO_1130,True,2023,59,0.0005897802853912974,1.29513105374678,0.00034966755165095166,1.1646288883821452,-0.0006102074583049336,0.7685312459415817
OPEN_TO_1130,True,2024,65,0.0011866848266601302,1.2887377282866272,0.0009464288530186805,1.2236238848384289,-1.401877297205158e-05,0.9970470338276698
OPEN_TO_1130,True,2025,64,0.0021162609530521615,2.2549485029245315,0.0018757819079089286,2.0517912513935004,0.0009144425309617898,1.4185070322814453
OPEN_TO_1130,True,2026,48,0.0003090080991010093,1.0687460483801372,6.896274260009133e-05,1.014930788299254,-0.0008906429200064153,0.8265177430605034
OPEN_TO_CLOSE,True,2021,65,0.0015707918873773753,1.6743864158046473,0.0013304437391022904,1.551234710536247,0.00036962763566359926,1.1321116249501963
OPEN_TO_CLOSE,True,2022,61,0.0010388786703929296,1.3480100062253106,0.0007986581659726531,1.257544610511413,-0.00016164766820836996,0.9551266765120672
OPEN_TO_CLOSE,True,2023,59,-0.0005031927954156916,0.8380373792508216,-0.0007430432470904966,0.7704001753549095,-0.0017018697578836785,0.5506957763588609
OPEN_TO_CLOSE,True,2024,65,0.0004140587428383046,1.0659651257459928,0.0001739881772080091,1.0271783296896895,-0.0007857182614505178,0.8871154303815977
OPEN_TO_CLOSE,True,2025,64,0.002562795180550387,2.4096302119251556,0.0023222089800512026,2.2078399482793496,0.0013604412386988597,1.5747319316671726
OPEN_TO_CLOSE,True,2026,48,0.0020623828838255815,1.3928967487422816,0.001821916767867487,1.340360667563294,0.0008606290766493598,1.1487766243965234
