path_id,symbol,threshold_quantile,votes_required,holding_sessions,closed_trades,rolling_60_median,rolling_60_p10,stress_mean_return,stress_profit_factor,positive_years,recent_252_trades,recent_252_mean_return,low_volatility_trades,low_volatility_mean_return,low_volatility_profit_factor
QB-Q70-V1-H1,588080.SH,0.7,1,1,398,19.0,15.0,-0.00284787073119886,0.6909641605050095,0,83,-0.0016716673053556509,172,-0.0025931892782756717,0.651466324215491
QB-Q70-V1-H2,588080.SH,0.7,1,2,308,14.0,12.0,-0.0021590159631172437,0.8101152153116099,2,65,-0.0029531577466268433,136,-0.004222088010212452,0.5577847883607561
QB-Q70-V2-H1,588080.SH,0.7,2,1,286,14.0,9.0,-0.0034064745455256117,0.660647395476911,0,62,-0.006525388029953199,114,-0.002654499454229948,0.6572958382919837
QB-Q70-V2-H2,588080.SH,0.7,2,2,235,11.0,8.0,-0.00047115900280212634,0.9587771685841969,3,47,-0.006734140896404708,95,-0.0008368717999147238,0.8929576782673946
QB-Q75-V1-H1,588080.SH,0.75,1,1,364,17.0,13.0,-0.0030153859514234476,0.6785344590963637,0,80,-0.0027915107042128283,150,-0.002441354320465441,0.6661376766856808
QB-Q75-V1-H2,588080.SH,0.75,1,2,283,13.0,11.0,-0.001045428833230924,0.9059963106047132,2,60,-0.0028834880193707078,119,-0.0024297498796721656,0.7092561864070506
QB-Q75-V2-H1,588080.SH,0.75,2,1,257,12.0,8.0,-0.004192400002193898,0.5987916250360111,0,60,-0.00673640432903291,95,-0.0038558773646579264,0.5230024555667361
QB-Q75-V2-H2,588080.SH,0.75,2,2,212,10.0,7.0,-0.0012409918303940397,0.902240732100132,3,45,-0.007311960316185906,83,-0.001917891468909776,0.7612336781073867
QB-Q80-V1-H1,588080.SH,0.8,1,1,322,15.0,11.0,-0.003261459565250139,0.6636905808110944,0,72,-0.0036260404377309397,128,-0.0025107228477823564,0.663516030014638
QB-Q80-V1-H2,588080.SH,0.8,1,2,250,12.0,9.0,0.000573485541421487,1.050272737495808,4,54,-0.0026610027210849456,103,-0.0009058023542574586,0.8870550035661645
QB-Q80-V2-H1,588080.SH,0.8,2,1,222,10.0,6.0,-0.0038238426847210364,0.6360745389032991,1,52,-0.0055475032508356436,79,-0.004035501459031294,0.5125855389530197
QB-Q80-V2-H2,588080.SH,0.8,2,2,186,9.0,6.0,-8.324824525867052e-05,0.9932203579943578,3,40,-0.004452189524861408,73,-0.001176031425149185,0.848718786392495
QB-Q70-V1-H1,510500.SH,0.7,1,1,388,18.0,15.0,-0.0020824402799168437,0.6798605773545272,2,78,-0.0012769675836397853,170,-0.0014918847535593915,0.7102969643759593
QB-Q70-V1-H2,510500.SH,0.7,1,2,298,14.0,12.0,-0.0019343524912809852,0.7530431438591669,1,60,-0.0058929617758899785,135,-0.0025777938140713473,0.6437832185188511
QB-Q70-V2-H1,510500.SH,0.7,2,1,296,14.0,10.0,-0.0018440156424261358,0.7215360593871002,1,63,-0.0013109155837097302,124,-0.0020808994814663882,0.6367268091872491
QB-Q70-V2-H2,510500.SH,0.7,2,2,239,11.0,8.0,-0.0025877234772494237,0.6991077594479899,2,50,-0.007783867861628466,100,-0.0024734584478751497,0.6544939265603602
QB-Q75-V1-H1,510500.SH,0.75,1,1,357,17.0,13.0,-0.0022431102902445896,0.6622908656594715,1,73,-0.0009388653187924151,149,-0.00145729147689872,0.7174712006977954
QB-Q75-V1-H2,510500.SH,0.75,1,2,280,13.0,11.0,-0.001762212717661797,0.7702929405869067,1,57,-0.004672733960649031,121,-0.001942250049724805,0.710325094184992
QB-Q75-V2-H1,510500.SH,0.75,2,1,253,12.0,8.0,-0.002576351042829625,0.6376816865865301,1,55,-0.004601538215926316,100,-0.0037080833309952378,0.4181260707011723
QB-Q75-V2-H2,510500.SH,0.75,2,2,210,10.0,7.0,-0.002388920322189922,0.7243825058370853,2,44,-0.00922405307589646,81,-0.0012061024598437142,0.806405805910178
QB-Q80-V1-H1,510500.SH,0.8,1,1,317,15.0,10.0,-0.0024321403255122666,0.6416007799304381,2,66,-0.0021591077243996214,127,-0.002162004679743192,0.6054193297635954
QB-Q80-V1-H2,510500.SH,0.8,1,2,254,12.0,9.0,-0.0026506073251020314,0.6826916209466994,2,54,-0.007687694333650142,104,-0.00230098913101653,0.6566246179782457
QB-Q80-V2-H1,510500.SH,0.8,2,1,213,10.0,6.0,-0.0020772287830887154,0.7051691482065691,2,47,-0.00513382115199952,79,-0.00342912031807429,0.4552962164094783
QB-Q80-V2-H2,510500.SH,0.8,2,2,185,8.0,6.0,-0.002279011626479188,0.740514960413203,3,42,-0.009305894699620298,67,-0.0018742076427262695,0.713120065925208
