state_id,signal_id,name,namespace,state_primary,event_days,coverage_years,max_year_share,rolling_30d_median_event_days,rolling_30d_p10_event_days,rolling_30d_min_event_days,rolling_30d_max_event_days,density_capable,regime_counts_json,behavior_hash
STATE-64050B177F7EDB84,SIG-15M-9AC89B7EADF8E7CC,bar_classify_V240606,bar,低位,1376,6,0.17659883720930233,30.0,30.0,29,30,True,"{""range"":662,""trend_down"":313,""trend_up"":401}",b6613f7444ed2b6c084e327a952cfc7557cf30f71e04934e10d963c120b0d11b
STATE-23C44993C908C821,SIG-15M-9AC89B7EADF8E7CC,bar_classify_V240606,bar,高位,1376,6,0.17659883720930233,30.0,30.0,29,30,True,"{""range"":662,""trend_down"":312,""trend_up"":402}",1305aa914a18a331d21968dab8f349f07f1bc13e00fe160ccbe81be88f6491c6
STATE-8D9F70747765FF3F,SIG-15M-7D3B48E8F3F1B814,bar_classify_V240607,bar,中性,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-A1E80FF760F0F347,SIG-15M-EED38B27A2858EF5,bar_dual_thrust_V230403,bar,其他,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-9C45D16448DF7DCC,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭1,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-B0AAC39721B93E12,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭2,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-734261F1F3465BC8,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,未闭3,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-EC3BC8B9BBAA46C0,SIG-15M-8F454438C8D1C3C5,bar_end_V221211,bar,闭合,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-BF25A3E1832A0D5C,SIG-15M-7E65F007E78C84BC,bar_operate_span_V221111,bar,否,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
STATE-02E35538C6D59A46,SIG-15M-7E65F007E78C84BC,bar_operate_span_V221111,bar,是,1378,6,0.17634252539912917,30.0,30.0,30,30,True,"{""range"":663,""trend_down"":313,""trend_up"":402}",5ec8abaeda0d6cee893c419e063d2ca0fca6027f43688c9e2cef930fbd44d8bc
