symbol,era,size,mean
510500.SH,BEFORE_2024,125,-0.0008084797632094585
510500.SH,SINCE_2024,132,0.0014010565710230796
588080.SH,BEFORE_2024,128,7.949992479266109e-05
588080.SH,SINCE_2024,134,0.004232284858184665
