event_id,window,signal_date,execution_date,event_type,regime,baseline_episode_id,path_mechanism,block_label,baseline_score,ex04_score,baseline_enter_threshold,ex04_enter_threshold,baseline_exit_threshold,ex04_exit_threshold,baseline_margin,ex04_margin,weights_only_condition,thresholds_only_condition,baseline_structure_contribution,ex04_structure_contribution,structure_contribution_gap,baseline_trend_contribution,ex04_trend_contribution,trend_contribution_gap,baseline_volume_position_contribution,ex04_volume_position_contribution,volume_position_contribution_gap,score_gap,ex04_exit_margin,endpoint_date,endpoint_reason,trading_days,actual_terminal_wealth,continued_terminal_wealth,counterfactual_log_advantage,max_favorable_excursion,max_adverse_excursion,closure_residual,holding_days,holding_age_bin,ex04_trend_contribution_sign,outcome_label,cohort
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,2021-06-17,early_ex04_exit,uptrend,2021H1:E003,interrupted_holding,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,0.0,-0.0118940534402144,0.0118940534402144,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.026663518691702404,-0.0016635186917023,2021-06-18,ex04_reentry_execution,2,0.9990004997501251,1.04441360166551,0.044455581266787086,0.044413601665509894,0.0,0.0,39,long,negative,false_exit,underperformance
2021H2:early_ex04_exit:20210706,2021H2,2021-07-06,2021-07-07,early_ex04_exit,uptrend,2021H2:E001,interrupted_holding,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,0.0,-0.0118940534402144,0.0118940534402144,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.026663518691702404,-0.0016635186917023,2021-07-08,ex04_reentry_execution,2,0.9990004997501251,1.0289017341040463,0.0294919558776394,0.030828516377649384,0.0,0.0,4,short,negative,false_exit,control
2021H2:early_ex04_exit:20211223,2021H2,2021-12-23,2021-12-24,early_ex04_exit,sideways,2021H2:E013,early_exit,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.3,-0.2978029615774915,-0.0021970384225085127,0.4,0.3806097100868612,0.019390289913138847,0.026663518691702404,-0.0016635186917023,2021-12-28,baseline_exit_execution,3,0.9995,0.9874918727915194,-0.012086887283582542,0.0,-0.015547703180212036,0.0,4,short,negative,protective_exit,control
2022H1:early_ex04_exit:20220120,2022H1,2022-01-20,2022-01-21,early_ex04_exit,sideways,2022H1:E002,early_exit,independent_double_block,2.775557561562892e-17,-0.0120464692304902,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.0370464692304902,True,True,-0.0499999999999999,-0.0472770039790022,-0.002722996020997702,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.012046469230490228,-0.0370464692304902,2022-01-24,baseline_exit_execution,2,0.9995,0.9868481012658229,-0.012739025777429714,0.0,-0.012658227848101222,0.0,3,short,negative,protective_exit,control
2022H1:early_ex04_exit:20220303,2022H1,2022-03-03,2022-03-04,early_ex04_exit,downtrend,2022H1:E004,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2022-03-09,baseline_exit_execution,4,0.9995,0.9486779661016949,-0.05218575317057031,0.0008071025020177647,-0.05407586763518979,0.0,6,medium,negative,protective_exit,control
2022H1:early_ex04_exit:20220324,2022H1,2022-03-24,2022-03-25,early_ex04_exit,downtrend,2022H1:E005,early_exit,independent_double_block,2.775557561562892e-17,-0.0120464692304902,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.0370464692304902,True,True,-0.0499999999999999,-0.0472770039790022,-0.002722996020997702,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.012046469230490228,-0.0370464692304902,2022-03-28,baseline_exit_execution,2,0.9995,0.9678106255355612,-0.03221872058016986,0.0,-0.03170522707797785,0.0,3,short,negative,protective_exit,control
2022H2:early_ex04_exit:20221121,2022H2,2022-11-21,2022-11-22,early_ex04_exit,downtrend,2022H2:E004,early_exit,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.15,-0.1550743202949186,0.005074320294918611,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2022-11-23,baseline_exit_execution,2,0.9995,0.9834853911404338,-0.016152370171399002,0.0,-0.01602262016965117,0.0,26,long,negative,protective_exit,control
2023H1:early_ex04_exit:20230208,2023H1,2023-02-08,2023-02-09,early_ex04_exit,sideways,2023H1:E002,interrupted_holding,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,-0.15,-0.1546226947227873,0.004622694722787313,0.0,-0.0123456790123456,0.0123456790123456,0.2,0.1903048550434306,0.009695144956569424,0.026663518691702404,-0.0016635186917023,2023-02-10,ex04_reentry_execution,2,0.9990004997501251,1.0290697674418605,0.029655255843709462,0.030038759689922312,0.0,0.0,10,medium,negative,false_exit,underperformance
2023H1:early_ex04_exit:20230606,2023H1,2023-06-06,2023-06-07,early_ex04_exit,sideways,2023H1:E008,interrupted_holding,independent_double_block,2.775557561562892e-17,-0.02423973245256,0.15,0.175,0.0,0.025,2.775557561562892e-17,-0.04923973245256,True,True,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.1499999999999999,-0.1550743202949186,0.005074320294918694,0.2,0.1903048550434306,0.009695144956569424,0.024239732452560028,-0.04923973245256,2023-06-12,ex04_reentry_execution,4,0.9990004997501251,1.0009505703422052,0.0019501189196535656,0.0038022813688212143,-0.019961977186311874,1.951563910473908e-18,8,medium,negative,neutral_exit,underperformance
2023H1:early_ex04_exit:20230626,2023H1,2023-06-26,2023-06-27,early_ex04_exit,sideways,2023H1:E008,early_exit,joint_margin_block,0.05,0.0233364813082976,0.15,0.175,0.0,0.025,0.05,-0.0016635186917023,False,False,-0.0499999999999999,-0.059470267201072,0.009470267201072101,-0.3,-0.2978029615774915,-0.0021970384225085127,0.4,0.3806097100868612,0.019390289913138847,0.026663518691702404,-0.0016635186917023,2023-06-30,window_end_close,4,0.9995,0.995169082125604,-0.0043424994341056625,0.0009661835748793202,-0.008695652173912993,0.0,9,medium,negative,neutral_exit,underperformance
